Champ % Rank,Team,PR,SOS-PR,QWF-PR,Champ %,RPI,SOS-RPI,QWF-RPI,Selection
1,Tufts ( 17 - 3 ),2,6,2,16 . 50 %,4,5,4,13
2,RIT ( 21 - 2 ),1,7,1,13 . 50 %,1,3,1,5
3,Bowdoin ( 14 - 6 ),4,4,5,9 . 50 %,10,10,17,37
4,Salisbury ( 21 - 1 ),3,27,4,9 . 0 %,2,16,2,20
5,St Lawrence ( 15 - 4 ),5,13,11,8 . 50 %,5,14,9,28
6,Wesleyan ( 15 - 4 ),7,9,6,7 . 50 %,15,38,14,67
7,Middlebury ( 12 - 9 ),8,1,13,5 . 50 %,20,7,32,59
8,RPI ( 17 - 3 ),6,8,3,4 . 0 %,6,9,3,18
9,Amherst ( 10 - 6 ),10,3,16,2 . 50 %,28,27,30,85
10,Union ( 12 - 6 ),12,5,15,2 . 50 %,8,4,16,28
11,Williams ( 9 - 7 ),17,2,17,2 . 50 %,33,18,31,82
12,Christopher Newport ( 16 - 6 ),9,11,10,2 . 0 %,3,1,5,9
13,Dickinson ( 17 - 3 ),16,17,12,2 . 0 %,7,29,10,46
14,St John Fisher ( 14 - 8 ),25,38,36,1 . 50 %,34,11,37,82
15,Swarthmore ( 15 - 3 ),14,26,14,1 . 50 %,13,46,11,70
16,Washington & Lee ( 16 - 6 ),15,37,19,1 . 50 %,9,2,12,23
17,Geneseo ( 13 - 7 ),32,36,32,0 . 0 %,26,28,35,89
18,Grove City ( 15 - 5 ),31,85,18,0 . 0 %,19,15,13,47
19,Hamilton ( 9 - 7 ),20,10,22,0 . 0 %,51,30,50,131
20,Lynchburg ( 16 - 6 ),11,35,23,0 . 0 %,11,17,18,46
21,Stevens ( 18 - 3 ),18,52,9,0 . 0 %,18,35,6,59
22,Babson ( 16 - 4 ),13,31,7,0 . 0 %,21,25,8,54
23,Cortland ( 11 - 5 ),26,40,43,0 . 0 %,29,51,43,123
24,Endicott ( 16 - 2 ),19,47,8,0 . 0 %,16,36,7,59
25,Gettysburg ( 10 - 8 ),22,12,58,0 . 0 %,30,8,46,84
26,Muhlenberg ( 10 - 8 ),28,19,86,0 . 0 %,36,21,72,129
27,Randolph-Macon ( 16 - 5 ),30,64,28,0 . 0 %,45,56,22,123
28,Roanoke ( 15 - 6 ),24,50,33,0 . 0 %,25,12,29,66
29,Stevenson ( 14 - 7 ),23,32,31,0 . 0 %,27,19,19,65
30,Trinity ( 9 - 7 ),27,14,34,0 . 0 %,56,53,75,184
31,York ( 10 - 8 ),21,28,55,0 . 0 %,37,6,39,82
32,Adrian ( 8 - 8 ),119,108,132,0 . 0 %,98,144,132,374
33,Albertus Magnus ( 3 - 12 ),208,217,223,0 . 0 %,224,187,224,635
34,Albion ( 8 - 11 ),107,78,192,0 . 0 %,74,41,169,284
35,Albright ( 6 - 10 ),148,123,178,0 . 0 %,187,184,177,548
36,Alfred ( 10 - 5 ),87,87,65,0 . 0 %,69,125,66,260
37,Alfred State ( 0 - 0 ),0,0,0,0 . 0 %,0,0,0,0
38,Allegheny ( 10 - 7 ),122,141,98,0 . 0 %,97,104,93,294
39,Alma ( 1 - 13 ),200,158,179,0 . 0 %,194,221,178,593
40,Alvernia ( 4 - 12 ),171,140,219,0 . 0 %,206,192,220,618
41,Anderson (IN) ( 6 - 10 ),226,236,180,0 . 0 %,222,230,179,631
42,Anna Maria ( 2 - 14 ),204,182,239,0 . 0 %,220,183,239,642
43,Arcadia ( 10 - 8 ),73,71,106,0 . 0 %,103,96,104,303
44,Augustana ( 4 - 10 ),193,153,170,0 . 0 %,154,168,156,478
45,Aurora ( 14 - 6 ),115,155,70,0 . 0 %,57,43,51,151
46,Averett ( 3 - 15 ),231,160,230,0 . 0 %,207,228,229,664
47,Baldwin Wallace ( 10 - 7 ),97,119,99,0 . 0 %,76,83,94,253
48,Bates ( 3 - 11 ),54,16,133,0 . 0 %,128,88,173,389
49,Beloit ( 3 - 11 ),222,222,208,0 . 0 %,218,206,210,634
50,Benedictine (IL) ( 6 - 11 ),163,166,197,0 . 0 %,140,75,193,408
51,Berry ( 7 - 7 ),110,76,84,0 . 0 %,59,55,83,197
52,Bethany ( 4 - 10 ),216,227,190,0 . 0 %,217,213,188,618
53,Birmingham Southern ( 9 - 4 ),76,121,47,0 . 0 %,60,127,52,239
54,Brevard ( 2 - 14 ),227,226,225,0 . 0 %,228,237,226,691
55,Bridgewater ( 6 - 11 ),128,84,193,0 . 0 %,145,76,194,415
56,Brockport ( 4 - 11 ),102,61,203,0 . 0 %,139,106,203,448
57,Bryn Athyn ( 3 - 6 ),220,233,107,0 . 0 %,225,236,105,566
58,Cabrini ( 15 - 5 ),34,79,27,0 . 0 %,41,58,25,124
59,Cairn ( 4 - 9 ),211,216,140,0 . 0 %,210,234,140,584
60,Calvin ( 12 - 6 ),120,135,56,0 . 0 %,62,167,60,289
61,Canton ( 6 - 7 ),191,206,110,0 . 0 %,186,210,108,504
62,Capital ( 9 - 9 ),116,134,141,0 . 0 %,105,103,141,349
63,Carroll ( 6 - 10 ),198,198,155,0 . 0 %,179,191,142,512
64,Carthage ( 8 - 9 ),118,125,146,0 . 0 %,87,54,124,265
65,Castleton ( 3 - 14 ),190,130,238,0 . 0 %,191,149,238,578
66,Catholic ( 10 - 9 ),78,69,116,0 . 0 %,89,59,117,265
67,Centenary (LA) ( 1 - 11 ),228,218,181,0 . 0 %,230,235,180,645
68,Centenary (NJ) ( 1 - 12 ),235,208,229,0 . 0 %,237,227,230,694
69,Centre ( 12 - 4 ),65,118,41,0 . 0 %,35,69,40,144
70,Chatham ( 9 - 8 ),138,161,117,0 . 0 %,133,160,112,405
71,Clark ( 5 - 10 ),106,51,149,0 . 0 %,147,186,158,491
72,Clarkson ( 8 - 9 ),33,23,89,0 . 0 %,55,34,84,173
73,Coast Guard ( 2 - 12 ),104,46,212,0 . 0 %,184,152,215,551
74,Cobleskill ( 1 - 11 ),232,231,213,0 . 0 %,235,229,212,676
75,Colby ( 6 - 8 ),40,21,66,0 . 0 %,99,98,100,297
76,Colorado College ( 8 - 6 ),56,77,67,0 . 0 %,50,101,53,204
77,Concordia-Chicago ( 0 - 12 ),236,220,231,0 . 0 %,231,226,232,689
78,Concordia-Wisconsin ( 13 - 6 ),142,193,73,0 . 0 %,101,128,71,300
79,Connecticut College ( 5 - 9 ),45,15,85,0 . 0 %,112,79,118,309
80,Cornell College ( 6 - 9 ),202,212,158,0 . 0 %,182,217,159,558
81,Curry ( 4 - 14 ),129,83,236,0 . 0 %,165,87,236,488
82,Dean College ( 13 - 5 ),125,183,51,0 . 0 %,96,114,56,266
83,Delaware Valley ( 4 - 12 ),196,154,216,0 . 0 %,205,172,216,593
84,Delhi ( 12 - 5 ),168,228,57,0 . 0 %,159,220,61,440
85,Denison ( 14 - 6 ),29,49,37,0 . 0 %,12,24,41,77
86,DePauw ( 8 - 8 ),147,146,124,0 . 0 %,104,100,113,317
87,DeSales ( 11 - 7 ),68,58,78,0 . 0 %,73,64,82,219
88,Drew ( 10 - 8 ),123,112,112,0 . 0 %,110,133,114,357
89,Dubuque ( 10 - 7 ),134,172,100,0 . 0 %,83,73,95,251
90,Earlham ( 7 - 9 ),229,237,150,0 . 0 %,226,232,152,610
91,Eastern ( 8 - 11 ),58,43,182,0 . 0 %,106,81,181,368
92,Eastern Connecticut ( 6 - 11 ),144,120,198,0 . 0 %,164,122,199,485
93,Edgewood ( 6 - 11 ),189,196,199,0 . 0 %,178,147,200,525
94,Elizabethtown ( 11 - 7 ),62,68,90,0 . 0 %,78,80,89,247
95,Elmhurst ( 13 - 4 ),57,91,35,0 . 0 %,17,20,26,63
96,Elms ( 5 - 9 ),203,211,159,0 . 0 %,196,204,160,560
97,Emerson ( 7 - 9 ),82,56,142,0 . 0 %,141,142,153,436
98,Emmanuel (MA) ( 5 - 12 ),146,150,217,0 . 0 %,169,108,217,494
99,Farmingdale State ( 16 - 4 ),88,148,21,0 . 0 %,80,209,20,309
100,FDU-Florham ( 1 - 15 ),183,113,240,0 . 0 %,219,158,240,617
101,Ferrum ( 0 - 9 ),136,102,174,0 . 0 %,201,177,174,552
102,Franciscan ( 10 - 7 ),186,224,101,0 . 0 %,177,205,96,478
103,Franklin & Marshall ( 7 - 10 ),47,34,160,0 . 0 %,90,70,154,314
104,Gordon ( 4 - 10 ),157,99,187,0 . 0 %,166,131,182,479
105,Goucher ( 9 - 8 ),140,127,118,0 . 0 %,137,161,119,417
