,SUMMER CAMPS/CLINICS,DATE,LOCATION,FOR,CAMP LINK
0,Washington & Lee Spring Prospect Day,"April 21, 2024","Lexington, VA",2025,https://managementtools3.wlu.edu/WLUForms/Default.aspx?Form=3660
1,Lehigh Spring Prospect Clinic,"May 11, 2024","Bethlehem, PA",2024-2028,https://lehighwomenslacrossecamps.totalcamps.com/shop/EVENT
2,Duke Girls Lacrosse Prospect Camp I,"June 1, 2024","Durham, NC",2025-2028,https://dukelacrossecamp.com/camp2.html
3,Denver Summer Camp Elite Position Skills Camp,"June 3-6, 2024","Denver, CO",2025-2030,https://www.denverlacrossecamps.com/eliteposition
4,UNC Charlotte June Prospect Clinic,"June 7, 2024","Charlotte, NC",2025-2028,https://www.clareshortlacrosse.com/
5,"2024 Hopkins Prospect Day (Florida, Drexel, Michigan, Columbia, Clemson)","June 7, 2024","Baltimore, MD",2025-2028,https://www.heritagelacrossecamps.com/
6,Clemson Elite Prospect Camp,"June 10-11, 2024","Clemson, SC",2025-2029,https://clemsonlaxcamps.com/
7,Richmond Summer Elite Camp I,"June 10-11, 2024","Richmond, MA",2024-2029,https://richmondspiderswomenslacrossecamps.totalcamps.com/About%20Us
8,Lax Masters D3 Summer Prospect Camp,"June 11, 2024","Simsbury, CT",2025-2027,https://www.lacrossemasters.com/girls-camps
9,Clemson Tiger Overnight Camp,"June 11-13, 2024","Clemson, SC",2025-2031,https://clemsonlaxcamps.com/
10,Lax Masters D1 Summer Prospect Camp,"June 11-12, 2024","Simsbury, CT",2025-2027,https://www.lacrossemasters.com/girls-camps
11,First Exposure Showcase,"June 13, 2024","Frederick, MD",2025-2028,https://docs.google.com/forms/d/e/1FAIpQLSe8_FDei1S57CCmTKpdN4RF_kqShO5SPJYwTqhYpm86vkh3Hg/viewform
12,Navy Girls Lacrosse Summer Elite ID Camp 1,"June 13, 2024","Annapolis, MD",2025-2029,https://navysports.evenue.net/events/SC-WLAX
13,Washington and Lee June Day Clinic,"June 13, 2024","Lexington, VA",2024-2028,https://bluetridentcamps.com/
14,"UCONN Summer ID Clinic (Clemson, Fairfield, UMass Amherst, ECU, BU)","June 17, 2024","Storrs, CT",2024-2029,https://gameoncampsandclinics.com/camp1.html
15,Lehigh Summer Prospect Clinic I,"June 17, 2024","Bethlehem, PA",2025-2028,https://lehighwomenslacrossecamps.totalcamps.com/shop/EVENT
16,Penn State Prospect Day Camp I,"June 17, 2024","University Park, PA",2025-2029,https://gopsusports.com/sports/2018/8/8/camps-w-lacros-camp-html.aspx
17,Yale Blue Dogs Girls Lacrosse Camp I,"June 17, 2024","New Haven, CT",2025-2028,http://www.bluedogslacrossecamp.com/shop/EVENT
18,Summer Elite Prospect Camp at Virginia Tech,"June 17-18, 2024","Blacksburg, VA",2024-2028,https://skieralacrossecamps.com/camp2.html
19,Lax Masters Northeast High Academic D3 Summer Prospect Camp,"June 18-19, 2024","Farmington, CT",2025-2027,https://www.lacrossemasters.com/girls-camps
20,Trinity Women's Lacrosse Summer Clinic,"June 20, 2024","Hartford, MA",2025-2027,https://www.trinitywlacrossecamps.com/summer-clinic.cfm
21,"2024 Villanova College ID Camp I  (Villanova, Loyola, Penn State, Navy, Florida, Louisville, Navy, Hopkins, SJU)","June 20, 2024","Conshohocken, PA",2025-2027,http://www.villanovawomenslacrossecamps.com/shop/product/283860
22,2024 Villanova Summer High School Clinic,"June 23, 2024","Villanova, PA",2025-2028,http://www.villanovawomenslacrossecamps.com/shop/product/284321
23,BC Lax Elite High School Summer Clinic,"June 23-24, 2024","Newton, MA",2025-2028,https://bostoncollegewomenslacrosse.totalcamps.com/shop/EVENT
24,"2024 Villanova College ID Camp II (Villanova, Dartmouth, Penn, Delaware, Drexel, Arizona State, Clemson, Temple, Stanford)","June 24, 2024","Conshohocken, PA",2025-2027,http://www.villanovawomenslacrossecamps.com/shop/product/283860
25,Amonte Sports Milton Academy Prospect Day Discount Code: MASSEL24,"June 24, 2024","Milton, MA",2025-2027,https://amontesports.com/camps-and-clinics/
26,BC Lax Elite High School Summer Clinic,"June 24, 2024","Newton, MA",2025-2028,https://bostoncollegewomenslacrosse.totalcamps.com/shop/EVENT
27,Princeton Lacrosse Elite Camp I,"June 24, 2024","Princeton, NJ",2025-2028,https://www.princetonsportscamps.com/camps/girlslacrosse.htm
28,Amonte Sports Milton Academy Two-Day Commuter Camp Discount Code: MASSEL24,"June 24-25, 2024","Milton, MA",2025-2030,https://amontesports.com/camps-and-clinics/
29,Colorado Lacrosse June Prospect Camp,"June 24-25, 2024","Boulder, CO",2025-2030,https://cubuffs.com/sports/2023/5/24/lacrosse-camp-june-camp
30,Columbia Summer Kick Off,"June 25, 2024","New York, NY",2024-2027,https://heartsloudlacrosse.totalcamps.com/shop/EVENT
31,UMASS Lowell June Clinic I,"June 26, 2024","Lowell, MA",2025-2029,https://umlwomenslacrossecamps.totalcamps.com/shop/EVENT
32,"Elite 180 Lacrosse (Middlebury, Williams, Bowdoin, Babson, Conn. College, Tufts, Trinity, MIT, Vassar, Amherst, Skidmore, Haverford, U Chicago, Wesleyan, Hamilton, Bates)","June 26-27, 2024",Northfield Mount Hermon School,2025-2027,https://www.elite180lax.com/
33,Princeton Lacrosse Elite Camp 2,"June 27, 2024","Princeton, NJ",2025-2028,https://www.princetonsportscamps.com/camps/girlslacrosse.htm
34,"Apex the Roster (Maryland, Michigan, Oregon, Clemson, Navy, Towson, Penn State, Bryant)","June 27, 2024","Downingtown, PA",2026-2028,https://www.apexlacrosseevents.com/page/show/8479573-interest-form
35,UMASS Lowell June Clinic II & III,"June 27, 2024","Lowell, MA",2025-2029,https://umlwomenslacrossecamps.totalcamps.com/shop/EVENT
36,Harvard Crimson 100 Prospect Day,"July 1, 2024","Boston, MA",2025-2028,http://www.villanovawomenslacrossecamps.com/shop/product/283860
37,Navy Girls Lacrosse Summer Elite ID Camp 2,"July 1, 2024","Annapolis, MD",2025-2029,https://navysports.evenue.net/events/SC-WLAX
