Rank,Team,W,L,Rating,Link
150,San Ramon Valley (CA),22,2,92.18,
151,Duxbury (MA),16,4,92.17,
152,Poway (CA),2,8,92.16,
153,Upper Dublin (PA),13,1,92.14,
154,Mays (GA),0,1,92.11,
155,La Salle College HS (PA),14,5,92.09,
156,Foothill-Santa Ana (CA),18,6,92.06,
157,Radnor (PA),12,4,91.99,
158,St Ignatius (OH),16,8,91.99,
159,Lenape (NJ),1,0,91.98,
160,Memphis University School (TN),14,4,91.98,
161,Bellevue (WA),17,2,91.97,
162,Episcopal Academy (PA),6,4,91.97,
163,Episcopal HS (VA),11,8,91.96,
164,St Albans (DC),9,10,91.94,
165,St Mark's (TX),14,8,91.93,
166,Dublin Coffman (OH),18,2,91.91,
167,New Trier (IL),12,3,91.86,
168,Fairfield Prep (CT),14,7,91.84,
169,E.C. Glass (VA),8,0,91.79,
170,Roswell (GA),5,2,91.77,
171,Cold Spring Harbor (NY),13,1,91.75,
172,Christian Bros (NJ),10,0,91.7,
173,Lassiter (GA),13,4,91.68,
174,Fayetteville-Manlius (NY),11,8,91.66,
175,Bay Shore (NY),10,5,91.64,
176,Bayport-Blue Point (NY),8,5,91.6,
177,Don Bosco Prep (NJ),8,5,91.59,
178,Pingry (NJ),1,2,91.52,
179,Academy New Church (PA),15,6,91.51,
180,Mount Olive (NJ),4,1,91.5,
181,St Thomas Aquinas (FL),12,7,91.5,
182,South Side (NY),10,4,91.49,
183,Penfield (NY),14,6,91.49,
184,Oregon Episcopal (OR),9,0,91.48,
185,Archbishop Moeller (OH),12,5,91.48,
186,Shoreham-Wading River (NY),7,6,91.48,
187,Weddington (NC),13,2,91.46,
188,Cardinal Mooney (FL),25,3,91.45,
189,Glastonbury (CT),14,6,91.43,
190,Williston Northampton (MA),5,3,91.43,
191,Niskayuna (NY),19,2,91.4,
192,Smithtown East (NY),8,8,91.4,
193,Neuqua Valley (IL),1,1,91.39,
194,Phillips Andover (MA),8,8,91.39,
195,Lyons Township (IL),2,0,91.35,
196,Central Bucks West (PA),11,3,91.33,
197,Archbishop Spalding (MD),7,10,91.31,
198,Homer (NY),17,2,91.29,
199,Johns Creek (GA),14,4,91.27,
200,Cohasset (MA),17,6,91.27,
201,St Peter's Prep (NJ),4,2,91.27,
202,Bridgewater-Raritan (NJ),2,1,91.23,
203,Bishop O'Connell (VA),11,8,91.22,
204,Ramapo (NJ),5,5,91.17,
205,Kent Island (MD),7,1,91.14,
206,Westminster (GA),12,6,91.14,
207,Farmingdale (NY),11,2,91.13,
208,Syosset (NY),4,6,91.1,
209,Mount St Joseph (MD),6,11,91.1,
210,Columbus DeSales (OH),14,2,91.09,
211,Spring-Ford (PA),12,3,91.09,
212,Jamesville-DeWitt (NY),14,4,91.08,
213,East Grand Rapids (MI),9,3,91.08,
214,Arapahoe (CO),12,4,91.07,
215,St Anne's-Belfield (VA),11,8,91.06,
216,Chaminade Prep (CA),2,2,91.06,
217,Franklin (MA),16,4,91.04,
218,Eagan (MN),5,2,91.02,
219,Melrose (MA),18,2,90.98,
220,Ridgewood (NJ),3,3,90.96,
221,Cardinal Gibbons (NC),15,2,90.95,
222,Southern Lehigh (PA),12,2,90.95,
223,Westminster (MD),6,1,90.93,
224,Robinson (VA),11,2,90.93,
225,Christ School (NC),13,4,90.93,
226,Upper Arlington (OH),16,2,90.92,
227,Louisville Trinity (KY),14,5,90.92,
228,East Islip (NY),10,4,90.89,
229,Riverhead (NY),8,8,90.89,
230,Penn Charter (PA),8,12,90.89,
