Rank,Team,W,L,Rating,Link
1,St Anthony's (NY),12,1,99.9,
2,Lawrenceville (NJ),19,1,99.21,
3,Brunswick School (CT),13,4,97.93,
4,Boys' Latin (MD),12,6,97.93,
5,McDonogh (MD),17,1,97.89,
6,Hill Academy (ON),11,3,97.87,
7,Taft School (CT),15,2,97.41,
8,Georgetown Prep (MD),16,2,97.11,
9,Culver Academy Prep (IN),17,3,96.78,
10,Haverford School (PA),17,3,96.62,
11,Chaminade (NY),10,4,96.19,
12,St Mary's Annapolis (MD),14,5,96.13,
13,Malvern Prep (PA),16,7,95.97,
14,Calvert Hall (MD),11,6,95.94,
15,Seton Hall Prep (NJ),19,2,95.74,
16,Salisbury School (CT),12,4,95.62,
17,Loyola Blakefield (MD),11,7,95.45,
18,Manhasset (NY),21,1,95.42,
19,Mount Sinai (NY),17,1,95.11,
20,Choate (CT),14,3,94.94,
21,Western Reserve Academy (OH),15,6,94.92,
22,Holderness (NH),17,0,94.64,
23,Fairfield Prep (CT),18,4,94.49,
24,Deerfield (MA),10,8,94.4,
25,Loomis Chaffee (CT),13,5,94.27,
26,St Johns DC (DC),15,3,94.11,
27,Academy New Church (PA),15,5,94.06,
28,St Paul's (MD),8,8,94.01,
29,Radnor (PA),23,3,93.98,
30,Severn (MD),13,6,93.74,
31,Delbarton (NJ),20,6,93.69,
32,Cheshire HS (CT),19,3,93.48,
33,Noble & Greenough (MA),17,4,93.32,
34,Bayport-Blue Point (NY),14,3,93.31,
35,Salesianum (DE),14,4,93.2,
36,Brother Rice (MI),21,1,93.16,
37,Staples-Westport (CT),17,5,93.13,
38,Gilman (MD),6,11,93.11,
39,Avon Old Farms (CT),9,8,93.08,
40,Cherry Creek (CO),16,2,93.06,
41,Belmont Hill (MA),15,1,92.96,
42,Valor Christian (CO),17,2,92.95,
43,Victor (NY),19,3,92.9,
44,Darien (CT),15,6,92.82,
45,Gonzaga (DC),13,8,92.77,
46,Hartland (MI),11,2,92.74,
47,Saint Viator (IL),14,1,92.72,
48,Wheaton Academy (IL),17,1,92.71,
49,Garden City (NY),18,4,92.61,
50,Dublin Jerome (OH),22,1,92.57,
51,Shoreham-Wading River (NY),14,6,92.55,
52,Paul VI (VA),18,5,92.49,
53,Wilton (CT),16,5,92.4,
54,IMG National (FL),11,3,92.38,
55,St Sebastian (MA),12,5,92.28,
56,Bullis (MD),15,8,92.27,
57,Springfield-Delco (PA),22,3,92.26,
58,New Canaan (CT),15,7,92.22,
59,Don Bosco Prep (NJ),15,5,92.18,
60,Baldwinsville (NY),19,2,92.07,
61,Upper Arlington (OH),20,3,92.05,
62,Iona Prep (NY),18,4,91.98,
63,Ridgewood (NJ),21,3,91.94,
64,Claremont School 1 (BC),9,0,91.93,
65,Rumson-Fair Haven (NJ),21,5,91.87,
66,Archbishop Stepinac (NY),14,3,91.86,
67,Farmingdale (NY),18,4,91.62,
68,Northport (NY),16,4,91.6,
69,Westfield (NJ),12,7,91.6,
70,Episcopal Academy (PA),12,9,91.55,
71,Springside Chestnut (PA),11,9,91.55,
72,Archbishop Spalding (MD),6,12,91.53,
73,Westtown (PA),11,7,91.34,
74,Landon (MD),12,7,91.3,
75,Hotchkiss (CT),8,9,91.21,
