Rank,Team,W,L,Rating,Link
1,Brunswick School (CT),15,1,99.9,
2,St Johns DC (DC),19,0,98.44,
3,Culver Academy Prep (IN),19,2,98.11,
4,Taft School (CT),16,3,97.42,
5,Boys' Latin (MD),12,4,97.26,
6,Malvern Prep (PA),20,3,96.85,
7,Calvert Hall (MD),15,5,96.82,
8,Lawrenceville (NJ),15,4,96.77,
9,McDonogh (MD),13,6,96.73,
10,St Mary's Annapolis (MD),16,3,96.36,
11,Salisbury School (CT),13,4,96.29,
12,Mount Sinai (NY),18,1,96.13,
13,Deerfield (MA),12,3,95.86,
14,Archbishop Spalding (MD),12,6,95.56,
15,Manhasset (NY),17,4,95.45,
16,Haverford School (PA),14,6,95.35,
17,Darien (CT),20,3,95.19,
18,Hotchkiss (CT),10,6,95.1,
19,Georgetown Prep (MD),14,6,94.75,
20,St Anthony's (NY),14,2,94.64,
21,Chaminade (NY),12,5,94.62,
22,Staples-Westport (CT),19,3,94.51,
23,Baldwinsville (NY),19,1,94.39,
24,Hill Academy (ON),6,6,94.35,
25,Avon Old Farms (CT),10,9,94.34,
26,St Paul's (MD),11,6,94.22,
27,IMG National (FL),11,3,94.02,
28,Don Bosco Prep (NJ),14,2,93.77,
29,Victor (NY),17,1,93.74,
30,Western Reserve Academy (OH),17,6,93.7,
31,Shoreham-Wading River (NY),16,2,93.64,
32,Dallas Jesuit (TX),15,2,93.59,
33,Ridgefield (CT),13,5,93.26,
34,Seton Hall Prep (NJ),19,4,93.25,
35,St Stephen/St Agnes (VA),18,5,93.24,
36,Wilton (CT),19,4,93.22,
37,Garden City (NY),19,2,93.12,
38,Radnor (PA),24,2,93.01,
39,Bullis (MD),15,5,93.01,
40,Episcopal Academy (PA),11,8,92.97,
41,Mountain Lakes (NJ),22,1,92.96,
42,La Salle College High (PA),18,4,92.92,
43,Loyola Blakefield (MD),6,9,92.81,
44,Belmont Hill (MA),14,3,92.68,
45,Severn (MD),10,8,92.6,
46,Gonzaga (DC),14,7,92.57,
47,Summit (NJ),18,3,92.51,
48,Salesianum (DE),10,4,92.5,
49,Hill School (PA),11,6,92.46,
50,Tabor Academy (MA),15,3,92.3,
51,Paul VI (VA),18,6,92.19,
52,Academy New Church (PA),14,4,92.11,
53,Upper Arlington (OH),23,1,92.05,
54,Delbarton (NJ),15,6,92.05,
