Rank,Team,W,L,Rating,Link
1,Lawrenceville (NJ),11,1,99.9,
2,Brunswick School (CT),8,0,99.17,
3,Culver Academy Prep (IN),11,2,96.62,
4,McDonogh (MD),8,3,96.58,
5,Boys' Latin (MD),10,1,96.55,
6,St. Anthony's (NY),7,2,96.53,
7,Malvern Prep (PA),10,2,96.49,
8,Calvert Hall (MD),7,4,95.61,
9,Ridgewood (NJ),7,0,95.35,
10,Haverford School (PA),12,0,95.23,
11,Gilman (MD),9,3,95.18,
12,Deerfield (MA),6,2,95.13,
13,Western Reserve Academy (OH),9,1,95.08,
14,Hill Academy (ON),4,4,94.82,
15,Loomis Chaffee (CT),8,1,94.22,
16,Landon (MD),12,2,93.73,
17,Salisbury School (CT),6,2,93.63,
18,Chaminade (NY),4,3,93.57,
19,Don Bosco Prep (NJ),5,2,93.47,
20,Darien (CT),5,3,93.38,
21,Archbishop Spalding (MD),9,4,93.23,
22,Taft School (CT),4,5,92.92,
23,Salesianum (DE),10,0,92.89,
24,Belmont Hill (MA),8,1,92.66,
25,Loyola Blakefield (MD),3,7,92.54,
26,Pingry (NJ),5,1,92.41,
27,Georgetown Prep (MD),8,4,92.41,
28,Garden City (NY),8,2,92.4,
29,Bernards (NJ),7,0,92.23,
30,La Salle College High (PA),8,0,92.22,
31,St Sebastian (MA),7,3,92.2,
32,Holderness (NH),6,1,92.05,
33,Jesuit Portland (OR),7,1,92.03,
34,Fairfield Prep (CT),7,1,91.97,
35,St Paul's (MD),7,3,91.89,
36,Bullis (MD),10,3,91.88,
37,St John's DC (DC),6,4,91.85,
38,Radnor (PA),8,3,91.82,
39,Olentangy Liberty (OH),7,0,91.76,
40,Saint Ignatius Prep (CA),13,2,91.44,
41,Gonzaga (DC),9,4,91.38,
42,Roswell (GA),16,2,91.35,
43,Episcopal Academy (PA),9,2,91.2,
44,Kiski Prep (PA),12,4,91.2,
45,IMG National (FL),6,3,91.13,
46,Montclair (NJ),4,4,90.98,
47,Westlake (TX),14,1,90.96,
48,Phillips Andover (MA),5,2,90.95,
49,Springside Chestnut (PA),9,4,90.93,
50,New Canaan (CT),8,1,90.78,
51,Delbarton (NJ),5,3,90.75,
52,Highland Park (TX),13,2,90.71,
53,East Islip (NY),9,1,90.63,
54,Rumson-Fair Haven (NJ),8,0,90.61,
55,Dublin Jerome (OH),3,1,90.57,
56,Roxbury Latin (MA),5,3,90.56,
57,South Side (NY),9,1,90.53,
58,Saint Andrew's (FL),17,1,90.47,
59,Northport (NY),8,1,90.47,
60,Bayport-Blue Point (NY),10,0,90.37,
61,Mount St. Joseph (MD),7,4,90.35,
62,Half Hollow Hills (NY),10,0,90.31,
63,Noble & Greenough (MA),4,3,90.29,
64,Ridgefield (CT),5,2,90.25,
65,Walton (GA),3,2,90.17,
66,Hill School (PA),7,3,90.16,
67,Cherry Creek (CO),9,2,90.13,
68,Westtown (PA),5,4,90.1,
69,Marple Newtown (PA),7,1,90.07,
70,Lambert (GA),6,2,90.04,
71,Our Lady of Good Counsel (MD),12,2,90.01,
72,Torrey Pines (CA),10,3,90.0,
73,Ward Melville (NY),5,3,89.99,
74,Tabor Academy (MA),4,4,89.96,
75,St Mary's Annapolis (MD),3,11,89.95,
76,Ramapo (NJ),2,2,89.81,
77,Central York (PA),1,0,89.77,
78,Paul VI (VA),11,2,89.74,
79,Arapahoe (CO),2,0,89.64,
80,Springfield-Delco (PA),7,2,89.64,
81,Cannon School (NC),12,3,89.6,
82,North Paulding (GA),18,0,89.52,
83,Shawnee (NJ),4,2,89.48,
84,Ridge (NJ),1,2,89.48,
85,St Margarets Episcopal (CA),15,2,89.44,
86,Phillips Exeter (NH),8,2,89.43,
87,Buford (GA),15,1,89.37,
88,Middlesex School (MA),6,1,89.36,
89,Valor Christian (CO),7,2,89.35,
90,Wantagh (NY),5,3,89.2,
91,Severn (MD),4,8,89.18,
92,Sacred Heart Prep (CA),11,4,89.12,
93,Academy New Church (PA),5,4,89.11,
94,Upper Arlington (OH),7,2,89.01,
95,Lake Mary (FL),20,1,89.0,
96,Lake Highland Prep (FL),11,2,88.94,
97,Moorestown (NJ),5,1,88.94,
98,Towson (MD),8,0,88.87,
99,Milton Academy (MA),3,3,88.87,
100,Berkshire School (MA),4,4,88.79,
101,Charlotte Catholic (NC),17,0,88.78,
102,Westfield (NJ),5,1,88.78,
103,Woodlands (TX),9,4,88.75,
104,Manasquan (NJ),6,0,88.68,
105,Severna Park (MD),9,1,88.67,
106,Staples-Westport (CT),4,3,88.65,
107,Rivers School (MA),4,3,88.63,
108,St Ignatius (OH),6,5,88.48,
109,Urbana (MD),8,0,88.47,
110,Battlefield (VA),7,0,88.45,
111,The Governor's Academy (MA),4,5,88.44,
112,Cape Henlopen (DE),6,3,88.43,
113,Iona Prep (NY),7,3,88.4,
