index,team,record,rpi,projections,1st,2nd,3rd,sos,vs_1-5,vs_6-10,vs_11-20,vs_21+,gender,division
1,Florida Southern,13-3,0.7058,,0.8125,0.7156,0.5795,1,0 - 1,2 - 2,4 - 0,7 - 0,girls,D2
2,Maryville,14-0,0.6914,,1.0,0.615,0.5356,19,1 - 0,1 - 0,1 - 0,11 - 0,girls,D2
3,Grand Valley State,11-1,0.6805,,0.9167,0.6245,0.5561,21,0 - 1,0 - 0,2 - 0,9 - 0,girls,D2
4,West Chester,11-0,0.6801,,1.0,0.5777,0.5651,28,0 - 0,1 - 0,1 - 0,9 - 0,girls,D2
5,Pace,12-0,0.6779,,1.0,0.5683,0.5749,24,1 - 0,2 - 0,1 - 0,8 - 0,girls,D2
6,Tampa,12-3,0.6632,,0.8,0.636,0.5807,3,0 - 2,1 - 1,4 - 0,7 - 0,girls,D2
7,Flagler,14-2,0.6428,,0.875,0.5595,0.577,10,0 - 1,0 - 0,2 - 1,12 - 0,girls,D2
8,Adelphi,10-2,0.6417,,0.8333,0.5894,0.5547,23,1 - 1,1 - 0,0 - 1,8 - 0,girls,D2
9,Regis (CO),12-1,0.6402,,0.9231,0.5497,0.5384,29,1 - 1,0 - 0,1 - 0,10 - 0,girls,D2
10,Kutztown,10-2,0.6325,,0.8333,0.5728,0.551,29,0 - 1,0 - 1,1 - 0,9 - 0,girls,D2
11,Lynn,12-3,0.6243,,0.8,0.5684,0.5602,12,0 - 0,1 - 1,1 - 2,10 - 0,girls,D2
12,Embry-Riddle,12-4,0.62,,0.75,0.5743,0.5814,7,0 - 1,0 - 1,1 - 2,11 - 0,girls,D2
13,Rollins,11-5,0.6185,,0.6875,0.6036,0.5794,6,0 - 1,0 - 1,1 - 3,10 - 0,girls,D2
14,Saint Leo,10-5,0.6181,,0.6667,0.6188,0.5683,5,0 - 1,0 - 2,3 - 0,7 - 2,girls,D2
15,Northern Michigan,9-3,0.6067,,0.75,0.5723,0.532,43,0 - 2,0 - 0,0 - 0,9 - 1,girls,D2
16,UIndy,11-4,0.6049,,0.7333,0.565,0.5563,15,0 - 2,0 - 2,0 - 0,11 - 0,girls,D2
17,East Stroudsburg,8-4,0.6033,,0.6667,0.5906,0.5656,22,0 - 2,1 - 1,0 - 0,7 - 1,girls,D2
18,Slippery Rock,9-2,0.603,,0.8182,0.5376,0.5185,67,0 - 0,0 - 0,1 - 0,8 - 2,girls,D2
19,Limestone,14-1,0.602,,0.9333,0.4853,0.504,54,0 - 0,0 - 0,1 - 0,13 - 1,girls,D2
20,Lock Haven,11-1,0.6019,,0.9167,0.4868,0.5174,73,0 - 0,0 - 0,0 - 1,11 - 0,girls,D2
