index,team,record,rpi,projections,1st,2nd,3rd,sos,vs_1-5,vs_6-10,vs_11-20,vs_21+,gender,division
49,Franklin Pierce,3-8,0.468,,0.2727,0.5477,0.504,44,0 - 2,0 - 1,0 - 1,3 - 4,boys,D2
50,Barton,6-8,0.467,,0.4286,0.4723,0.4948,37,0 - 1,0 - 1,0 - 0,6 - 6,boys,D2
51,William Jewell,4-7,0.466,,0.3636,0.5082,0.4839,53,0 - 0,0 - 1,0 - 3,4 - 3,boys,D2
52,Walsh,4-8,0.4538,,0.3333,0.5013,0.4795,50,0 - 0,0 - 1,0 - 2,4 - 5,boys,D2
53,AIC,5-8,0.4531,,0.3846,0.4618,0.5041,39,0 - 1,0 - 1,0 - 2,5 - 4,boys,D2
54,Mars Hill,5-9,0.449,,0.3571,0.4752,0.4884,40,0 - 1,0 - 1,0 - 1,5 - 6,boys,D2
55,Concordia Irvine,6-7,0.4424,,0.4615,0.4149,0.4782,51,0 - 0,0 - 1,0 - 2,6 - 4,boys,D2
56,Wheeling,5-7,0.4374,,0.4167,0.4278,0.4773,58,0 - 0,0 - 0,0 - 3,5 - 4,boys,D2
57,Bridgeport,6-6,0.4328,,0.5,0.3899,0.4513,67,0 - 0,0 - 0,0 - 0,6 - 6,boys,D2
58,Post,7-6,0.4276,,0.5385,0.3644,0.4431,71,0 - 0,0 - 0,0 - 0,7 - 6,boys,D2
59,Lincoln Memorial,4-11,0.4269,,0.2667,0.472,0.4969,21,0 - 2,0 - 1,0 - 1,4 - 7,boys,D2
60,Young Harris,6-7,0.4222,,0.4615,0.3808,0.4655,62,0 - 0,0 - 0,0 - 0,6 - 7,boys,D2
61,Malone,6-6,0.4214,,0.5,0.3705,0.4445,68,0 - 0,0 - 0,0 - 2,6 - 4,boys,D2
62,Dominican (CA),2-10,0.4086,,0.1667,0.4967,0.4743,48,0 - 0,0 - 0,0 - 3,2 - 7,boys,D2
63,Thomas More,1-6,0.3968,,0.1429,0.4932,0.458,59,0 - 0,0 - 0,0 - 2,1 - 4,boys,D2
64,Caldwell,3-7,0.3965,,0.3,0.4039,0.4783,66,0 - 0,0 - 0,0 - 1,3 - 6,boys,D2
65,Tusculum,1-14,0.3921,,0.0667,0.5041,0.4935,17,0 - 2,0 - 1,0 - 1,1 - 10,boys,D2
66,Shorter,3-5,0.3751,,0.375,0.3349,0.4556,75,0 - 0,0 - 0,0 - 0,3 - 5,boys,D2
67,St. Thomas Aquinas,5-9,0.3693,,0.3571,0.3598,0.4005,72,0 - 0,0 - 1,0 - 1,5 - 7,boys,D2
68,Dominican (NY),3-7,0.3686,,0.3,0.3757,0.4232,76,0 - 0,0 - 0,0 - 0,3 - 7,boys,D2
69,Chowan,5-7,0.3654,,0.4167,0.3034,0.4382,74,0 - 0,0 - 0,0 - 0,5 - 7,boys,D2
70,Tiffin,1-8,0.3639,,0.1111,0.4519,0.4408,69,0 - 0,0 - 0,0 - 1,1 - 7,boys,D2
71,Emmanuel (GA),0-15,0.3583,,0.0,0.4845,0.464,45,0 - 0,0 - 0,0 - 1,0 - 14,boys,D2
72,Felician,4-7,0.3484,,0.3636,0.3105,0.4088,78,0 - 0,0 - 0,0 - 0,4 - 7,boys,D2
73,D'Youville,2-12,0.3411,,0.1429,0.3835,0.4544,63,0 - 0,0 - 0,0 - 0,2 - 12,boys,D2
74,Lees-McRae,0-7,0.336,,0.0,0.4595,0.4251,70,0 - 0,0 - 0,0 - 0,0 - 7,boys,D2
75,CSU Pueblo,2-9,0.3343,,0.1818,0.3445,0.4666,65,0 - 0,0 - 0,0 - 2,2 - 7,boys,D2
76,Adams State,1-10,0.3179,,0.0909,0.3582,0.4641,64,0 - 0,0 - 0,0 - 2,1 - 8,boys,D2
77,Davis & Elkins,3-9,0.3149,,0.25,0.2878,0.4341,73,0 - 0,0 - 0,0 - 2,3 - 7,boys,D2
78,District of Columbia,1-9,0.2942,,0.1,0.3309,0.4151,77,0 - 0,0 - 1,0 - 0,1 - 8,boys,D2
79,Holy Family,0-10,0.2749,,0.0,0.3535,0.3925,79,0 - 0,0 - 0,0 - 0,0 - 10,boys,D2
80,Virginia State,1-9,0.2654,,0.1,0.2925,0.3768,80,0 - 0,0 - 0,0 - 0,1 - 9,boys,D2
