index,team,record,rpi,projections,1st,2nd,3rd,sos,vs_1-5,vs_6-10,vs_11-20,vs_21+,gender,division
104,Maritime College,6-3,0.531,,0.6667,0.4899,0.4774,194,0 - 0,0 - 0,0 - 0,6 - 3,girls,D3
105,Keene State,7-4,0.5299,,0.6364,0.5075,0.4683,158,0 - 0,0 - 0,0 - 0,7 - 4,girls,D3
106,Messiah,5-8,0.5297,,0.3846,0.5759,0.5825,25,0 - 2,0 - 1,0 - 0,5 - 5,girls,D3
107,Roger Williams,7-7,0.5266,,0.5,0.5379,0.5309,39,0 - 0,0 - 0,0 - 3,7 - 4,girls,D3
108,Meredith,8-5,0.5264,,0.6154,0.5021,0.4859,112,0 - 0,0 - 0,0 - 1,8 - 4,girls,D3
109,Marymount,8-6,0.5261,,0.5714,0.5322,0.4684,104,0 - 0,0 - 0,0 - 0,8 - 6,girls,D3
110,Nazareth,5-7,0.5261,,0.4167,0.5974,0.4927,79,0 - 0,0 - 0,0 - 1,5 - 6,girls,D3
111,Plymouth State,6-6,0.5256,,0.5,0.5494,0.5034,65,0 - 0,0 - 0,0 - 0,6 - 6,girls,D3
112,Cornell College,10-2,0.5239,,0.8333,0.4031,0.4562,227,0 - 0,0 - 0,0 - 0,10 - 2,girls,D3
113,Rochester,8-5,0.5231,,0.6154,0.4662,0.5446,78,0 - 0,0 - 1,0 - 0,8 - 4,girls,D3
114,Misericordia,4-7,0.523,,0.3636,0.6213,0.4857,93,0 - 0,0 - 0,0 - 0,4 - 7,girls,D3
115,Willamette,10-2,0.5223,,0.8333,0.3915,0.4727,215,0 - 0,0 - 0,0 - 0,10 - 2,girls,D3
116,Simmons,7-8,0.5212,,0.4667,0.5827,0.453,136,0 - 0,0 - 0,0 - 0,7 - 8,girls,D3
117,Saint Benedict,5-2,0.5209,,0.7143,0.4433,0.4828,212,0 - 0,0 - 0,0 - 0,5 - 2,girls,D3
118,Smith College,7-8,0.5207,,0.4667,0.5302,0.5558,45,0 - 0,0 - 0,0 - 1,7 - 7,girls,D3
119,Ohio Northern,8-6,0.5165,,0.5714,0.5082,0.4781,119,0 - 0,0 - 0,0 - 0,8 - 6,girls,D3
120,Moravian,6-6,0.516,,0.5,0.5147,0.5344,86,0 - 0,0 - 1,0 - 0,6 - 5,girls,D3
121,Wheaton,8-6,0.515,,0.5714,0.4754,0.5375,91,0 - 0,0 - 0,0 - 0,8 - 6,girls,D3
122,Worcester State,7-6,0.5137,,0.5385,0.4937,0.529,116,0 - 0,0 - 0,0 - 0,7 - 6,girls,D3
123,RIT,6-6,0.5133,,0.5,0.5127,0.5278,80,0 - 0,0 - 1,0 - 0,6 - 5,girls,D3
124,Skidmore,6-7,0.5101,,0.4615,0.512,0.5546,50,0 - 0,0 - 0,0 - 1,6 - 6,girls,D3
125,Trine,7-3,0.5066,,0.7,0.4354,0.4554,228,0 - 0,0 - 0,0 - 0,7 - 3,girls,D3
126,Bridgewater,8-7,0.5065,,0.5333,0.4882,0.5164,100,0 - 0,0 - 1,0 - 0,8 - 6,girls,D3
127,Edgewood,7-6,0.5062,,0.5385,0.5002,0.4858,140,0 - 0,0 - 0,0 - 0,7 - 6,girls,D3
128,Bryn Athyn,7-2,0.5059,,0.7778,0.3865,0.4729,241,0 - 0,0 - 0,0 - 0,7 - 2,girls,D3
129,Redlands,6-9,0.5046,,0.4,0.5566,0.5053,45,0 - 0,0 - 0,0 - 2,6 - 7,girls,D3
130,Illinois Wesleyan,6-7,0.5031,,0.4615,0.52,0.5109,75,0 - 0,0 - 0,0 - 1,6 - 6,girls,D3
131,Drew,7-7,0.503,,0.5,0.4843,0.5437,57,0 - 0,0 - 0,0 - 0,7 - 7,girls,D3
132,McDaniel,6-7,0.5029,,0.4615,0.5045,0.5411,64,0 - 0,0 - 1,0 - 1,6 - 5,girls,D3
133,Lebanon Valley,8-5,0.502,,0.6154,0.4376,0.5176,135,0 - 0,0 - 1,0 - 1,8 - 3,girls,D3
134,St. Lawrence,3-9,0.5017,,0.25,0.5966,0.5636,38,0 - 2,0 - 1,0 - 1,3 - 5,girls,D3
135,Hartwick,6-5,0.5003,,0.5455,0.4851,0.4856,158,0 - 0,0 - 0,0 - 0,6 - 5,girls,D3
136,Buffalo State,6-5,0.4992,,0.5455,0.4918,0.468,178,0 - 0,0 - 0,0 - 0,6 - 5,girls,D3
137,Southern Maine,5-5,0.498,,0.5,0.5015,0.4887,172,0 - 0,0 - 0,0 - 1,5 - 4,girls,D3
138,Neumann,6-7,0.4976,,0.4615,0.535,0.4587,139,0 - 0,0 - 0,0 - 0,6 - 7,girls,D3
139,Farmingdale State,5-8,0.4942,,0.3846,0.5453,0.5017,92,0 - 0,0 - 1,0 - 0,5 - 7,girls,D3
140,Nichols,11-3,0.4925,,0.7857,0.3535,0.4774,214,0 - 0,0 - 0,0 - 0,11 - 3,girls,D3
141,Norwich,8-3,0.4922,,0.7273,0.3801,0.4811,226,0 - 0,0 - 0,0 - 0,8 - 3,girls,D3
142,Lycoming,5-7,0.4899,,0.4167,0.5247,0.4936,113,0 - 0,0 - 0,0 - 0,5 - 7,girls,D3
143,Bridgewater State,5-9,0.4897,,0.3571,0.545,0.5118,77,0 - 0,0 - 0,0 - 0,5 - 9,girls,D3
144,Plattsburg State,3-9,0.4881,,0.25,0.6125,0.4775,82,0 - 0,0 - 0,0 - 0,3 - 9,girls,D3
145,Clark,7-7,0.4872,,0.5,0.4753,0.4983,110,0 - 0,0 - 0,0 - 1,7 - 6,girls,D3
146,Beloit,5-4,0.4858,,0.5556,0.4712,0.445,225,0 - 0,0 - 0,0 - 0,5 - 4,girls,D3
147,Whitworth,7-4,0.4856,,0.6364,0.4166,0.473,215,0 - 0,0 - 0,0 - 0,7 - 4,girls,D3
148,FDU Florham,3-7,0.4837,,0.3,0.5888,0.4573,153,0 - 0,0 - 0,0 - 0,3 - 7,girls,D3
149,Marywood,6-7,0.4836,,0.4615,0.5057,0.4615,154,0 - 0,0 - 0,0 - 0,6 - 7,girls,D3
150,Ferrum,8-4,0.4828,,0.6667,0.3822,0.5001,195,0 - 0,0 - 1,0 - 0,8 - 3,girls,D3
151,Immaculata,8-5,0.4823,,0.6154,0.431,0.4519,187,0 - 0,0 - 0,0 - 0,8 - 5,girls,D3
152,Transylvania,5-7,0.4823,,0.4167,0.5113,0.49,99,0 - 0,0 - 0,0 - 0,5 - 7,girls,D3
153,Oneonta,4-9,0.477,,0.3077,0.5465,0.5072,83,0 - 0,0 - 0,0 - 0,4 - 9,girls,D3
154,Eastern Connecticut,6-6,0.4755,,0.5,0.4401,0.5218,126,0 - 0,0 - 0,0 - 0,6 - 6,girls,D3
155,Piedmont,8-6,0.4754,,0.5714,0.4237,0.4826,149,0 - 0,0 - 0,0 - 0,8 - 6,girls,D3
156,Potsdam,3-7,0.4719,,0.3,0.5568,0.4743,161,0 - 0,0 - 0,0 - 0,3 - 7,girls,D3
157,Hood,4-9,0.4708,,0.3077,0.5439,0.4879,85,0 - 0,0 - 0,0 - 0,4 - 9,girls,D3
158,Emerson,5-8,0.4706,,0.3846,0.5009,0.4959,104,0 - 0,0 - 0,0 - 1,5 - 7,girls,D3
159,Rivier,6-6,0.4699,,0.5,0.4705,0.4387,207,0 - 0,0 - 0,0 - 0,6 - 6,girls,D3
160,Cedar Crest,4-3,0.4691,,0.5714,0.4331,0.4386,249,0 - 0,0 - 0,0 - 0,4 - 3,girls,D3
161,Allegheny,5-6,0.4673,,0.4545,0.4652,0.4842,165,0 - 0,0 - 0,0 - 0,5 - 6,girls,D3
162,North Central,6-3,0.4652,,0.6667,0.3639,0.4661,254,0 - 0,0 - 0,0 - 0,6 - 3,girls,D3
163,St. Joseph's (NY),6-4,0.4635,,0.6,0.3965,0.4609,244,0 - 0,0 - 0,0 - 0,6 - 4,girls,D3
164,Grove City,9-3,0.4625,,0.75,0.3209,0.4581,253,0 - 0,0 - 0,0 - 0,9 - 3,girls,D3
165,Southwestern,2-6,0.4614,,0.25,0.5427,0.5105,130,0 - 0,0 - 0,0 - 1,2 - 5,girls,D3
166,Mass Maritime,5-8,0.4605,,0.3846,0.5096,0.4383,170,0 - 0,0 - 0,0 - 0,5 - 8,girls,D3
167,Western New England,5-8,0.4596,,0.3846,0.4844,0.4847,108,0 - 0,0 - 0,0 - 0,5 - 8,girls,D3
168,Regis (MA),8-5,0.4586,,0.6154,0.3831,0.4527,202,0 - 0,0 - 0,0 - 0,8 - 5,girls,D3
169,Hamline,6-6,0.4583,,0.5,0.433,0.4673,177,0 - 0,0 - 0,0 - 0,6 - 6,girls,D3
170,Mount St. Mary,7-4,0.4583,,0.6364,0.3582,0.4802,235,0 - 0,0 - 0,0 - 0,7 - 4,girls,D3
171,Whitman,6-5,0.4566,,0.5455,0.4017,0.4777,204,0 - 0,0 - 0,0 - 0,6 - 5,girls,D3
172,Chatham,6-6,0.4558,,0.5,0.4388,0.4456,197,0 - 0,0 - 0,0 - 0,6 - 6,girls,D3
173,St. Joseph (CT),9-4,0.4533,,0.6923,0.3174,0.4859,204,0 - 0,0 - 0,0 - 0,9 - 4,girls,D3
174,UMass-Dartmouth,8-4,0.4533,,0.6667,0.3494,0.4475,240,0 - 0,0 - 0,0 - 0,8 - 4,girls,D3
175,SUNY Canton,5-5,0.4516,,0.5,0.4148,0.4766,200,0 - 0,0 - 0,0 - 0,5 - 5,girls,D3
176,MSOE,3-6,0.4508,,0.3333,0.5085,0.4528,192,0 - 0,0 - 0,0 - 0,3 - 6,girls,D3
177,Marietta,6-7,0.4506,,0.4615,0.4397,0.4616,171,0 - 0,0 - 0,0 - 0,6 - 7,girls,D3
178,Hartford,6-6,0.45,,0.5,0.4002,0.4995,160,0 - 0,0 - 0,0 - 0,6 - 6,girls,D3
