index,Team,Record,RPI,Projections,1st,2nd,3rd,SOS,vs 1-5,vs 6-10,vs 11-20,vs 21+
84,Haverford,7-6,0.5423,,0.5385,0.5419,0.5468,63,0 - 0,3 - 9,0 - 0,39 - 58
85,Carthage,6-7,0.5389,,0.4615,0.5883,0.5173,101,0 - 0,0 - 0,11 - 8,87 - 34
86,Plymouth State,9-4,0.5378,,0.6923,0.4819,0.4951,187,0 - 0,0 - 0,0 - 0,65 - 56
87,Kean,8-6,0.5376,,0.5714,0.5180,0.5429,95,0 - 2,0 - 3,0 - 0,75 - 42
88,SUNY Maritime,7-4,0.5372,,0.6364,0.5010,0.5102,91,0 - 1,1 - 1,0 - 2,56 - 39
89,Baldwin Wallace,6-6,0.5365,,0.5000,0.5604,0.5253,124,0 - 0,0 - 0,4 - 1,84 - 28
90,DeSales,7-5,0.5363,,0.5833,0.5085,0.5448,115,0 - 2,0 - 0,0 - 0,69 - 49
91,Adrian,4-6,0.5362,,0.4000,0.6118,0.5214,94,0 - 0,0 - 0,1 - 12,47 - 56
92,Concordia WI,9-4,0.5350,,0.6923,0.4839,0.4799,134,0 - 0,0 - 0,1 - 4,75 - 44
93,Saint Vincent,4-8,0.5335,,0.3333,0.6421,0.5165,110,0 - 0,0 - 0,2 - 7,59 - 24
94,Colby,5-7,0.5323,,0.4167,0.5751,0.5623,55,0 - 0,0 - 9,4 - 9,36 - 34
95,Connecticut College,4-6,0.5275,,0.4000,0.5584,0.5933,53,0 - 1,0 - 8,4 - 12,35 - 35
96,DePauw,7-6,0.5235,,0.5385,0.5373,0.4810,81,0 - 1,0 - 0,2 - 10,41 - 53
97,Washington,3-10,0.5232,,0.2308,0.6366,0.5888,23,0 - 7,3 - 15,1 - 8,39 - 44
98,Guilford,6-8,0.5225,,0.4286,0.5862,0.4890,83,0 - 0,0 - 1,0 - 14,46 - 41
99,Misericordia,6-7,0.5224,,0.4615,0.5724,0.4833,115,0 - 1,0 - 1,0 - 0,87 - 45
100,Eastern,4-9,0.5182,,0.3077,0.5977,0.5698,54,0 - 1,2 - 7,0 - 1,81 - 52
101,St. Joseph (CT),10-3,0.5176,,0.7692,0.4245,0.4522,229,0 - 0,0 - 0,0 - 0,33 - 31
102,Dubuque,7-5,0.5174,,0.5833,0.4853,0.5159,129,0 - 0,0 - 0,0 - 6,48 - 60
103,Moravian,8-6,0.5171,,0.5714,0.5115,0.4741,191,0 - 0,0 - 0,0 - 0,50 - 51
104,Illinois Tech,6-5,0.5158,,0.5455,0.5194,0.4791,178,0 - 0,0 - 0,0 - 3,24 - 25
105,Springfield,4-8,0.5154,,0.3333,0.5740,0.5803,33,1 - 8,0 - 3,8 - 10,46 - 39
106,Allegheny,7-5,0.5147,,0.5833,0.4928,0.4897,150,0 - 0,0 - 0,0 - 3,21 - 33
107,MIT,4-8,0.5126,,0.3333,0.5808,0.5552,48,1 - 5,0 - 0,4 - 7,64 - 22
108,Albion,5-9,0.5123,,0.3571,0.5772,0.5375,85,0 - 1,0 - 0,8 - 15,83 - 34
109,Transylvania,8-6,0.5118,,0.5714,0.4884,0.4989,114,0 - 0,0 - 0,5 - 2,85 - 47
110,Lasell,8-5,0.5099,,0.6154,0.4717,0.4807,153,0 - 0,0 - 2,0 - 0,84 - 42
111,Wabash,8-4,0.5076,,0.6667,0.4454,0.4731,84,0 - 0,0 - 0,0 - 10,34 - 59
112,Dean,8-4,0.5070,,0.6667,0.4660,0.4292,224,0 - 0,0 - 0,0 - 0,48 - 26
113,Keene State,5-5,0.5069,,0.5000,0.5018,0.5239,42,2 - 3,1 - 7,2 - 2,69 - 28
114,Oneonta,6-5,0.5065,,0.5455,0.4619,0.5566,74,0 - 4,0 - 2,0 - 0,31 - 49
115,Saint Joseph's (ME),7-7,0.5028,,0.5000,0.5310,0.4490,218,0 - 0,0 - 0,0 - 0,60 - 61
116,Nichols,8-6,0.5021,,0.5714,0.4535,0.5299,93,0 - 0,0 - 1,0 - 12,60 - 55
117,Southern Virginia,5-9,0.5018,,0.3571,0.5799,0.4904,23,0 - 7,0 - 9,1 - 5,58 - 49
118,Wheaton,8-5,0.5007,,0.6154,0.4387,0.5098,70,0 - 0,0 - 2,0 - 8,51 - 39
119,Salve Regina,4-7,0.4997,,0.3636,0.5568,0.5215,86,0 - 0,0 - 1,0 - 12,59 - 43
120,Bates,3-10,0.4992,,0.2308,0.5970,0.5721,30,0 - 5,1 - 5,9 - 11,35 - 34
121,Muskingum,7-7,0.4982,,0.5000,0.5256,0.4418,195,0 - 0,0 - 0,0 - 0,40 - 67
122,Emerson,6-8,0.4981,,0.4286,0.5091,0.5455,69,0 - 1,0 - 3,0 - 9,33 - 50
123,US Merchant Marine,7-4,0.4980,,0.6364,0.4252,0.5052,141,0 - 1,0 - 2,0 - 0,55 - 37
124,Mass Maritime,8-7,0.4959,,0.5333,0.4968,0.4564,186,0 - 0,0 - 0,0 - 3,46 - 49
125,Drew,7-7,0.4896,,0.5000,0.4959,0.4668,78,0 - 0,0 - 8,0 - 0,37 - 67
126,McDaniel,7-7,0.4881,,0.5000,0.4656,0.5214,60,0 - 0,2 - 12,0 - 1,38 - 64
127,Virginia Wesleyan,5-8,0.4867,,0.3846,0.5421,0.4779,72,0 - 0,0 - 4,1 - 11,39 - 50
128,Otterbein,6-6,0.4845,,0.5000,0.4630,0.5120,149,0 - 0,0 - 0,0 - 3,66 - 50
129,Marymount,5-9,0.4838,,0.3571,0.5478,0.4823,75,0 - 3,0 - 3,1 - 1,41 - 71
130,Chatham,7-6,0.4827,,0.5385,0.4585,0.4754,138,0 - 0,0 - 0,0 - 6,34 - 35
131,Gordon,4-8,0.4822,,0.3333,0.5477,0.4999,117,0 - 0,0 - 0,0 - 8,26 - 65
132,Marietta,7-6,0.4813,,0.5385,0.4587,0.4694,203,0 - 0,0 - 0,0 - 0,29 - 51
133,Johnson & Wales (RI),8-4,0.4809,,0.6667,0.4070,0.4429,217,0 - 0,0 - 0,0 - 0,66 - 63
134,Westminster (PA),8-5,0.4807,,0.6154,0.4128,0.4817,132,0 - 0,0 - 0,0 - 7,46 - 32
