index,Team,Record,RPI,Projections,1st,2nd,3rd,SOS,vs 1-5,vs 6-10,vs 11-20,vs 21+
18,Endicott,12-1,0.6418,,0.9231,0.5398,0.5646,44,0 - 7,0 - 4,3 - 7,91 - 30
19,Grove City,10-4,0.6331,,0.7143,0.6281,0.5620,66,0 - 2,1 - 3,1 - 3,50 - 21
20,Elmhurst,10-2,0.6325,,0.8333,0.5646,0.5673,112,0 - 0,0 - 0,3 - 5,73 - 42
21,Cortland,8-3,0.6320,,0.7273,0.6030,0.5947,1,1 - 16,0 - 1,3 - 1,83 - 16
22,Geneseo,8-5,0.6307,,0.6154,0.6705,0.5663,13,0 - 15,0 - 0,0 - 0,56 - 31
23,Gettysburg,8-5,0.6296,,0.6154,0.6514,0.6004,19,3 - 7,11 - 11,7 - 2,88 - 16
24,Hampden-Sydney,11-4,0.6270,,0.7333,0.6113,0.5520,37,0 - 3,2 - 7,8 - 10,79 - 23
25,Stevens,11-2,0.6262,,0.8462,0.5527,0.5533,34,0 - 4,2 - 13,6 - 3,101 - 17
26,Williams,6-6,0.6250,,0.5000,0.6968,0.6064,28,9 - 6,2 - 10,9 - 9,46 - 20
27,Lynchburg,8-5,0.6237,,0.6154,0.6511,0.5771,15,3 - 10,2 - 9,15 - 7,84 - 17
28,Skidmore,9-5,0.6229,,0.6429,0.6338,0.5811,10,1 - 28,4 - 4,1 - 8,43 - 23
29,Middlebury,7-6,0.6193,,0.5385,0.6700,0.5989,21,7 - 10,2 - 7,13 - 9,46 - 13
30,Stockton,10-5,0.6146,,0.6667,0.6143,0.5631,47,0 - 4,2 - 4,0 - 1,107 - 24
31,Randolph-Macon,11-3,0.6125,,0.7857,0.5583,0.5476,62,0 - 1,0 - 6,1 - 12,68 - 33
