Rank,Club,Rating,Link
1,LI Yellow Jackets 2025 Spallina,99.9,
2,STEPS Elite NJ 2025 Navy,99.86,
3,Hero's 2025 Green,99.6,
4,M&D 2025 Black,99.44,
5,Big 4 HHH 2025,99.09,
6,Primetime 2025,98.85,
7,Sky Walkers 2025 Blue,98.78,
8,Mass Elite 2025 Red,98.18,
9,Monster Elite 2025 Purple,97.5,
10,CT Grizzlies 2025 Navy,97.19,
11,Capital 2025 Blue,97.12,
12,NXT 2025 Black,97.06,
13,LI Top Guns 2025 Black,96.55,
14,Aces Elite 2025,96.52,
15,LI Yellow Jackets 2025 Bertolone,96.36,
16,LI Yellow Jackets 2025 Janelli,96.15,
17,Team Elevate 2025 Blue,95.52,
18,LBC 2025,95.46,
19,Florida Select 2025,95.43,
20,Cav Lax Elite 2025,95.23,
21,Tradition 2025,95.19,
22,Aim 2025,95.03,
23,Cavalier 2025,95.03,
24,Eagle Stix 2025 Blue,94.78,
25,BBL Elite 2025 Black,94.71,
26,Oregon Pride 2025,94.68,
27,Yellow Jackets 2025 Lomo,94.52,
28,LI Legacy 2025 Blue,94.4,
29,Denver Pride 2025,94.25,
30,Hoco Girls 2025 Black,94.2,
31,LI Jesters 2025 Black,94.19,
32,3D Maryland 2025 Frederick,93.91,
33,GRIT Dallas 2025,93.88,
34,STEPS California 2025,93.69,
35,Limitless Elite 2025,93.62,
36,Salt City Snipers 2025,93.54,
37,DEWLAX 2025 BLACK,93.48,
38,MD United 2025 East,93.41,
39,Team 180 2025,93.4,
40,NEMS 2025,93.11,
41,M&D 2025 Red,93.1,
42,York Invaders 2025,93.0,
43,Hero's 2025 White,92.96,
44,Phantastix 2025 Purple,92.6,
45,STEPS Elite NJ 2025 Carolina,92.59,
46,Lax Maniax 2025 Black,92.52,
47,LI Liberty 2025 Black,92.32,
48,Triple Threat Elite 2025 Iron,92.12,
49,Mass Elite 2025 Blue,92.1,
50,Pride 2025 Black,92.05,
51,Sound 2025,92.03,
52,Philly Blast 2025 Pride,91.92,
53,Orange Crush 2025,91.76,
54,Mad Dog West Elite 2025,91.71,
55,South Jersey Select 2025 Pink,91.7,
56,Laxachusetts 2025 Black,91.64,
57,UT Express 2025/2026,91.6,
58,DEWLAX 2025 CT,91.57,
59,Southern Zone 2025,91.48,
60,Team Ontario U15,91.48,
61,Atlanta Storm 2025 Blue,91.46,
62,Sky Walkers 2025 White,91.26,
63,Mass Elite 2025 White,91.17,
64,3D Colorado 2025 AA,90.98,
65,Yellow Jackets South 2025 Blue,90.85,
66,CT Grizzlies 2025 Yellow,90.79,
67,Team 91 Carolina 2025,90.66,
68,TLC 2025 Red,90.6,
69,Dynasty Elite 2025 Delta,90.58,
70,Capital 2025 Orange,90.48,
71,CLC 2025 Pride,90.32,
72,Coppermine 2025 Black,90.31,
73,HoCo 2025 Black,90.3,
74,Snipers Elite 2025,90.1,
75,Yellow Jackets North Mid Atlantic 2025,89.92,
76,Team ONE Wildcat 2025,89.9,
77,All Lax Select 2025,89.76,
78,Monster Elite 2025 White,89.74,
79,Lakeshore 2025,89.4,
80,Jersey Shore Select 2025 Blue,89.31,
81,Predators 2025,89.3,
82,3D Maryland 2025 Baltimore,89.24,
83,Xtreme 2025,89.24,
84,LI Empire 2025 Green,89.19,
85,LI Yellow Jackets 2025 Galvin,89.17,
86,DEWLAX CT '24-'25,89.12,
87,Lady Blue Crabs 25 Black,88.94,
88,Charlotte Style 2025 Black,88.88,
89,Yellow Jackets North 2025 Willams,88.82,
90,Gold Coast 2025 GOLD,88.64,
91,214Lax Dallas 2025,88.57,
92,MFL 2025 Black,88.5,
93,CheckHers 2025,88.44,
94,Storm Select 2025,88.44,
95,Team BC 2025,88.28,
96,REV 2025 Black,88.12,
97,MC Elite 2025 Midnight,87.96,
98,UPROAR 2025 ELITE,87.94,
99,Impact 2025,87.9,
100,Metro 2025 Blue,87.9,
101,Yellow Jackets North Rockland 2025,87.77,
102,Ultimate Elite 2025,87.72,
103,True National 2025,87.7,
104,Integrity 2025 Green,87.67,
105,Seattle Starz 2025,87.66,
106,Philadelphia Freedom 2025,87.65,
107,South Coast 2025,87.64,
108,M&D Orlando 2025 Black,87.6,
109,True Illinois 2025 State,87.6,
110,Bay State Bullets 2025 Silver,87.53,
111,NH Tomahawks 2025 Purple,87.53,
112,Ultimate CLT 2025 Blue,87.46,
113,FCA MD 2025 Blue,87.45,
114,BBL Elite 2025 Select,87.44,
115,LI Top Guns 2025 Purple,87.44,
116,CLC 2025 Rise,87.31,
117,Laxachusetts 2025 Yellow,87.27,
118,BBL 2025 North,87.25,
119,Charlotte Style 2025,87.1,
120,DelCo 2025 Select,87.04,
121,Reign 2025,86.95,
122,Pride 2025 Hansen,86.68,
123,Ultimate NJ 2025,86.65,
124,PPLC 2025 Blue,86.61,
125,NXT 2025 Volt,86.58,
126,Eagle Stix 2025 Grey,86.55,
127,Check Hers 2025 Black,86.34,
128,Hurricanes 2025 Black,86.16,
129,Lucky Lax 2025,86.13,
130,3D New England 2025,86.09,
131,Ultimate CC 2025,85.87,
132,Atlanta Storm 2025 Orange,85.63,
133,Renegades 25,85.6,
134,Relentless Hustle 2025,85.56,
135,Team 91 Long Island 2025,85.56,
136,Minnesota Elite 2025,85.55,
137,All American Aim 2025 Stars and Stripes,85.38,
138,Coast VA 2025,85.24,
139,LI Legacy 2025 White,85.08,
140,Pride 2025 Cora,84.71,
141,Yellow Jackets South 2025 Gold,84.71,
142,Phantoms 2025,84.64,
143,Common Goal 2025,84.58,
144,Phantastix 2025 White,84.54,
145,Team Elevate 2025 Red,84.5,
146,MD United 2025 West,84.43,
147,Georgia Lady Outlaws 2025 Pink,84.42,
148,CCLAX 2025,84.41,
149,South Jersey Select 2025 Black,84.33,
150,Nor'easter 2025 Grit,84.18,
