,Rank,Club,Rating,Link
0,--,3d Georgia 2028 Red,--,
1,--,Ballers 2027-2028,--,
2,--,Clippers 2028,--,
3,--,DC Express 2028 Black,--,
4,--,Mad Dog National 2028 Gold,--,
5,--,Mesa 2028,--,
6,--,Next Level 2028 Blue,--,
7,--,Rock Stars 2028,--,
8,--,Team 91 Charlotte 2028 Blue,--,
9,--,Team 91 Charlotte 2030 Blue,--,
10,--,Team 91 Maryland 2028,--,
11,--,Team Illinois 2028,--,
12,--,West Coast Starz 2028 Navy,--,
13,--,Yellow Jackets Maget/Bertolone 2028,--,
