,Rank,Club,Rating,Link
0,--,315 Elite 2027 Green,--,
1,--,315 Elite 2027 White,--,
2,--,3d Colorado 2027 AA,--,
3,--,Common Goal 2027,--,
4,--,3D Garden State 2027,--,
5,--,3d Maryland 2027 Black,--,
6,--,3d Maryland 2027 Gold,--,
7,--,3d New England 2027,--,
8,--,3d VA Metro 2027-28 Silver,--,
9,--,3D VA Metro 27 Navy,--,
10,--,3D VA Metro 27 Orange,--,
11,--,3 POINT 2027,--,
12,--,Aces Elite 2027,--,
13,--,AFA 2027,--,
14,--,All Lax Select 2027,--,
15,--,Aim 2027,--,
16,--,All American Aim 2027 Stars & Stripes,--,
17,--,Ambition Elite 2027,--,
18,--,ATL Storm 2027 Orange,--,
19,--,Atlanta Storm 2027 Blue,--,
