,Rank,Club,Rating,Link
0,--,253 Lacrosse Olympic 2027,--,
1,--,315 Elite 2027/2028 Black,--,
2,--,315 Elite 2027/2028 Green,--,
3,--,3d Colorado 2027 AA,--,
4,--,Common Goal 2027,--,
5,--,3D Garden State 2027,--,
6,--,3d national 2027,--,
7,--,3d New England 2027,--,
8,--,3d New England 2027 AA,--,
9,--,3D VA Metro 2027/2028 Navy,--,
10,--,3D VA Metro 27 Navy,--,
11,--,3D VA Metro 27 Orange,--,
12,--,3 POINT 2027,--,
13,--,410 West 14U 2027,--,
14,--,518 Excelerate 2027 Blue,--,
15,--,518 Excelerate 2027 Green,--,
16,--,802 Girls Lacrosse 2027,--,
17,--,Aces Elite 2027,--,
18,--,Aces Navy 2027,--,
19,--,Aces Youth Navy 2027,--,
