,Rank,Club,Rating,Link
0,--,3 Point Lacrosse 2028,--,
1,--,Aces Navy 2028,--,
2,--,AIM 2028,--,
3,--,Atlantic Shore 2028,--,
4,--,Black Bear 2028/2029,--,
5,--,Coppermine Black 2028,--,
6,--,Doylestown Descendants 2028,--,
7,--,ESLC Pirates 2028,--,
8,--,Freestyle Lacrosse 2028,--,
9,--,Grit Austin 2028,--,
10,--,Hero's 2028 Green,--,
11,--,Lake Effect Storm Elite 2028,--,
12,--,Next Level 2028,--,
13,--,NXT 2028 Black,--,
14,--,NXT 2028 Volt,--,
15,--,NXT Air Spark 2028,--,
16,--,Orange Crush 2028,--,
17,--,Phantastix 2028 West,--,
18,--,Philadelphia Freedom 2028 Red,--,
19,--,Philadelphia Freedom 2028 White,--,
