,Rank,Club,Rating,Link
0,--,3D Garden State 2027,--,
1,--,3d Texas 2027,--,
2,--,Sixers 2027,--,
3,--,BBL Elite 2027 Black,--,
4,--,Cannons 2027,--,
5,--,Cavalry LC 2027,--,
6,--,DC Express 2027 Black,--,
7,--,LI Legacy Gators 2027,--,
8,--,Red Hots 2027 AA,--,
9,--,Red Hots 2027 White,--,
10,--,Red Hots National 2027,--,
11,--,Shore 2 Shore 2027,--,
12,--,SouthShore 2027,--,
13,--,Team Maryland 2027,--,
14,--,True National 2027 Black,--,
15,--,True National 2027 Green,--,
16,--,True National White 2027,--,
