,Rank,Club,Rating,Link
0,--,214LAX DALLAS 2026 VOLT,--,
1,--,315 Elite 2026 Green,--,
2,--,Common Goal 2026,--,
3,--,3d New England 2026,--,
4,--,3d Virginia Metro 2026 Navy,--,
5,--,3Point 2026,--,
6,--,518 Excelerate 2026,--,
7,--,518 Excelerate 2026 Blue,--,
8,--,Aces Elite 2026,--,
9,--,ADK Peak 2026,--,
10,--,AFA 2026,--,
11,--,All Lax Select 2026,--,
12,--,AIM 2026,--,
13,--,Alliance National 2026,--,
14,--,Arc 2026,--,
15,--,Atlanta Storm 2026 Blue,--,
16,--,Atlanta Storm 2026 Orange,--,
17,--,Atlantic County Wave 2026,--,
18,--,Atlantic Shore 2026/2027,--,
19,--,B12 Girls LAX 2026,--,
