rank,club,rating,link,class,season,gender,websource
46,MFL 2024 Black,92.69,,2024,2022,girls,insidelacrosse
47,Laxachusetts 2024 Black,92.63,,2024,2022,girls,insidelacrosse
48,Sky Walkers 2024 White,92.59,,2024,2022,girls,insidelacrosse
49,Lax Maniax 2024 Black,92.44,,2024,2022,girls,insidelacrosse
50,TLC 2024 Red,92.41,,2024,2022,girls,insidelacrosse
51,Tenacity 2024,92.38,,2024,2022,girls,insidelacrosse
52,NXT 2024 Black,92.37,,2024,2022,girls,insidelacrosse
53,Xtreme 2024,92.36,,2024,2022,girls,insidelacrosse
54,Yellow Jackets South 2024,92.17,,2024,2022,girls,insidelacrosse
55,Ultimate 2024 Hustle,92.14,,2024,2022,girls,insidelacrosse
56,Southern Zone 2024,92.09,,2024,2022,girls,insidelacrosse
57,Hero's 2024 White,91.88,,2024,2022,girls,insidelacrosse
58,CLC 2024 Pride,91.8,,2024,2022,girls,insidelacrosse
59,Checkhers 2024,91.8,,2024,2022,girls,insidelacrosse
60,NH Tomahawks 2024 Purple,91.65,,2024,2022,girls,insidelacrosse
61,Monster Elite 2024 White,91.62,,2024,2022,girls,insidelacrosse
62,Lake Effect Storm 2024 Elite,91.53,,2024,2022,girls,insidelacrosse
63,Snipers Elite 2024,91.44,,2024,2022,girls,insidelacrosse
64,Ultimate PA 2024 Blue,91.14,,2024,2022,girls,insidelacrosse
65,Charlotte Style 2024,91.1,,2024,2022,girls,insidelacrosse
66,REV 2024 Black,91.1,,2024,2022,girls,insidelacrosse
67,Team CO Select Blue,91.04,,2024,2022,girls,insidelacrosse
68,Cavalier 2024,90.91,,2024,2022,girls,insidelacrosse
69,Coppermine 2024 Black,90.71,,2024,2022,girls,insidelacrosse
70,Team 91 Long Island 2024 Orange,90.7,,2024,2022,girls,insidelacrosse
71,LI Jesters 2024 Black,90.68,,2024,2022,girls,insidelacrosse
72,Capital 2024 Orange,90.6,,2024,2022,girls,insidelacrosse
73,True National 2024,90.56,,2024,2022,girls,insidelacrosse
74,Lacrosse Monkey 2024,90.54,,2024,2022,girls,insidelacrosse
75,UPROAR 2024 ELITE,90.34,,2024,2022,girls,insidelacrosse
76,Gold Coast 2024 Gold,90.32,,2024,2022,girls,insidelacrosse
77,Bay State Bullets 2024 Silver,90.24,,2024,2022,girls,insidelacrosse
78,Team BC Sophomores,90.23,,2024,2022,girls,insidelacrosse
79,DK3 2024,90.2,,2024,2022,girls,insidelacrosse
80,Atlanta Storm 2024 Blue,90.17,,2024,2022,girls,insidelacrosse
81,Triumph 2024,90.13,,2024,2022,girls,insidelacrosse
82,Lakeshore NP 2024,90.12,,2024,2022,girls,insidelacrosse
83,PA Express 2024 Orange,90.12,,2024,2022,girls,insidelacrosse
84,Relentless Hustle 2024,89.81,,2024,2022,girls,insidelacrosse
85,ESLC Pirates 2024,89.78,,2024,2022,girls,insidelacrosse
86,Tenacity Bay Area 2024,89.78,,2024,2022,girls,insidelacrosse
87,Sound 2024,89.62,,2024,2022,girls,insidelacrosse
88,C2 Select 2024 Black,89.6,,2024,2022,girls,insidelacrosse
89,Lakeshore 2024,89.59,,2024,2022,girls,insidelacrosse
90,True Illinois 2024 State,89.59,,2024,2022,girls,insidelacrosse
91,Middlesex Bears 2024,89.49,,2024,2022,girls,insidelacrosse
92,HOCO 2024 Black,89.48,,2024,2022,girls,insidelacrosse
93,LI Empire 2024 Bengals,89.28,,2024,2022,girls,insidelacrosse
94,Philly Blast 2024 Fight,89.18,,2024,2022,girls,insidelacrosse
95,NC Fusion 2024,89.09,,2024,2022,girls,insidelacrosse
96,York Invaders 2024,89.07,,2024,2022,girls,insidelacrosse
97,Dynasty Elite 2024 Zulu,89.03,,2024,2022,girls,insidelacrosse
98,Ultimate NJ 2024 Blue,88.98,,2024,2022,girls,insidelacrosse
99,LI Yellow Jackets 2024 O'Sullivan,88.98,,2024,2022,girls,insidelacrosse
100,Integrity 2024 Blue,88.96,,2024,2022,girls,insidelacrosse
101,Mad Dog NJ North 2024 Black,88.85,,2024,2022,girls,insidelacrosse
102,Major Force Black 2024,88.83,,2024,2022,girls,insidelacrosse
103,All Lax 2024,88.68,,2024,2022,girls,insidelacrosse
104,Team ONE Wildcat 2024,88.65,,2024,2022,girls,insidelacrosse
105,ADK Peak 2024,88.57,,2024,2022,girls,insidelacrosse
106,Coast 2024 Elite,88.55,,2024,2022,girls,insidelacrosse
107,214Lax Dallas 2024,88.39,,2024,2022,girls,insidelacrosse
108,DEWLAX 2024 BLUE,88.32,,2024,2022,girls,insidelacrosse
109,Blue Devils 2024,88.28,,2024,2022,girls,insidelacrosse
110,VA Metro 2024 Navy,88.25,,2024,2022,girls,insidelacrosse
111,Philly Blast 2024 Fire,88.2,,2024,2022,girls,insidelacrosse
112,Nor'easter 2024 Power,88.12,,2024,2022,girls,insidelacrosse
113,Dynasty 2024 Zulu,88.09,,2024,2022,girls,insidelacrosse
114,Triumph 2024 National Premier,88.05,,2024,2022,girls,insidelacrosse
115,Triple Threat Elite Central 2024,88.01,,2024,2022,girls,insidelacrosse
116,Redshirts 2024,88.0,,2024,2022,girls,insidelacrosse
117,LI Top Guns 2024 Purple,87.96,,2024,2022,girls,insidelacrosse
118,Oregon Pride 2024,87.96,,2024,2022,girls,insidelacrosse
119,GRIT Dallas 2024,87.94,,2024,2022,girls,insidelacrosse
120,GRIT Austin 2024,87.9,,2024,2022,girls,insidelacrosse
121,Minnesota Elite 2024,87.81,,2024,2022,girls,insidelacrosse
122,3D New England 2024,87.78,,2024,2022,girls,insidelacrosse
123,FLG 2024,87.77,,2024,2022,girls,insidelacrosse
124,STEPS Elite NJ 2024 White,87.77,,2024,2022,girls,insidelacrosse
125,Laxachusetts 2024 Yellow,87.64,,2024,2022,girls,insidelacrosse
126,Ultimate 2024 Power,87.59,,2024,2022,girls,insidelacrosse
127,Belles 2024,87.56,,2024,2022,girls,insidelacrosse
128,Metro 2024 Blue,87.56,,2024,2022,girls,insidelacrosse
129,Team BC 2024,87.54,,2024,2022,girls,insidelacrosse
130,SJ Shamrocks 2024,87.47,,2024,2022,girls,insidelacrosse
131,Nor'easter 2024 Grit,87.45,,2024,2022,girls,insidelacrosse
132,Mass Elite 2024 White,87.4,,2024,2022,girls,insidelacrosse
133,CCLax 2024 Black,87.2,,2024,2022,girls,insidelacrosse
134,Impact 2024,87.12,,2024,2022,girls,insidelacrosse
135,518Excelerate 2024,86.99,,2024,2022,girls,insidelacrosse
136,Gold Star 2024,86.89,,2024,2022,girls,insidelacrosse
137,Lady Blue Crabs 2024,86.89,,2024,2022,girls,insidelacrosse
138,Ultimate NC 2024 Blue,86.89,,2024,2022,girls,insidelacrosse
139,Granite State Elite 2024,86.88,,2024,2022,girls,insidelacrosse
140,MC Elite 2024 Midnight,86.77,,2024,2022,girls,insidelacrosse
141,Reign 2024,86.77,,2024,2022,girls,insidelacrosse
142,Lax On Elite 2024,86.76,,2024,2022,girls,insidelacrosse
143,Grit Houston 2024,86.61,,2024,2022,girls,insidelacrosse
144,Ultimate CLT 2024 Blue,86.53,,2024,2022,girls,insidelacrosse
145,3D Nation's Best 2024,86.38,,2024,2022,girls,insidelacrosse
146,NXT 2024 Volt,86.33,,2024,2022,girls,insidelacrosse
147,TLC 2024 Gold,86.32,,2024,2022,girls,insidelacrosse
148,Fire 2024,86.31,,2024,2022,girls,insidelacrosse
149,Yellow Jackets North 2024 Rockland,86.29,,2024,2022,girls,insidelacrosse
150,Bluegrass Premier 2024,86.18,,2024,2022,girls,insidelacrosse
151,Phantastix 2024 West,86.02,,2024,2022,girls,insidelacrosse
152,Yellow Jackets North 2024 Mager,86.01,,2024,2022,girls,insidelacrosse
153,Summit 2024 Black,85.86,,2024,2022,girls,insidelacrosse
154,DEWLAX 2024 Blue-White,85.75,,2024,2022,girls,insidelacrosse
155,Eagle Stix 2024 Grey,85.66,,2024,2022,girls,insidelacrosse
156,Pittsburgh Premier 2024 Blue,85.63,,2024,2022,girls,insidelacrosse
157,Indy United 2024,85.46,,2024,2022,girls,insidelacrosse
158,Lax Maniax 2024 White,85.39,,2024,2022,girls,insidelacrosse
159,CLC 2024 Bold,85.36,,2024,2022,girls,insidelacrosse
160,Orange Crush 2024,85.36,,2024,2022,girls,insidelacrosse
161,CCLAX 2024,85.35,,2024,2022,girls,insidelacrosse
162,BBL Elite 2024 Select,85.28,,2024,2022,girls,insidelacrosse
163,Common Goal 2024,85.2,,2024,2022,girls,insidelacrosse
164,Pride 2024 Loudon,85.13,,2024,2022,girls,insidelacrosse
165,Monster Elite 2024 Orange,85.12,,2024,2022,girls,insidelacrosse
166,Lucky Lax 2024,84.97,,2024,2022,girls,insidelacrosse
167,ADK 2024,84.94,,2024,2022,girls,insidelacrosse
168,True MN 2024 AAA,84.93,,2024,2022,girls,insidelacrosse
169,True CA Attack 2024,84.7,,2024,2022,girls,insidelacrosse
170,Limitless 2024,84.55,,2024,2022,girls,insidelacrosse
171,South Jersey Select 2024 Black,84.46,,2024,2022,girls,insidelacrosse
172,Coastal Crush 2024,84.22,,2024,2022,girls,insidelacrosse
173,Seattle Starz 2024,84.19,,2024,2022,girls,insidelacrosse
174,Madlax Capital Blue,84.06,,2024,2022,girls,insidelacrosse
175,HOCO 2024 Pink,83.86,,2024,2022,girls,insidelacrosse
176,Empress 2024,83.62,,2024,2022,girls,insidelacrosse
177,Yellow Jackets North 2024 Kaishan,83.62,,2024,2022,girls,insidelacrosse
178,Georgia Lady Outlaws 2024,83.58,,2024,2022,girls,insidelacrosse
179,Rebels 2024 Gold,83.46,,2024,2022,girls,insidelacrosse
180,Virginia One 2024 Gray,83.46,,2024,2022,girls,insidelacrosse
181,Phantastix 2024 White,83.41,,2024,2022,girls,insidelacrosse
182,Coppermine North 2024,83.25,,2024,2022,girls,insidelacrosse
183,DEWLAX CT 2024,83.21,,2024,2022,girls,insidelacrosse
184,MFL 2024 Blue,83.19,,2024,2022,girls,insidelacrosse
185,Yellow Jackets North Mid Atlantic 2024,83.02,,2024,2022,girls,insidelacrosse
186,DEWLAX 2024 CT,83.0,,2024,2022,girls,insidelacrosse
187,Denver Pride 2024,82.92,,2024,2022,girls,insidelacrosse
188,TLC 2024 White,82.87,,2024,2022,girls,insidelacrosse
189,Team Elevate 2024 Blue,82.84,,2024,2022,girls,insidelacrosse
190,Crush Elite 2024,82.77,,2024,2022,girls,insidelacrosse
191,Resolute 2024 Black,82.67,,2024,2022,girls,insidelacrosse
192,Recon 2024,82.64,,2024,2022,girls,insidelacrosse
193,DEWLAX 2024 White,82.45,,2024,2022,girls,insidelacrosse
194,VA Metro 2024 Orange,82.37,,2024,2022,girls,insidelacrosse
195,ICON 2024,82.36,,2024,2022,girls,insidelacrosse
196,UPROAR 2024 SELECT,82.23,,2024,2022,girls,insidelacrosse
197,Atlanta Storm 2024 Orange,82.17,,2024,2022,girls,insidelacrosse
198,True CO 2024 State,82.09,,2024,2022,girls,insidelacrosse
199,Florida Shine Elite 2024,82.0,,2024,2022,girls,insidelacrosse
200,LI Jesters 2024 Pink,81.84,,2024,2022,girls,insidelacrosse
201,Cavalier NoVa 2024,81.72,,2024,2022,girls,insidelacrosse
202,Medusa 2024,81.69,,2024,2022,girls,insidelacrosse
203,NH Tomahawks 2024 Gold,81.68,,2024,2022,girls,insidelacrosse
204,True Pittsburg 2024,81.56,,2024,2022,girls,insidelacrosse
205,Mad Dog NJ 2024 Red,81.42,,2024,2022,girls,insidelacrosse
206,Metro 2024 Green,81.4,,2024,2022,girls,insidelacrosse
207,Dynasty Elite 2024 Bravo,80.99,,2024,2022,girls,insidelacrosse
208,Jets Pink '23-'24,80.67,,2024,2022,girls,insidelacrosse
209,Mad Dog NJ North 2024 Red,80.67,,2024,2022,girls,insidelacrosse
210,Yellow Jackets North 2023-2024 Rockland,80.67,,2024,2022,girls,insidelacrosse
1,M&D 2024 Black,99.9,,2024,2021,girls,insidelacrosse
2,Mad Dog West Elite 2024,99.76,,2024,2021,girls,insidelacrosse
3,Monster National 2024 Purple,99.75,,2024,2021,girls,insidelacrosse
4,Sky Walkers 2024 Blue,99.66,,2024,2021,girls,insidelacrosse
5,LI Yellow Jackets Swarm 2024 Weiner,99.29,,2024,2021,girls,insidelacrosse
6,NEMS 2024,98.8,,2024,2021,girls,insidelacrosse
7,Hero's 2024 Green,98.65,,2024,2021,girls,insidelacrosse
8,STEPS Elite NJ 2024 Blue,98.63,,2024,2021,girls,insidelacrosse
9,CT Grizzlies 2024 Navy,98.29,,2024,2021,girls,insidelacrosse
10,Team 180 2024,97.98,,2024,2021,girls,insidelacrosse
11,Florida Select 2024,97.54,,2024,2021,girls,insidelacrosse
12,PLC 2024 Black,97.4,,2024,2021,girls,insidelacrosse
13,3D Colorado 2024,97.07,,2024,2021,girls,insidelacrosse
14,DEWLAX 2024 Black,96.55,,2024,2021,girls,insidelacrosse
15,Cavalier 2024,96.08,,2024,2021,girls,insidelacrosse
16,Integrity 2024,95.36,,2024,2021,girls,insidelacrosse
17,3D Colorado 2024 AA,95.31,,2024,2021,girls,insidelacrosse
18,LI Yellow Jackets 2024 Ramos,95.13,,2024,2021,girls,insidelacrosse
19,Monster Elite 2024,95.01,,2024,2021,girls,insidelacrosse
20,Capital 2024 Blue,94.89,,2024,2021,girls,insidelacrosse
21,Lax Maniax 2024 Black,94.88,,2024,2021,girls,insidelacrosse
22,Jersey Shore Select 2024 Blue,94.58,,2024,2021,girls,insidelacrosse
23,M&D 2024 Red,94.54,,2024,2021,girls,insidelacrosse
24,STEPS California 2024,94.53,,2024,2021,girls,insidelacrosse
25,Mass Elite 2024 Red,94.41,,2024,2021,girls,insidelacrosse
26,Team 91 Carolina 2024 Flight,94.16,,2024,2021,girls,insidelacrosse
27,ESLC Pirates 2024,94.13,,2024,2021,girls,insidelacrosse
28,Salt City Snipers 2024,94.11,,2024,2021,girls,insidelacrosse
29,MD United 2024 East,94.03,,2024,2021,girls,insidelacrosse
30,Renegades 2024,93.97,,2024,2021,girls,insidelacrosse
31,LI Legacy 2024 Blue,93.94,,2024,2021,girls,insidelacrosse
32,MFL 2024 Black,93.9,,2024,2021,girls,insidelacrosse
33,NewLax 2024,93.9,,2024,2021,girls,insidelacrosse
34,Big 4 HHH 2024,93.82,,2024,2021,girls,insidelacrosse
35,Southern Zone 2024,93.75,,2024,2021,girls,insidelacrosse
36,Pride 2024 Black,93.68,,2024,2021,girls,insidelacrosse
37,GC34 2024,93.65,,2024,2021,girls,insidelacrosse
38,Storm Select 2024,93.63,,2024,2021,girls,insidelacrosse
39,LI Yellow Jackets 2024 Kildare,93.59,,2024,2021,girls,insidelacrosse
40,M&D Orlando 2024 Black,93.58,,2024,2021,girls,insidelacrosse
41,South Jersey Select 2024 Pink,93.58,,2024,2021,girls,insidelacrosse
42,True Illinois U15 Premier,93.41,,2024,2021,girls,insidelacrosse
43,Predators 2024,93.35,,2024,2021,girls,insidelacrosse
44,Primetime 2024,93.27,,2024,2021,girls,insidelacrosse
45,BBL Elite 2024 Black,93.21,,2024,2021,girls,insidelacrosse
46,Aim 2024,93.18,,2024,2021,girls,insidelacrosse
47,Phantastix 2024 Purple,93.15,,2024,2021,girls,insidelacrosse
48,Atlanta Storm 2024 Blue,93.12,,2024,2021,girls,insidelacrosse
49,Relentless Hustle 2024,93.1,,2024,2021,girls,insidelacrosse
50,LI Liberty 2024 Black,92.99,,2024,2021,girls,insidelacrosse
51,Hero's 2024 White,92.95,,2024,2021,girls,insidelacrosse
52,Charlotte Style 2024,92.83,,2024,2021,girls,insidelacrosse
53,Yellow Jackets South 2024,92.83,,2024,2021,girls,insidelacrosse
54,TLC 2024 Red,92.77,,2024,2021,girls,insidelacrosse
55,Checkhers 2024,92.75,,2024,2021,girls,insidelacrosse
56,Coppermine 2024 Black,92.73,,2024,2021,girls,insidelacrosse
57,Laxachusetts 2024 Green,92.6,,2024,2021,girls,insidelacrosse
58,LI Top Guns 2024 Black,92.55,,2024,2021,girls,insidelacrosse
59,Limitless 2024,92.48,,2024,2021,girls,insidelacrosse
60,Elite 2024,92.28,,2024,2021,girls,insidelacrosse
61,5280 Lacrosse 2024,92.21,,2024,2021,girls,insidelacrosse
62,Lacrosse Monkey 2024,92.21,,2024,2021,girls,insidelacrosse
63,NH Tomahawks 2024 Purple,92.03,,2024,2021,girls,insidelacrosse
64,CLC 2024 Pride,92.01,,2024,2021,girls,insidelacrosse
65,Team Elevate 2024 Blue,91.95,,2024,2021,girls,insidelacrosse
66,HOCO 2024 Pink,91.93,,2024,2021,girls,insidelacrosse
67,No Excuse 2024,91.93,,2024,2021,girls,insidelacrosse
68,LI Yellow Jackets 2024 O'Sullivan,91.86,,2024,2021,girls,insidelacrosse
69,Capital 2024 Orange,91.79,,2024,2021,girls,insidelacrosse
70,York Invaders 2024,91.79,,2024,2021,girls,insidelacrosse
71,True MN 2024 AAA,91.76,,2024,2021,girls,insidelacrosse
72,Sky Walkers 2024 White,91.74,,2024,2021,girls,insidelacrosse
73,Lake Effect Storm 2024 Elite,91.66,,2024,2021,girls,insidelacrosse
74,Ultimate CC 2024 Blue,91.5,,2024,2021,girls,insidelacrosse
75,CCLax 2024 Black,91.47,,2024,2021,girls,insidelacrosse
76,Dynasty Elite 2024 Zulu,91.42,,2024,2021,girls,insidelacrosse
77,PA Express 2024 Orange,91.39,,2024,2021,girls,insidelacrosse
78,Sound 2024,91.36,,2024,2021,girls,insidelacrosse
79,HOCO 2024 Black,91.34,,2024,2021,girls,insidelacrosse
80,GRIT Dallas 2024,91.3,,2024,2021,girls,insidelacrosse
81,Maryland Select 2024,91.21,,2024,2021,girls,insidelacrosse
82,Bluegrass Premier 2024,91.14,,2024,2021,girls,insidelacrosse
83,Check-Hers 2024 Black,91.11,,2024,2021,girls,insidelacrosse
84,True Illinois 2024 State,90.98,,2024,2021,girls,insidelacrosse
85,Coast 2024 Elite,90.92,,2024,2021,girls,insidelacrosse
86,Mesa PA 2024,90.91,,2024,2021,girls,insidelacrosse
87,C2 Select 2024 Black,90.9,,2024,2021,girls,insidelacrosse
88,Eagle Stix 2024 Blue,90.7,,2024,2021,girls,insidelacrosse
89,Tenacity Bay Area CA/UT 2024,90.69,,2024,2021,girls,insidelacrosse
90,LI Jesters 2024 Black,90.64,,2024,2021,girls,insidelacrosse
91,Bandits 2024 Hall,90.61,,2024,2021,girls,insidelacrosse
92,Bay State Bullets 2024 Silver,90.59,,2024,2021,girls,insidelacrosse
93,Grit Houston 2024,90.59,,2024,2021,girls,insidelacrosse
94,Albany Power 2024,90.55,,2024,2021,girls,insidelacrosse
95,Mad Dog NJ North 2024 Black,90.5,,2024,2021,girls,insidelacrosse
96,DEWLAX 2024 BLUE,90.48,,2024,2021,girls,insidelacrosse
97,BBL Elite 2024 North,90.46,,2024,2021,girls,insidelacrosse
98,REV 2024/2025 Black,90.38,,2024,2021,girls,insidelacrosse
99,Snipers Elite 2024,90.24,,2024,2021,girls,insidelacrosse
100,NXT 2024 Black,90.17,,2024,2021,girls,insidelacrosse
101,BlackJack 2024 Red,90.0,,2024,2021,girls,insidelacrosse
102,Pittsburgh Premier 2024 Blue,89.97,,2024,2021,girls,insidelacrosse
103,Resolute 2024 Black,89.91,,2024,2021,girls,insidelacrosse
104,True National 2024,89.81,,2024,2021,girls,insidelacrosse
105,Carolina Fever 2024,89.8,,2024,2021,girls,insidelacrosse
106,STEPS Elite NJ 2024 White,89.79,,2024,2021,girls,insidelacrosse
107,Central 2024,89.58,,2024,2021,girls,insidelacrosse
108,Xtreme 2024,89.54,,2024,2021,girls,insidelacrosse
109,Monster National 2024 White,89.53,,2024,2021,girls,insidelacrosse
110,SJ Shamrocks 2024,89.5,,2024,2021,girls,insidelacrosse
111,Team 91 Long Island 2024 Crossfire,89.5,,2024,2021,girls,insidelacrosse
112,214Lax Dallas 2024,89.38,,2024,2021,girls,insidelacrosse
113,Nor'easter 2024 Grit,89.34,,2024,2021,girls,insidelacrosse
114,Common Goal 2024,89.32,,2024,2021,girls,insidelacrosse
115,CT Grizzlies 2024 Yellow,89.32,,2024,2021,girls,insidelacrosse
116,LI Top Guns 2024 Purple,89.12,,2024,2021,girls,insidelacrosse
117,Dynasty 2024 Zulu,89.07,,2024,2021,girls,insidelacrosse
118,Mesa PA 2024 Orange,89.06,,2024,2021,girls,insidelacrosse
119,MC Elite 2024 Midnight,89.05,,2024,2021,girls,insidelacrosse
120,Sound 2024,89.05,,2024,2021,girls,insidelacrosse
121,Dynasty Elite 2024 Bravo,89.04,,2024,2021,girls,insidelacrosse
122,Ultimate PA 2024 Blue,88.88,,2024,2021,girls,insidelacrosse
123,Seattle Starz 2024,88.86,,2024,2021,girls,insidelacrosse
124,FLG 2024,88.72,,2024,2021,girls,insidelacrosse
125,UPROAR 2024 ELITE,88.72,,2024,2021,girls,insidelacrosse
126,Queen City Stars Black 2024,88.57,,2024,2021,girls,insidelacrosse
127,Belles 2024,88.53,,2024,2021,girls,insidelacrosse
128,Pure Lacrosse 2024,88.46,,2024,2021,girls,insidelacrosse
129,South Jersey Select 2024 Black,88.43,,2024,2021,girls,insidelacrosse
130,Major Force Black 2024,88.4,,2024,2021,girls,insidelacrosse
131,Burning River 2024 Maroon,88.39,,2024,2021,girls,insidelacrosse
132,Headstrong 2024,88.34,,2024,2021,girls,insidelacrosse
133,BBL Elite 2024 Select,88.3,,2024,2021,girls,insidelacrosse
134,Laxachusetts 2024 White,88.3,,2024,2021,girls,insidelacrosse
135,HGR 2024,88.28,,2024,2021,girls,insidelacrosse
136,Laxachusettes 2024 Gold,88.25,,2024,2021,girls,insidelacrosse
137,Lady Blue Crabs 2024,88.22,,2024,2021,girls,insidelacrosse
138,Gold Coast 2024 Gold,88.18,,2024,2021,girls,insidelacrosse
139,Metro 2024 Blue,88.18,,2024,2021,girls,insidelacrosse
140,GSE 2024,88.06,,2024,2021,girls,insidelacrosse
141,Gold Coast 2024 Silver,88.0,,2024,2021,girls,insidelacrosse
142,LI Empire 2024 Bengals,88.0,,2024,2021,girls,insidelacrosse
143,Middlesex Bears 2024,87.97,,2024,2021,girls,insidelacrosse
144,Philly Blast 2024 Fire,87.9,,2024,2021,girls,insidelacrosse
145,Metro 2024 Green,87.74,,2024,2021,girls,insidelacrosse
146,Iron Horse Austin 2024,87.66,,2024,2021,girls,insidelacrosse
147,DEWLAX 2024 White,87.61,,2024,2021,girls,insidelacrosse
148,Nor'easter 2024 Power,87.5,,2024,2021,girls,insidelacrosse
149,Ultimate NJ 2024 Blue,87.42,,2024,2021,girls,insidelacrosse
150,Triumph 2024,87.35,,2024,2021,girls,insidelacrosse
151,Uproar 2024,87.26,,2024,2021,girls,insidelacrosse
152,REV 2024 Blue,87.19,,2024,2021,girls,insidelacrosse
153,Yellow Jackets North 2024,87.1,,2024,2021,girls,insidelacrosse
154,Rebels 2024 Black,86.83,,2024,2021,girls,insidelacrosse
155,All Lax 2024,86.81,,2024,2021,girls,insidelacrosse
156,T3 Elite Elite 2024,86.8,,2024,2021,girls,insidelacrosse
157,Team ONE Wildcat 2024,86.77,,2024,2021,girls,insidelacrosse
158,Lax Plus 2024,86.61,,2024,2021,girls,insidelacrosse
159,Summit Elite 2024,86.6,,2024,2021,girls,insidelacrosse
160,Florida Shine Elite 2024,86.56,,2024,2021,girls,insidelacrosse
161,Minnesota Elite 2024,86.55,,2024,2021,girls,insidelacrosse
162,Coastal Crush 2024,86.49,,2024,2021,girls,insidelacrosse
163,NC Fusion 2024,86.4,,2024,2021,girls,insidelacrosse
164,ADK 2024,86.38,,2024,2021,girls,insidelacrosse
165,Pride 2024 White,86.33,,2024,2021,girls,insidelacrosse
166,Platform Academy 2024,86.32,,2024,2021,girls,insidelacrosse
167,Phantastix 2024 West,86.09,,2024,2021,girls,insidelacrosse
168,Atlanta Storm 2024 Orange,86.08,,2024,2021,girls,insidelacrosse
169,Rebels 2024,86.08,,2024,2021,girls,insidelacrosse
170,Maineiax Black 2024,86.06,,2024,2021,girls,insidelacrosse
171,Triple Threat Elite 2024,86.0,,2024,2021,girls,insidelacrosse
172,TLC 2024 White,85.99,,2024,2021,girls,insidelacrosse
173,Redshirts 2024,85.92,,2024,2021,girls,insidelacrosse
174,AFA 2024,85.5,,2024,2021,girls,insidelacrosse
175,Team 91 Tri-State 2024,85.48,,2024,2021,girls,insidelacrosse
176,Empress 2024,85.47,,2024,2021,girls,insidelacrosse
177,Mass Elite 2024 White,85.46,,2024,2021,girls,insidelacrosse
178,Pride Baltimore 2024,85.42,,2024,2021,girls,insidelacrosse
179,CCLAX 2024,85.3,,2024,2021,girls,insidelacrosse
180,Indy United 2024,85.27,,2024,2021,girls,insidelacrosse
181,Philly Blast 2024 Fight,85.16,,2024,2021,girls,insidelacrosse
182,Georgia Lady Outlaws 2024,85.15,,2024,2021,girls,insidelacrosse
183,MLXA 2024,84.87,,2024,2021,girls,insidelacrosse
184,Yellow Jackets North Mid Atlantic 2024,84.78,,2024,2021,girls,insidelacrosse
185,Monster Elite 2024 Orange,84.63,,2024,2021,girls,insidelacrosse
186,Jets Black 2024-2025,84.59,,2024,2021,girls,insidelacrosse
187,True Pittsburg 2024,84.5,,2024,2021,girls,insidelacrosse
188,3D New England 2024,84.43,,2024,2021,girls,insidelacrosse
189,UPROAR 2024 SELECT,84.27,,2024,2021,girls,insidelacrosse
190,ICON 2024,84.23,,2024,2021,girls,insidelacrosse
191,NXT 2024 Volt,84.14,,2024,2021,girls,insidelacrosse
192,Next Level 2024,84.05,,2024,2021,girls,insidelacrosse
193,Lucky Lax 2024,83.99,,2024,2021,girls,insidelacrosse
194,Pride 2024 Loudon,83.93,,2024,2021,girls,insidelacrosse
195,Yellow Jackets North 2024 Mager,83.92,,2024,2021,girls,insidelacrosse
196,Coppermine 2024 Blue,83.91,,2024,2021,girls,insidelacrosse
197,East Coast Select 2024,83.83,,2024,2021,girls,insidelacrosse
198,C2 Select 2024 Red,83.75,,2024,2021,girls,insidelacrosse
199,Bandits 2024 Heegan,83.7,,2024,2021,girls,insidelacrosse
200,NH Tomahawks 2024 Gold,83.53,,2024,2021,girls,insidelacrosse
201,Reign 2024,83.49,,2024,2021,girls,insidelacrosse
202,Jersey Shore Select 2024 White,83.41,,2024,2021,girls,insidelacrosse
203,ADK Peak 2024,83.38,,2024,2021,girls,insidelacrosse
204,Team 91 NJ Fearless 2024,83.29,,2024,2021,girls,insidelacrosse
205,Phantastix 2024 White,83.09,,2024,2021,girls,insidelacrosse
206,MFL 2024 Blue,82.68,,2024,2021,girls,insidelacrosse
207,Team Elevate 2024 Red,82.46,,2024,2021,girls,insidelacrosse
208,NEPA Rattlers 2024,82.29,,2024,2021,girls,insidelacrosse
209,Dynamite 2024,82.12,,2024,2021,girls,insidelacrosse
210,Resolute 2024 Red,81.88,,2024,2021,girls,insidelacrosse
--,253 Lacrosse Olympic 2027,--,,2027,2023,girls,insidelacrosse
--,315 Elite 2027/2028 Black,--,,2027,2023,girls,insidelacrosse
--,315 Elite 2027/2028 Green,--,,2027,2023,girls,insidelacrosse
--,3d Colorado 2027 AA,--,,2027,2023,girls,insidelacrosse
--,Common Goal 2027,--,,2027,2023,girls,insidelacrosse
--,3D Garden State 2027,--,,2027,2023,girls,insidelacrosse
--,3d national 2027,--,,2027,2023,girls,insidelacrosse
--,3d New England 2027,--,,2027,2023,girls,insidelacrosse
--,3d New England 2027 AA,--,,2027,2023,girls,insidelacrosse
--,3D VA Metro 2027/2028 Navy,--,,2027,2023,girls,insidelacrosse
--,3D VA Metro 27 Navy,--,,2027,2023,girls,insidelacrosse
--,3D VA Metro 27 Orange,--,,2027,2023,girls,insidelacrosse
--,3 POINT 2027,--,,2027,2023,girls,insidelacrosse
--,410 West 14U 2027,--,,2027,2023,girls,insidelacrosse
