Rank,Club,Rating,Link
1,LI Yellow Jackets 2025 Spallina,99.9,
2,M&D 2025 Black,98.45,
3,Mass Elite 2025 Red,98.36,
4,Capital 2025 Blue,97.57,
5,Sky Walkers 2025 Blue,97.18,
6,STEPS Elite NJ 2025 Navy,97.13,
7,Primetime 2025,97.1,
8,Big 4 HHH 2025,96.45,
9,NXT 2025 Black,96.41,
10,Monster Elite 2025 Purple,96.07,
11,Hero's 2025 Green,95.75,
12,LI Yellow Jackets 2025 Thorn Rella,95.44,
13,Aces Elite 2025,95.41,
14,LI Top Guns 2025 Black,95.0,
15,Salt City Snipers 2025 Pink,94.87,
16,CT Grizzlies 2025 Navy,94.81,
17,STEPS California 2025,94.26,
18,LI Yellow Jackets 2025 Bertolone,93.96,
19,LI Legacy 2025 Blue,93.94,
20,Eagle Stix 2025 Blue,93.91,
21,Florida Select 2025,93.86,
22,Aim 2025,93.4,
23,Team Elevate 2025 Blue,93.22,
24,LI Jesters 2025 Black,93.19,
25,MD United 2025 East,93.0,
26,Tradition 2025,92.9,
27,GRIT Dallas 2025,92.73,
28,Triple Threat Elite 2025 Iron,92.66,
29,DEWLAX 2025 BLACK,92.61,
30,Philly Blast 2025,92.54,
31,BBL Elite 2025 Black,92.53,
32,Limitless Elite 2025,92.33,
33,STEPS Elite NJ 2025 Carolina,92.3,
34,Cav Lax Elite 2025,92.16,
35,Oregon Pride 2025,92.15,
36,Tenacity Elite National 2025,92.14,
37,Phantastix 2025 Purple,92.12,
38,Sound Lacrosse 2025,91.98,
39,Yellow Jackets South 2025 Blue,91.98,
40,South Jersey Select 2025 Pink,91.63,
41,Lake Effect Storm 2025 Elite (Red),91.62,
42,3D Maryland 2025 Frederick,91.6,
43,Team 180 2025,91.49,
44,NEMS 2025,91.46,
45,Mad Dog West Elite 2025,91.39,
46,Mass Elite 2025 White,91.21,
47,LI Liberty 2025 Black,91.11,
48,Sky Walkers 2025 White,91.02,
49,Denver Pride 2025,90.98,
50,Team ONE Wildcat 2025,90.65,
51,Ultimate CLT 2025 Blue,90.56,
52,NH Tomahawks 2025 Purple,90.52,
53,Predators 2025,90.37,
54,Coppermine 2025 Black,90.32,
55,Pride 2025 Black (Nova),90.31,
56,LI Empire 2025 Green,90.26,
57,Team 91 Carolina 2025,90.15,
58,Orange Crush 2025,90.09,
59,214Lax Dallas 2025,90.02,
60,Bay State Bullets 2025 Silver,89.94,
61,York Invaders 2025,89.9,
62,Southern Zone 2025,89.77,
63,Jersey Shore Select 2025 Blue,89.75,
64,M&D 2025 Red,89.75,
65,Granite State Elite 2025,89.72,
66,Laxachusetts 2025 Black,89.71,
67,Atlanta Storm 2025 Blue,89.65,
68,Impact 2025,89.62,
69,Lacrosse Monkey 2025,89.45,
70,HoCo 2025 Black,89.39,
71,Lax Maniax 2025 Black,89.34,
72,Capital 2025 Orange,89.28,
73,Pipeline Platinum 2025 Red,89.27,
74,Hero's 2025 White,89.0,
75,CLC 2025 Pride,88.94,
76,Dynasty Elite 2025 Delta,88.9,
77,TLC 2025 Red,88.74,
78,Alliance National 2025,88.42,
79,Lakeshore 2025,88.3,
80,3D New England 2025,88.24,
81,Mass Elite 2025 Blue,88.09,
82,REV 2025 Black,88.09,
83,UPROAR 2025 ELITE,88.02,
84,LI Empire 2025,87.96,
85,DelCo 2025 Select,87.95,
86,Gold Coast 2025 GOLD,87.87,
87,3D Colorado 2025 AA,87.79,
88,Nor'easter 2025 Power,87.64,
89,M&D Shore 2025 Black,87.62,
90,Charlotte Style 2025,87.61,
91,Lakeside Lacrosse Alpine 2025,87.57,
92,All Lax Select 2025,87.48,
93,Lucky Lax 2025,87.38,
94,M&D Orlando 2025 Black,87.22,
95,Yellow Jackets North 2025 Willams,87.21,
96,DEWLAX 2025 CT,87.08,
97,M&D 2025 Shore,86.95,
98,Yellow Jackets North Rockland 2025,86.93,
99,Metro 2025 Blue,86.91,
100,Yellow Jackets Rockland 2025 Rock Boice,86.87,
101,Minnesota Elite 2025,86.66,
102,Snipers Elite 2025,86.63,
103,Monster Elite 2025 White,86.57,
104,PPLC 2025 Blue,86.55,
105,Monster 2025 Blue,86.32,
106,CLC 2025 Rise,86.24,
107,Georgia Lady Outlaws 2025 Pink,86.23,
108,Yellow Jackets Mid Atlantic 2025 Hoeg,86.11,
109,Integrity 2025,86.09,
110,BBL Elite 2025 Select,86.05,
111,MFL 2025 Black,86.03,
112,LI Yellow Jackets 2025 Galvin,86.01,
113,Philadelphia Freedom 2025,86.0,
114,Hoco Girls 2025 Black,85.95,
115,True Illinois 2025 State,85.91,
116,Integrity 2025 Green,85.88,
117,South Coast 2025,85.81,
118,Storm Select 2025,85.4,
119,Florida Shine Elite 2025,85.38,
120,LI Top Guns 2025 Purple,85.35,
121,3D Maryland 2025 Baltimore,85.16,
122,CCLAX 2025,85.16,
123,Check-Hers Elite 2025 Black,85.16,
124,Atlanta Storm 2025 Orange,85.12,
125,Mad Dog NJ North 2025 Black,85.11,
126,All American Aim 2025 Stars and Stripes,84.97,
127,CheckHers 2025,84.96,
128,MC Elite 2025 Midnight,84.92,
129,Reign 2025,84.85,
130,NXT 2025 Volt,84.84,
131,Ultimate NJ 2025,84.82,
132,Maxim 2025 Navy,84.8,
133,SWLX 2025,84.45,
134,Nor'easter 2025,84.42,
135,Common Goal 2025,84.39,
136,TRIUMPH 2025 NATIONAL PREMIER,84.32,
137,True Pittsburg 2025,84.19,
138,Check Hers 2025 Black,83.82,
139,Laxachusetts 2025 Yellow,83.79,
140,Lake Effect Storm Elite 2025 White,83.58,
141,FCA Upstate NY 2025,83.56,
142,Renegades 2025,83.43,
143,Gold Star 2025,83.37,
144,Boston LC 2025,83.34,
145,DEWLAX 2025 BLUE,83.31,
146,Ultimate PA 2025,83.16,
147,Ultimate CC 2025,83.04,
148,FLG Blue Devils 2025,83.03,
149,MD United 2025 West,83.02,
150,Xtreme 2025,82.96,
151,GRIT Austin 2025,82.91,
152,Lax On Elite 2025,82.71,
153,STARS 2025 Blue,82.67,
154,GRIT Houston 2025,82.63,
155,Nor'easter 2025 Grit,82.56,
156,NH Tomahawks 2025 Gold,82.49,
157,SJ Shamrocks 2025,82.26,
158,Ultimate NC 2025 Blue,82.23,
