Rank,Club,Rating,Link
--,3 Point Lacrosse 2028,--,
--,Aces Navy 2028,--,
--,AIM 2028,--,
--,Atlantic Shore 2028,--,
--,Black Bear 2028/2029,--,
--,Coppermine Black 2028,--,
--,Doylestown Descendants 2028,--,
--,ESLC Pirates 2028,--,
--,Freestyle Lacrosse 2028,--,
--,Grit Austin 2028,--,
--,Hero's 2028 Green,--,
--,Lake Effect Storm Elite 2028,--,
--,Next Level 2028,--,
--,NXT 2028 Black,--,
--,NXT 2028 Volt,--,
--,NXT Air Spark 2028,--,
--,Orange Crush 2028,--,
--,Phantastix 2028 West,--,
--,Philadelphia Freedom 2028 Red,--,
--,Philadelphia Freedom 2028 White,--,
--,PPLC Blue 2028/2029,--,
--,PRIDE 2028 RED LOUDOUN,--,
--,Red Hots 2028,--,
--,Salt City Snipers 2028 Green,--,
--,Salt City Snipers 2028 Pink,--,
--,Sozo 2028 Red,--,
--,Ultimate CC 2028,--,
--,Ultimate LV 2028,--,
--,Ultimate NJ 2028,--,
--,Ultimate PA 2028,--,
--,Xtreme 2028,--,
