rank,club,rating,link,gender,class,season
1,Madlax National 2024,99.9,,boys,2024,2020
2,Laxachusetts 2024 Black,98.29,,boys,2024,2020
3,Nationals Lacrosse Club 2024,96.81,,boys,2024,2020
4,Thunder LB3 National 2024,96.73,,boys,2024,2020
5,Madlax Capital 2024,96.32,,boys,2024,2020
6,Carolina Miners 2024,94.62,,boys,2024,2020
7,Mad Dog NJ 2024,94.35,,boys,2024,2020
8,True Illinois 2024,94.35,,boys,2024,2020
9,Iron Horse Team Texas 2024,93.5,,boys,2024,2020
10,Looney's 2024 Old Bay,93.28,,boys,2024,2020
11,Laxachusetts 2024 Yellow,93.04,,boys,2024,2020
12,Annapolis Hawks 2024,92.87,,boys,2024,2020
13,West Coast Starz 2024,92.72,,boys,2024,2020
14,Sweetlax National 2024,92.66,,boys,2024,2020
15,Primetime 2024,92.38,,boys,2024,2020
16,LKS 2024,91.52,,boys,2024,2020
17,4Leaf 2024 Army,91.51,,boys,2024,2020
18,Thunder 2024 Blue,91.36,,boys,2024,2020
19,Team 91 Maryland 2024,91.11,,boys,2024,2020
20,Next Level 2024 Blue,91.09,,boys,2024,2020
21,Littlenecks 2024,91.02,,boys,2024,2020
22,Baltimore Crabs 2024,90.84,,boys,2024,2020
23,Resolute 2024,90.72,,boys,2024,2020
24,Gorilla 2024 Silver,90.62,,boys,2024,2020
25,FCA MD 2024 Blue,90.4,,boys,2024,2020
26,Brotherly Love 2024 Apollo,90.29,,boys,2024,2020
27,LI Legacy 2024,90.13,,boys,2024,2020
28,Big 4 HHH 2024,90.11,,boys,2024,2020
29,NH Tomahawks 2024 Purple,89.9,,boys,2024,2020
30,Team Illinois 2024,89.72,,boys,2024,2020
31,Sweetlax FL 2024,89.71,,boys,2024,2020
32,BBL Elite 2024,89.62,,boys,2024,2020
33,NXT 2024 Black,89.29,,boys,2024,2020
34,FCA MD 2024 White,89.04,,boys,2024,2020
35,Philadelphia Freedom 2024 Red,89.02,,boys,2024,2020
36,VLC 2024,88.95,,boys,2024,2020
37,Jersey Thunder 2024,88.94,,boys,2024,2020
38,Patriot Elite 2024 Chrome,88.81,,boys,2024,2020
39,Denver Elite 2024 Silver,88.76,,boys,2024,2020
40,API 2024,88.33,,boys,2024,2020
41,Tri-State 2024,88.25,,boys,2024,2020
42,3D New England 2024 Red,88.23,,boys,2024,2020
43,Tribal 2024,87.92,,boys,2024,2020
44,Juiced Cherries 2024,87.77,,boys,2024,2020
45,iM3 2024,87.73,,boys,2024,2020
46,Mesa PA 2024,87.58,,boys,2024,2020
47,Eclipse 2024 Orange AA,87.53,,boys,2024,2020
48,Rising Sons 2024 Navy,87.45,,boys,2024,2020
49,Top Caliber 2024,87.2,,boys,2024,2020
50,DC Express 2024 Black,87.15,,boys,2024,2020
51,Leading Edge 2024,87.14,,boys,2024,2020
52,Florida Crabs 2024,87.07,,boys,2024,2020
53,Team 91 Carolina 2024,86.81,,boys,2024,2020
54,NXT 2024,86.61,,boys,2024,2020
55,Sweetlax NY 2024,86.58,,boys,2024,2020
56,Cape Cod Kings 2024,86.42,,boys,2024,2020
57,LI Legacy 2024 Launch,86.4,,boys,2024,2020
58,3D Georgia 2024 AA,86.38,,boys,2024,2020
59,SouthShore 2024,86.35,,boys,2024,2020
60,True National Midwest 2024,86.35,,boys,2024,2020
61,Gonzo 2024,86.26,,boys,2024,2020
62,2Way 2024,86.14,,boys,2024,2020
63,New England Twisters 2024,86.1,,boys,2024,2020
64,Team 91 Long Island 2024 Menace,85.94,,boys,2024,2020
65,Sidewinders 2024 Black,85.87,,boys,2024,2020
66,CW Elite 2024,85.7,,boys,2024,2020
67,NJ Riot 2024 Chaos,85.69,,boys,2024,2020
68,HLC 2024,85.44,,boys,2024,2020
69,Penguins Select 2024 Blue,85.44,,boys,2024,2020
70,Team 11 2024,85.42,,boys,2024,2020
71,True Annapolis 2024,85.37,,boys,2024,2020
72,RIchmond Hawks 2024,85.33,,boys,2024,2020
73,Thundercanes 2024 Black,85.31,,boys,2024,2020
74,802 Lacrosse 2024,85.28,,boys,2024,2020
75,RI Bulldogs 2024,85.22,,boys,2024,2020
76,3D Colorado 2024 AA,85.1,,boys,2024,2020
77,302 Elite 2024,85.04,,boys,2024,2020
78,The Javelinas,85.02,,boys,2024,2020
79,Koopers 2024,84.97,,boys,2024,2020
80,Coyotes 2024 Blue,84.9,,boys,2024,2020
