rank,club,rating,link,gender,class,season
--,214Lax Dallas 2024,--,,girls,2024,2024
--,AFA 2024,--,,girls,2024,2024
--,All Lax 2024,--,,girls,2024,2024
--,BBL Elite 2024 Black,--,,girls,2024,2024
--,Belles 2024,--,,girls,2024,2024
--,Black Dog 2024-2027,--,,girls,2024,2024
--,Black Lax 2024,--,,girls,2024,2024
--,C2 Select 2024 Black,--,,girls,2024,2024
--,CLC 2024 Bold,--,,girls,2024,2024
--,CLC 2024 Pride,--,,girls,2024,2024
--,Charlotte Style 2024,--,,girls,2024,2024
--,Check-Hers 2024 Black,--,,girls,2024,2024
--,Coppermine North 2024,--,,girls,2024,2024
--,CT Grizzlies 2024 Navy,--,,girls,2024,2024
--,Detroit United Panthers 2024,--,,girls,2024,2024
--,Dynamic Lacrosse 2024,--,,girls,2024,2024
--,Dynasty Elite 2024 Bravo,--,,girls,2024,2024
--,Dynasty Elite 2024 Zulu,--,,girls,2024,2024
--,FLG All LI 2024 (Hungtington),--,,girls,2024,2024
--,Florida Shine Elite 2024,--,,girls,2024,2024
--,Gold Coast 2024 Gold,--,,girls,2024,2024
--,Gold Coast 2024 Silver,--,,girls,2024,2024
--,Hurricanes 2024 White,--,,girls,2024,2024
--,Intrepid Open 2024,--,,girls,2024,2024
--,Lakeshore 2024,--,,girls,2024,2024
--,Lax Maniax 2024 Black,--,,girls,2024,2024
--,LI Jesters 2024 Black,--,,girls,2024,2024
--,LI Jesters 2024 Pink,--,,girls,2024,2024
--,LI Legacy 2024 Blue,--,,girls,2024,2024
--,Lift Lacrosse 2024,--,,girls,2024,2024
--,M&D Shore 2024 Black,--,,girls,2024,2024
--,MACLAX HS 2024/2025 BLUE,--,,girls,2024,2024
--,Mad Dog NJ North 2024 Black,--,,girls,2024,2024
--,Mad Dog West Elite 2024,--,,girls,2024,2024
--,MFL 2024 Black,--,,girls,2024,2024
--,MFL 2024 Blue,--,,girls,2024,2024
--,MC Elite 2024 Midnight,--,,girls,2024,2024
--,MD United 2024 East,--,,girls,2024,2024
--,MDLAX Black 2024,--,,girls,2024,2024
--,Metro 2024 Blue,--,,girls,2024,2024
--,Metro 2024 Green,--,,girls,2024,2024
--,Ladies Bigfoot Lacrosse Gold 2024,--,,girls,2024,2024
--,NEMS 2024,--,,girls,2024,2024
--,Next Level 2024/2025,--,,girls,2024,2024
--,NXT 2024 Black,--,,girls,2024,2024
--,NXT 2024 Black,--,,girls,2024,2024
--,NXT 2024 Volt,--,,girls,2024,2024
--,Phantastix 2024 Purple,--,,girls,2024,2024
--,Phantastix 2024 West,--,,girls,2024,2024
--,Phantastix 2024 White,--,,girls,2024,2024
--,Pittsburgh Premier 2024 Blue,--,,girls,2024,2024
--,Predators 2024,--,,girls,2024,2024
--,PLG OH Varsity 2024,--,,girls,2024,2024
--,Pride 2024 Loudon,--,,girls,2024,2024
--,Primetime 2024,--,,girls,2024,2024
--,Pure Advantage High School 2024,--,,girls,2024,2024
--,Rebels 2024,--,,girls,2024,2024
--,Reign 2024,--,,girls,2024,2024
--,Renegades 2024,--,,girls,2024,2024
--,REV 2024 Black,--,,girls,2024,2024
--,REV 2024 Blue,--,,girls,2024,2024
--,SJ Shamrocks 2024,--,,girls,2024,2024
--,STEPS Elite NJ 2024 Blue,--,,girls,2024,2024
--,STEPS Elite NJ 2024 White,--,,girls,2024,2024
--,Storm Select 2024,--,,girls,2024,2024
--,Team 91 Carolina 2024 (Blue),--,,girls,2024,2024
--,The Storm 2024,--,,girls,2024,2024
--,TLC 2024 Gold,--,,girls,2024,2024
--,TLC 2024 Red,--,,girls,2024,2024
--,TLC 2024 White,--,,girls,2024,2024
--,TNLAX 2024,--,,girls,2024,2024
--,Triumph Aces 2024,--,,girls,2024,2024
--,True MI Kalamazoo H.S. 2024,--,,girls,2024,2024
--,True National 2024,--,,girls,2024,2024
--,True OH 2024/2025,--,,girls,2024,2024
--,True PA,--,,girls,2024,2024
--,True Pittsburg 2024,--,,girls,2024,2024
--,UPROAR 2024 ELITE,--,,girls,2024,2024
--,UPROAR 2024/2025 SELECT,--,,girls,2024,2024
--,Ultimate CC 2024 Blue,--,,girls,2024,2024
--,Ultimate NJ 2024 Blue,--,,girls,2024,2024
--,Ultimate PA 2024 Blue,--,,girls,2024,2024
--,Ultimate CLT 2024 Blue,--,,girls,2024,2024
--,Ultimate NC 2024 Blue,--,,girls,2024,2024
--,Valley Select HS Orange 2024,--,,girls,2024,2024
--,Xtreme 2024,--,,girls,2024,2024
--,LI Yellow Jackets 2024 Kildare,--,,girls,2024,2024
--,LI Yellow Jackets 2024 O'Sullivan,--,,girls,2024,2024
--,LI Yellow Jackets 2024 Ramos,--,,girls,2024,2024
--,LI Yellow Jackets Swarm 2024 Weiner,--,,girls,2024,2024
--,Yellow Jackets Mid Atlantic 2024 Rosenburg,--,,girls,2024,2024
--,Yellow Jackets North 2024 Mager,--,,girls,2024,2024
--,Yellow Jackets Rockland 2024,--,,girls,2024,2024
--,Yellow Jackets South 2024,--,,girls,2024,2024
--,Yellow Jackets South HS Open,--,,girls,2024,2024
--,York Invaders 2024,--,,girls,2024,2024
