rank,club,rating,link,gender,class,season
1,LI Yellow Jackets 2025 Spallina,99.9,,girls,2025,2023
2,M&D 2025 Black,98.45,,girls,2025,2023
3,Mass Elite 2025 Red,98.36,,girls,2025,2023
4,Capital 2025 Blue,97.57,,girls,2025,2023
5,Sky Walkers 2025 Blue,97.18,,girls,2025,2023
6,STEPS Elite NJ 2025 Navy,97.13,,girls,2025,2023
7,Primetime 2025,97.1,,girls,2025,2023
8,Big 4 HHH 2025,96.45,,girls,2025,2023
9,NXT 2025 Black,96.41,,girls,2025,2023
10,Monster Elite 2025 Purple,96.07,,girls,2025,2023
11,Hero's 2025 Green,95.75,,girls,2025,2023
12,LI Yellow Jackets 2025 Thorn Rella,95.44,,girls,2025,2023
13,Aces Elite 2025,95.41,,girls,2025,2023
14,LI Top Guns 2025 Black,95.0,,girls,2025,2023
15,Salt City Snipers 2025 Pink,94.87,,girls,2025,2023
16,CT Grizzlies 2025 Navy,94.81,,girls,2025,2023
17,STEPS California 2025,94.26,,girls,2025,2023
18,LI Yellow Jackets 2025 Bertolone,93.96,,girls,2025,2023
19,LI Legacy 2025 Blue,93.94,,girls,2025,2023
20,Eagle Stix 2025 Blue,93.91,,girls,2025,2023
21,Florida Select 2025,93.86,,girls,2025,2023
22,Aim 2025,93.4,,girls,2025,2023
23,Team Elevate 2025 Blue,93.22,,girls,2025,2023
24,LI Jesters 2025 Black,93.19,,girls,2025,2023
25,MD United 2025 East,93.0,,girls,2025,2023
26,Tradition 2025,92.9,,girls,2025,2023
27,GRIT Dallas 2025,92.73,,girls,2025,2023
28,Triple Threat Elite 2025 Iron,92.66,,girls,2025,2023
29,DEWLAX 2025 BLACK,92.61,,girls,2025,2023
30,Philly Blast 2025,92.54,,girls,2025,2023
31,BBL Elite 2025 Black,92.53,,girls,2025,2023
32,Limitless Elite 2025,92.33,,girls,2025,2023
33,STEPS Elite NJ 2025 Carolina,92.3,,girls,2025,2023
34,Cav Lax Elite 2025,92.16,,girls,2025,2023
35,Oregon Pride 2025,92.15,,girls,2025,2023
36,Tenacity Elite National 2025,92.14,,girls,2025,2023
37,Phantastix 2025 Purple,92.12,,girls,2025,2023
38,Sound Lacrosse 2025,91.98,,girls,2025,2023
39,Yellow Jackets South 2025 Blue,91.98,,girls,2025,2023
40,South Jersey Select 2025 Pink,91.63,,girls,2025,2023
41,Lake Effect Storm 2025 Elite (Red),91.62,,girls,2025,2023
42,3D Maryland 2025 Frederick,91.6,,girls,2025,2023
43,Team 180 2025,91.49,,girls,2025,2023
44,NEMS 2025,91.46,,girls,2025,2023
45,Mad Dog West Elite 2025,91.39,,girls,2025,2023
46,Mass Elite 2025 White,91.21,,girls,2025,2023
47,LI Liberty 2025 Black,91.11,,girls,2025,2023
48,Sky Walkers 2025 White,91.02,,girls,2025,2023
49,Denver Pride 2025,90.98,,girls,2025,2023
50,Team ONE Wildcat 2025,90.65,,girls,2025,2023
51,Ultimate CLT 2025 Blue,90.56,,girls,2025,2023
52,NH Tomahawks 2025 Purple,90.52,,girls,2025,2023
53,Predators 2025,90.37,,girls,2025,2023
54,Coppermine 2025 Black,90.32,,girls,2025,2023
55,Pride 2025 Black (Nova),90.31,,girls,2025,2023
56,LI Empire 2025 Green,90.26,,girls,2025,2023
57,Team 91 Carolina 2025,90.15,,girls,2025,2023
58,Orange Crush 2025,90.09,,girls,2025,2023
59,214Lax Dallas 2025,90.02,,girls,2025,2023
60,Bay State Bullets 2025 Silver,89.94,,girls,2025,2023
61,York Invaders 2025,89.9,,girls,2025,2023
62,Southern Zone 2025,89.77,,girls,2025,2023
63,Jersey Shore Select 2025 Blue,89.75,,girls,2025,2023
64,M&D 2025 Red,89.75,,girls,2025,2023
65,Granite State Elite 2025,89.72,,girls,2025,2023
66,Laxachusetts 2025 Black,89.71,,girls,2025,2023
67,Atlanta Storm 2025 Blue,89.65,,girls,2025,2023
68,Impact 2025,89.62,,girls,2025,2023
69,Lacrosse Monkey 2025,89.45,,girls,2025,2023
70,HoCo 2025 Black,89.39,,girls,2025,2023
71,Lax Maniax 2025 Black,89.34,,girls,2025,2023
72,Capital 2025 Orange,89.28,,girls,2025,2023
73,Pipeline Platinum 2025 Red,89.27,,girls,2025,2023
74,Hero's 2025 White,89.0,,girls,2025,2023
75,CLC 2025 Pride,88.94,,girls,2025,2023
76,Dynasty Elite 2025 Delta,88.9,,girls,2025,2023
77,TLC 2025 Red,88.74,,girls,2025,2023
78,Alliance National 2025,88.42,,girls,2025,2023
79,Lakeshore 2025,88.3,,girls,2025,2023
80,3D New England 2025,88.24,,girls,2025,2023
81,Mass Elite 2025 Blue,88.09,,girls,2025,2023
82,REV 2025 Black,88.09,,girls,2025,2023
83,UPROAR 2025 ELITE,88.02,,girls,2025,2023
84,LI Empire 2025,87.96,,girls,2025,2023
85,DelCo 2025 Select,87.95,,girls,2025,2023
86,Gold Coast 2025 GOLD,87.87,,girls,2025,2023
87,3D Colorado 2025 AA,87.79,,girls,2025,2023
88,Nor'easter 2025 Power,87.64,,girls,2025,2023
89,M&D Shore 2025 Black,87.62,,girls,2025,2023
90,Charlotte Style 2025,87.61,,girls,2025,2023
91,Lakeside Lacrosse Alpine 2025,87.57,,girls,2025,2023
92,All Lax Select 2025,87.48,,girls,2025,2023
93,Lucky Lax 2025,87.38,,girls,2025,2023
94,M&D Orlando 2025 Black,87.22,,girls,2025,2023
95,Yellow Jackets North 2025 Willams,87.21,,girls,2025,2023
96,DEWLAX 2025 CT,87.08,,girls,2025,2023
97,M&D 2025 Shore,86.95,,girls,2025,2023
98,Yellow Jackets North Rockland 2025,86.93,,girls,2025,2023
99,Metro 2025 Blue,86.91,,girls,2025,2023
100,Yellow Jackets Rockland 2025 Rock Boice,86.87,,girls,2025,2023
101,Minnesota Elite 2025,86.66,,girls,2025,2023
102,Snipers Elite 2025,86.63,,girls,2025,2023
103,Monster Elite 2025 White,86.57,,girls,2025,2023
104,PPLC 2025 Blue,86.55,,girls,2025,2023
105,Monster 2025 Blue,86.32,,girls,2025,2023
106,CLC 2025 Rise,86.24,,girls,2025,2023
107,Georgia Lady Outlaws 2025 Pink,86.23,,girls,2025,2023
108,Yellow Jackets Mid Atlantic 2025 Hoeg,86.11,,girls,2025,2023
109,Integrity 2025,86.09,,girls,2025,2023
110,BBL Elite 2025 Select,86.05,,girls,2025,2023
111,MFL 2025 Black,86.03,,girls,2025,2023
112,LI Yellow Jackets 2025 Galvin,86.01,,girls,2025,2023
113,Philadelphia Freedom 2025,86.0,,girls,2025,2023
114,Hoco Girls 2025 Black,85.95,,girls,2025,2023
115,True Illinois 2025 State,85.91,,girls,2025,2023
116,Integrity 2025 Green,85.88,,girls,2025,2023
117,South Coast 2025,85.81,,girls,2025,2023
118,Storm Select 2025,85.4,,girls,2025,2023
119,Florida Shine Elite 2025,85.38,,girls,2025,2023
120,LI Top Guns 2025 Purple,85.35,,girls,2025,2023
121,3D Maryland 2025 Baltimore,85.16,,girls,2025,2023
122,CCLAX 2025,85.16,,girls,2025,2023
123,Check-Hers Elite 2025 Black,85.16,,girls,2025,2023
124,Atlanta Storm 2025 Orange,85.12,,girls,2025,2023
125,Mad Dog NJ North 2025 Black,85.11,,girls,2025,2023
126,All American Aim 2025 Stars and Stripes,84.97,,girls,2025,2023
127,CheckHers 2025,84.96,,girls,2025,2023
128,MC Elite 2025 Midnight,84.92,,girls,2025,2023
129,Reign 2025,84.85,,girls,2025,2023
130,NXT 2025 Volt,84.84,,girls,2025,2023
131,Ultimate NJ 2025,84.82,,girls,2025,2023
132,Maxim 2025 Navy,84.8,,girls,2025,2023
133,SWLX 2025,84.45,,girls,2025,2023
134,Nor'easter 2025,84.42,,girls,2025,2023
135,Common Goal 2025,84.39,,girls,2025,2023
136,TRIUMPH 2025 NATIONAL PREMIER,84.32,,girls,2025,2023
137,True Pittsburg 2025,84.19,,girls,2025,2023
138,Check Hers 2025 Black,83.82,,girls,2025,2023
139,Laxachusetts 2025 Yellow,83.79,,girls,2025,2023
140,Lake Effect Storm Elite 2025 White,83.58,,girls,2025,2023
141,FCA Upstate NY 2025,83.56,,girls,2025,2023
142,Renegades 2025,83.43,,girls,2025,2023
143,Gold Star 2025,83.37,,girls,2025,2023
144,Boston LC 2025,83.34,,girls,2025,2023
145,DEWLAX 2025 BLUE,83.31,,girls,2025,2023
146,Ultimate PA 2025,83.16,,girls,2025,2023
147,Ultimate CC 2025,83.04,,girls,2025,2023
148,FLG Blue Devils 2025,83.03,,girls,2025,2023
149,MD United 2025 West,83.02,,girls,2025,2023
150,Xtreme 2025,82.96,,girls,2025,2023
151,GRIT Austin 2025,82.91,,girls,2025,2023
152,Lax On Elite 2025,82.71,,girls,2025,2023
153,STARS 2025 Blue,82.67,,girls,2025,2023
154,GRIT Houston 2025,82.63,,girls,2025,2023
155,Nor'easter 2025 Grit,82.56,,girls,2025,2023
156,NH Tomahawks 2025 Gold,82.49,,girls,2025,2023
157,SJ Shamrocks 2025,82.26,,girls,2025,2023
158,Ultimate NC 2025 Blue,82.23,,girls,2025,2023
159,Team 91 Long Island 2025 Mayhem,82.21,,girls,2025,2023
160,Phantastix 2025 West,82.14,,girls,2025,2023
161,Dynasty Elite 2025 Victor,82.11,,girls,2025,2023
162,Salt City Snipers 2025 Green,82.02,,girls,2025,2023
163,GSE 2025,81.97,,girls,2025,2023
164,MFL 2025 Blue,81.92,,girls,2025,2023
165,Team 91 Georgia 2025,81.87,,girls,2025,2023
166,Coast 2025 Elite,81.8,,girls,2025,2023
167,Belles 2025,81.57,,girls,2025,2023
168,Eagle Stix 2025 Grey,81.54,,girls,2025,2023
169,ADK 2025,81.53,,girls,2025,2023
170,Aces White 2025,81.45,,girls,2025,2023
171,Jets Pink 2025/2026,81.42,,girls,2025,2023
172,Lax Maniax 2025 White,81.25,,girls,2025,2023
173,Triple Threat Elite 2025 Steel,81.25,,girls,2025,2023
174,Pride 2025 White (Nova),81.22,,girls,2025,2023
175,Team Coastal 2025,81.11,,girls,2025,2023
176,Phantoms 2025,81.04,,girls,2025,2023
177,Gold Coast 2025 Black,80.95,,girls,2025,2023
178,Sidewinders 2025,80.9,,girls,2025,2023
179,Pride 2025 White,80.87,,girls,2025,2023
180,Relentless Hustle 2025,80.75,,girls,2025,2023
181,ADK Peak 2025,80.74,,girls,2025,2023
182,True PA Valley 2025 Black,80.74,,girls,2025,2023
183,Pure Advantage Premier 2025,80.7,,girls,2025,2023
184,LI Jesters 2025 Pink,80.54,,girls,2025,2023
185,Empress 2025,80.46,,girls,2025,2023
186,Circle City 2025 Titanium,80.3,,girls,2025,2023
187,Laxachusetts 2025 Navy,80.3,,girls,2025,2023
188,Pipeline Platinum Blue 2025,80.27,,girls,2025,2023
189,CLC 2025 Bold,80.2,,girls,2025,2023
190,Yellow Jackets South 2025 Gold,80.07,,girls,2025,2023
191,Team Razor 2025,79.98,,girls,2025,2023
192,Jersey Thunder 2025,79.92,,girls,2025,2023
193,ESLC Pirates 2025,79.65,,girls,2025,2023
194,CT Shoreline Sharks 2025,79.63,,girls,2025,2023
195,AFA 2025,79.6,,girls,2025,2023
196,REV 2025 Blue,79.34,,girls,2025,2023
197,Phantastix 2025 White,79.25,,girls,2025,2023
198,Next Level 2025,78.95,,girls,2025,2023
199,Dark Horse 2025/2026,78.88,,girls,2025,2023
200,Rebels 2025,78.57,,girls,2025,2023
201,518Excelerate 2025,78.36,,girls,2025,2023
202,Dynamite 2025 Black,78.35,,girls,2025,2023
203,Jersey SHORE Select 3 Point 2025,78.3,,girls,2025,2023
204,3d Garden State 2025/2026,77.8,,girls,2025,2023
205,Coppermine North 2025 Blue,77.73,,girls,2025,2023
206,Lotus 2025,77.69,,girls,2025,2023
207,TLC 2025 White,77.22,,girls,2025,2023
208,HOCO 2025 Pink,76.81,,girls,2025,2023
209,Yellow Jackets North 2025 Merriman,76.62,,girls,2025,2023
210,DEWLAX 2025 ORANGE,76.57,,girls,2025,2023
