rank,club,rating,link,gender,class,season
114,LI Sting 2024,90.84,,boys,2024,2023
115,Thunder 2024 Orange,90.72,,boys,2024,2023
116,3D NE South 2024,90.71,,boys,2024,2023
117,Second City 2024 Gold,90.71,,boys,2024,2023
118,Iron Horse Houston 2024,90.69,,boys,2024,2023
119,Mad Dog NJ Shore 2024 Black,90.69,,boys,2024,2023
120,Team 91 Tri-State 2024 Select,90.68,,boys,2024,2023
121,True Illinois 2024 Premier A,90.68,,boys,2024,2023
122,Albany Power 2024,90.64,,boys,2024,2023
123,Mesa PA 2024,90.61,,boys,2024,2023
124,LI Legacy 2024 East,90.55,,boys,2024,2023
125,NXT 2024,90.55,,boys,2024,2023
126,Alcatraz Outlaws 2024,90.49,,boys,2024,2023
127,CT Valley 2024 Blue,90.46,,boys,2024,2023
128,Tri-State 2024 Gold,90.44,,boys,2024,2023
129,NJ Riot 2024 Chaos,90.43,,boys,2024,2023
130,True Ohio 2024 Black,90.4,,boys,2024,2023
131,CitySide 2024,90.22,,boys,2024,2023
132,Gonzo 2024,90.21,,boys,2024,2023
133,3D New England 2024 Blue,90.15,,boys,2024,2023
134,Looney's 2024,90.06,,boys,2024,2023
135,Fusion Canada West 2024,90.02,,boys,2024,2023
136,LI Rush 2024 Havoc,89.97,,boys,2024,2023
137,UNRL MN 2024,89.88,,boys,2024,2023
138,LI Legacy 2024 Launch,89.87,,boys,2024,2023
139,Jersey Thunder 2024 AA,89.79,,boys,2024,2023
140,Midwest Top Gun 2024,89.77,,boys,2024,2023
141,iM3 2023-2024,89.77,,boys,2024,2023
142,Richmond Hawks 2024 AA,89.72,,boys,2024,2023
143,Blak Widow 2024,89.68,,boys,2024,2023
144,NXT 2024 Rattler,89.67,,boys,2024,2023
145,4Leaf 2024 Navy,89.66,,boys,2024,2023
146,Seattle Starz 2024 Elite,89.62,,boys,2024,2023
147,True VA 2024 Black,89.62,,boys,2024,2023
148,Scorpions USA 2024,89.47,,boys,2024,2023
149,Top Caliber 2024 AA,89.44,,boys,2024,2023
150,Kings 2024 Red,89.41,,boys,2024,2023
151,Team Maryland 2024 Red,89.33,,boys,2024,2023
152,FL Crabs 2024 West-Ross,89.28,,boys,2024,2023
153,Carolina Hilltoppers Elite 2024,89.26,,boys,2024,2023
154,Piatelli 2024 Red,89.23,,boys,2024,2023
155,Fusion 2024,89.14,,boys,2024,2023
156,Gorilla 2024 Silver,89.12,,boys,2024,2023
