rank,club,rating,link,gender,class,season
1,M&D 2024 Black,99.9,,girls,2024,2023
2,Monster Elite 2024 Purple,99.08,,girls,2024,2023
3,CT Grizzlies 2024 Navy,98.72,,girls,2024,2023
4,Sky Walkers 2024 Blue,98.45,,girls,2024,2023
5,LI Yellow Jackets Swarm 2024 Weiner,98.37,,girls,2024,2023
6,STEPS Elite NJ 2024 Blue,98.16,,girls,2024,2023
7,Florida Select 2024,97.48,,girls,2024,2023
8,NEMS 2024,97.26,,girls,2024,2023
9,STEPS California 2024,97.22,,girls,2024,2023
10,Big 4 HHH 2024,97.1,,girls,2024,2023
11,Hero's 2024 Green,97.09,,girls,2024,2023
12,Team 180 2024,96.96,,girls,2024,2023
13,Integrity 2024 Green,96.36,,girls,2024,2023
14,Capital 2024 Blue,96.09,,girls,2024,2023
15,LI Legacy 2024 Blue,95.97,,girls,2024,2023
16,Primetime 2024,95.78,,girls,2024,2023
17,DEWLAX 2024 Black,95.71,,girls,2024,2023
18,Mad Dog West Elite 2024,95.69,,girls,2024,2023
19,MD United 2024,95.65,,girls,2024,2023
20,Salt City Snipers 2024 Pink,95.56,,girls,2024,2023
21,Cav Lax Elite 2024,95.43,,girls,2024,2023
22,LI Top Guns 2024 Black,95.35,,girls,2024,2023
23,Jersey Shore Select 2024 Blue,95.06,,girls,2024,2023
24,Storm Select 2024,94.9,,girls,2024,2023
25,Mass Elite 2024 Red,94.8,,girls,2024,2023
26,Aim 2024,94.71,,girls,2024,2023
27,LI Yellow Jackets 2024 Kildare,94.46,,girls,2024,2023
28,MD United 2024 East,94.38,,girls,2024,2023
29,South Jersey Select 2024 Pink,94.31,,girls,2024,2023
30,LI Yellow Jackets 2024 Ramos,94.11,,girls,2024,2023
31,LI Liberty 2024 Black,94.05,,girls,2024,2023
32,M&D 2024 Red,94.04,,girls,2024,2023
33,Lake Effect Storm 2024 Elite,93.94,,girls,2024,2023
34,Lax Maniax 2024 Black,93.88,,girls,2024,2023
35,Laxachusetts 2024 Black,93.83,,girls,2024,2023
36,3D Colorado 2024 AA,93.77,,girls,2024,2023
37,Eagle Stix 2024 Blue,93.7,,girls,2024,2023
38,NXT 2024 Black,93.6,,girls,2024,2023
39,Tenacity 2024,93.59,,girls,2024,2023
40,Phantastix 2024 Purple,93.59,,girls,2024,2023
41,BBL Elite 2024 Black,93.58,,girls,2024,2023
42,CLC 2024 Pride,93.26,,girls,2024,2023
43,Lacrosse Monkey 2024,93.18,,girls,2024,2023
44,Capital 2024 Orange,93.11,,girls,2024,2023
45,Snipers Elite 2024,93.08,,girls,2024,2023
46,REV 2024 Black,92.92,,girls,2024,2023
47,Renegades 2024,92.91,,girls,2024,2023
48,Team ONE Wildcat 2024,92.86,,girls,2024,2023
49,NH Tomahawks 2024 Purple,92.76,,girls,2024,2023
50,Predators 2024,92.71,,girls,2024,2023
51,Charlotte Style 2024,92.69,,girls,2024,2023
52,Yellow Jackets South 2024,92.63,,girls,2024,2023
53,Check-Hers 2024 Black,92.58,,girls,2024,2023
54,TLC 2024 Red,92.51,,girls,2024,2023
55,Southern Zone 2024,92.33,,girls,2024,2023
56,M&D Orlando 2024 Black,91.81,,girls,2024,2023
57,Ultimate Elite 2024,91.7,,girls,2024,2023
58,Monster Elite 2024 White,91.65,,girls,2024,2023
59,Hero's 2024 White,91.63,,girls,2024,2023
60,Hill Academy 2024,91.45,,girls,2024,2023
61,UPROAR 2024 ELITE,91.39,,girls,2024,2023
62,C2 Select 2024 Black,91.33,,girls,2024,2023
63,Dynasty Elite 2024 Zulu,91.33,,girls,2024,2023
64,Triple Threat Elite Central 2024,91.28,,girls,2024,2023
65,LI Yellow Jackets 2024 Gold,91.23,,girls,2024,2023
66,Team 91 Carolina 2024 (Blue),91.1,,girls,2024,2023
67,Ultimate CC 2024 Blue,91.0,,girls,2024,2023
68,Pride 2024 Black,90.96,,girls,2024,2023
69,Sky Walkers 2024 White,90.96,,girls,2024,2023
70,Lakeshore 2024,90.88,,girls,2024,2023
71,Ultimate PA 2024 Blue,90.81,,girls,2024,2023
72,Impact 2024,90.78,,girls,2024,2023
73,Sound Lacrosse 2024,90.7,,girls,2024,2023
74,Philly Blast 2024,90.58,,girls,2024,2023
75,LI Jesters 2024 Black,90.58,,girls,2024,2023
76,Pipeline Platinum Red 2024,90.39,,girls,2024,2023
77,Mid Penn Blaze 2024,90.32,,girls,2024,2023
78,ADK Peak 2024,90.31,,girls,2024,2023
79,VA Metro 2024 Navy,90.28,,girls,2024,2023
80,Gold Coast 2024 Gold,90.27,,girls,2024,2023
81,Team 91 Long Island 2024 Orange,90.24,,girls,2024,2023
82,Arc Lacrosse 2024,90.04,,girls,2024,2023
83,TNLAX 2024/2025 Select,90.0,,girls,2024,2023
84,STEPS Elite NJ 2024 White,89.97,,girls,2024,2023
85,Bay State Bullets 2024 Silver,89.87,,girls,2024,2023
86,LI Yellow Jackets 2024 O'Sullivan,89.87,,girls,2024,2023
87,Bluegrass Premier 2024,89.78,,girls,2024,2023
88,Coppermine 2024 Black,89.78,,girls,2024,2023
89,LI Empire 2024 Bengals,89.73,,girls,2024,2023
90,FLG All LI 2024 (Hungtington),89.72,,girls,2024,2023
91,Reign 2024,89.71,,girls,2024,2023
92,Ultimate NJ 2024 Blue,89.62,,girls,2024,2023
93,Atlanta Storm 2024 Blue,89.57,,girls,2024,2023
94,York Invaders 2024,89.57,,girls,2024,2023
95,True National 2024,89.55,,girls,2024,2023
96,PA Express 2024 Orange,89.54,,girls,2024,2023
97,Coast 2024 Elite,89.54,,girls,2024,2023
98,Xtreme 2024,89.53,,girls,2024,2023
99,ADK 2024,89.51,,girls,2024,2023
100,TLC 2024 Gold,89.48,,girls,2024,2023
101,No Excuse 2024,89.48,,girls,2024,2023
102,Team 91 Long Island 2024 Pride,89.46,,girls,2024,2023
103,Belles 2024,89.4,,girls,2024,2023
104,Pittsburgh Premier 2024 Blue,89.31,,girls,2024,2023
105,HGR 2024,89.28,,girls,2024,2023
106,DEWLAX 2024 BLUE,89.22,,girls,2024,2023
107,C2 Select 2024,89.22,,girls,2024,2023
108,LA Select Black 2024,89.22,,girls,2024,2023
109,Nor'easter 2024 Power,89.16,,girls,2024,2023
110,All Lax 2024,89.11,,girls,2024,2023
111,Boston LC 2024,89.11,,girls,2024,2023
112,Atlanta Storm 2024,89.1,,girls,2024,2023
113,Big Fish 2024/2025,89.08,,girls,2024,2023
114,GRIT Austin 2024,89.03,,girls,2024,2023
115,Granite State Elite 2024,89.0,,girls,2024,2023
116,M&D 2024 White,88.91,,girls,2024,2023
117,Ultimate CLT 2024 Blue,88.88,,girls,2024,2023
118,FLG Blue Devils 2024,88.74,,girls,2024,2023
119,Major Force Black 2024,88.72,,girls,2024,2023
120,GRIT Dallas 2024,88.69,,girls,2024,2023
121,214Lax Dallas 2024,88.64,,girls,2024,2023
122,SJ Shamrocks 2024,88.63,,girls,2024,2023
123,Relentless Hustle 2024,88.56,,girls,2024,2023
124,LI Top Guns 2024 Purple,88.4,,girls,2024,2023
125,NXT 2024 Volt,88.36,,girls,2024,2023
126,Crossroads 2024,88.34,,girls,2024,2023
127,Yellow Jackets North 2024 Mager,88.29,,girls,2024,2023
128,True Illinois 2024 State,88.28,,girls,2024,2023
129,Eagle Stix 2024 Grey,88.27,,girls,2024,2023
130,Lucky Lax 2024,88.22,,girls,2024,2023
131,Common Goal 2024,88.21,,girls,2024,2023
132,5280 Lacrosse 2024,88.12,,girls,2024,2023
133,Orange Crush 2024,88.01,,girls,2024,2023
134,Metro 2024 Blue,87.93,,girls,2024,2023
135,Mad Dog NJ North 2024 Black,87.91,,girls,2024,2023
136,Triumph 2024 National Premier,87.91,,girls,2024,2023
137,Lax On Elite 2024,87.9,,girls,2024,2023
138,Ultimate NC 2024 Blue,87.84,,girls,2024,2023
139,Salt City Snipers 2024 Green,87.78,,girls,2024,2023
140,CCLAX 2024,87.76,,girls,2024,2023
141,AFA 2024,87.76,,girls,2024,2023
142,Mass Elite 2024 White,87.68,,girls,2024,2023
143,3D New England 2024,87.62,,girls,2024,2023
144,MC Elite 2024 Midnight,87.27,,girls,2024,2023
