rank,club,rating,link,gender,class,season
--,214Lax Dallas 2025,--,,girls,2025,2021
--,3D Colorado 2025 AA,--,,girls,2025,2021
--,3D Maryland 2025 Baltimore,--,,girls,2025,2021
--,3D Maryland 2025 Baltimore,--,,girls,2025,2021
--,3D Maryland 2025 Frederick,--,,girls,2025,2021
--,3D National 2025 Dodgers,--,,girls,2025,2021
--,Aces 2025 Blue,--,,girls,2025,2021
--,ADK 2025,--,,girls,2025,2021
--,AFA 2025,--,,girls,2025,2021
--,All Lax Select 2025 Empower,--,,girls,2025,2021
--,ALL Lax Select 2025 Inspire,--,,girls,2025,2021
--,Aim 2025,--,,girls,2025,2021
--,All American Aim 2025 Stars and Stripes,--,,girls,2025,2021
--,Atlanta Storm 2025 Blue,--,,girls,2025,2021
--,Atlanta Storm 2025 Orange,--,,girls,2025,2021
--,Bandits 2025,--,,girls,2025,2021
--,Bay Area 2025,--,,girls,2025,2021
--,BBL Elite 2025 Black,--,,girls,2025,2021
--,BBL Elite 2025 Select,--,,girls,2025,2021
--,BBL 2025 North,--,,girls,2025,2021
--,Big 4 HHH 2025,--,,girls,2025,2021
--,Big 4 HHH 2025,--,,girls,2025,2021
--,Blackjack 2025-26,--,,girls,2025,2021
--,BLC 2025 Blue,--,,girls,2025,2021
--,BLC 25/26 Orange,--,,girls,2025,2021
--,Cardinal 2025,--,,girls,2025,2021
--,Cavalier 2025,--,,girls,2025,2021
--,Cavalier 2025-2026,--,,girls,2025,2021
--,CCLAX 2025,--,,girls,2025,2021
--,CLC 2025 Bold,--,,girls,2025,2021
--,CLC 2025 Pride,--,,girls,2025,2021
--,CLC 2025 Rise,--,,girls,2025,2021
--,CLC 2025 Select,--,,girls,2025,2021
--,Central PA Fusion 2025,--,,girls,2025,2021
--,Charlotte Style 2025,--,,girls,2025,2021
--,Charlotte Style 2025 Black,--,,girls,2025,2021
--,Charlotte Style 2025 Blue,--,,girls,2025,2021
--,CheckHers 2025,--,,girls,2025,2021
--,CincyLax 2025,--,,girls,2025,2021
--,Coppermine 2025 Black,--,,girls,2025,2021
--,Coppermine 2025 Blue,--,,girls,2025,2021
--,CT Grizzlies 2025 Navy,--,,girls,2025,2021
--,CT Grizzlies 2025 Yellow,--,,girls,2025,2021
--,DelCo 2025 Select,--,,girls,2025,2021
--,DEWLAX 2025 BLACK,--,,girls,2025,2021
--,DEWLAX 2025 BLUE,--,,girls,2025,2021
--,DEWLAX 2025 ORANGE,--,,girls,2025,2021
--,Dynamite 2025 Black,--,,girls,2025,2021
--,Dynasty Elite 2025 Delta,--,,girls,2025,2021
--,Eagle Stix 2025 Blue,--,,girls,2025,2021
--,ESLC Pirates 2025,--,,girls,2025,2021
--,Elite 2025,--,,girls,2025,2021
--,FAC 25 Blue,--,,girls,2025,2021
--,FCA MD 2025 Blue,--,,girls,2025,2021
--,Florida Select 2025,--,,girls,2025,2021
--,Florida Shine Elite 2025,--,,girls,2025,2021
--,Gold Coast 2025 GOLD,--,,girls,2025,2021
--,Gold Coast 2025 Silver,--,,girls,2025,2021
--,GRIT Dallas 2025,--,,girls,2025,2021
--,HEADStrong 2025,--,,girls,2025,2021
--,HEADstrong Philly 2025,--,,girls,2025,2021
--,Hero's 2025 Green,--,,girls,2025,2021
--,Hero's 2025 White,--,,girls,2025,2021
--,HoCo 2025 Black,--,,girls,2025,2021
--,HOCO 2025 Pink,--,,girls,2025,2021
--,Hoco Girls 2025 Black,--,,girls,2025,2021
--,Indy United 2025,--,,girls,2025,2021
--,Integrity 2025 Blue,--,,girls,2025,2021
--,Integrity 2025 Green,--,,girls,2025,2021
--,Iron Horse 2025,--,,girls,2025,2021
--,Jersey Shore Select 2025,--,,girls,2025,2021
--,Jersey Thunder Bolt 2025,--,,girls,2025,2021
--,LA Fire Lacrosse 2025,--,,girls,2025,2021
--,Lady Blue Crabs 2025 Red,--,,girls,2025,2021
--,Lady Blue Crabs 25 Black,--,,girls,2025,2021
--,LBC 2025,--,,girls,2025,2021
--,Lakeshore 2025,--,,girls,2025,2021
--,Lakeside Lacrosse Alpine 2025,--,,girls,2025,2021
--,Lax Maniax 2025 Black,--,,girls,2025,2021
--,Lax Maniax 2025 White,--,,girls,2025,2021
--,Lax On Elite 2025,--,,girls,2025,2021
--,Laxachusetts 2025 Green,--,,girls,2025,2021
--,Charlotte Style 2025 Black,--,,girls,2025,2021
--,LAXUHR 2025,--,,girls,2025,2021
--,LI Jesters 2025 Black,--,,girls,2025,2021
--,LI Jesters 2025 White,--,,girls,2025,2021
--,LI Legacy 2025 Blue,--,,girls,2025,2021
--,LI Legacy 2025 Teal,--,,girls,2025,2021
--,LI Liberty 2025 Black,--,,girls,2025,2021
--,LI Top Guns 2025 Black,--,,girls,2025,2021
--,LI Top Guns 2025 Purple,--,,girls,2025,2021
--,Limitless Elite 2025,--,,girls,2025,2021
--,Lucky Lax 2025,--,,girls,2025,2021
--,M&D 2025 Black,--,,girls,2025,2021
--,M&D 2025 Red,--,,girls,2025,2021
--,M&D Orlando 2025 Black,--,,girls,2025,2021
--,Mass Elite 2025 Red,--,,girls,2025,2021
--,Mass Elite 2025 White,--,,girls,2025,2021
--,MC Elite 2025 Midnight,--,,girls,2025,2021
--,MD United 2025 East,--,,girls,2025,2021
--,MD United 2025 West,--,,girls,2025,2021
--,Metro 2025 Blue,--,,girls,2025,2021
--,Mid Penn Blaze 25-26,--,,girls,2025,2021
--,Monster Elite 2025 Orange,--,,girls,2025,2021
--,Monster Elite 2025 Purple,--,,girls,2025,2021
--,Monster Elite 2025 White,--,,girls,2025,2021
