rank,club,rating,link,gender,class,season
--,214LAX 2025 Volt,--,,girls,2025,2024
--,214Lax Dallas 2025,--,,girls,2025,2024
--,315 Elite 2025,--,,girls,2025,2024
--,3D Colorado 2025 AA,--,,girls,2025,2024
--,Common Goal 2025,--,,girls,2025,2024
--,3d Garden State 2025/2026,--,,girls,2025,2024
--,3D Maryland 2025 Baltimore,--,,girls,2025,2024
--,3D Maryland 2025 Frederick,--,,girls,2025,2024
--,3D New England 2025,--,,girls,2025,2024
--,3d New England 2025/2026,--,,girls,2025,2024
--,3D VA Metro 25 Orange,--,,girls,2025,2024
--,3D Virginia 2025,--,,girls,2025,2024
--,3 Point 2025/2026 Blue,--,,girls,2025,2024
--,3 Point 2025/2026 White,--,,girls,2025,2024
--,518Excelerate 2025,--,,girls,2025,2024
--,Aces Elite 2025,--,,girls,2025,2024
--,Aces 2025 Navy,--,,girls,2025,2024
--,Aces White 2025,--,,girls,2025,2024
--,ADK 2025,--,,girls,2025,2024
--,ADK Peak 2025,--,,girls,2025,2024
--,AFA 2025,--,,girls,2025,2024
--,All Lax Select 2025,--,,girls,2025,2024
--,Aim 2025,--,,girls,2025,2024
--,All American Aim 2025 Stars and Stripes,--,,girls,2025,2024
--,Alliance National 2025,--,,girls,2025,2024
--,Arc 2025,--,,girls,2025,2024
--,Atlanta Storm 2025 Blue,--,,girls,2025,2024
--,Atlanta Storm 2025 Orange,--,,girls,2025,2024
--,Bay Area 2025,--,,girls,2025,2024
--,Bay State Bullets 2025 Silver,--,,girls,2025,2024
--,BBL Elite 2025 Black,--,,girls,2025,2024
--,BBL Elite 2025 Select,--,,girls,2025,2024
--,Belles 2025,--,,girls,2025,2024
--,Big 4 HHH 2025,--,,girls,2025,2024
--,Black Dog 2025/2026/2027,--,,girls,2025,2024
--,Black Lax 2025,--,,girls,2025,2024
--,Boston LC 2025,--,,girls,2025,2024
--,Capital 2025 Blue,--,,girls,2025,2024
--,Capital 2025 Orange,--,,girls,2025,2024
--,Cav Lax Elite 2025,--,,girls,2025,2024
--,CCLAX 2025,--,,girls,2025,2024
--,CLC 2025 Bold,--,,girls,2025,2024
--,CLC 2025 Force,--,,girls,2025,2024
--,CLC 2025 Pride,--,,girls,2025,2024
--,CLC 2025 Rise,--,,girls,2025,2024
--,CLC 2025/2026 Force,--,,girls,2025,2024
--,Central 2025,--,,girls,2025,2024
--,Central Lacrosse Blue 2025,--,,girls,2025,2024
--,Central PA Fusion 2025,--,,girls,2025,2024
--,Charlotte Style 2025,--,,girls,2025,2024
