rank,club,rating,link,gender,class,season
--,3 Point Lacrosse 2028,--,,girls,2028,2024
--,Aces Navy 2028,--,,girls,2028,2024
--,AIM 2028,--,,girls,2028,2024
--,Atlantic Shore 2028,--,,girls,2028,2024
--,Black Bear 2028/2029,--,,girls,2028,2024
--,Coppermine Black 2028,--,,girls,2028,2024
--,Doylestown Descendants 2028,--,,girls,2028,2024
--,ESLC Pirates 2028,--,,girls,2028,2024
--,Freestyle Lacrosse 2028,--,,girls,2028,2024
--,Grit Austin 2028,--,,girls,2028,2024
--,Hero's 2028 Green,--,,girls,2028,2024
--,Lake Effect Storm Elite 2028,--,,girls,2028,2024
--,Next Level 2028,--,,girls,2028,2024
--,NXT 2028 Black,--,,girls,2028,2024
--,NXT 2028 Volt,--,,girls,2028,2024
--,NXT Air Spark 2028,--,,girls,2028,2024
--,Orange Crush 2028,--,,girls,2028,2024
--,Phantastix 2028 West,--,,girls,2028,2024
--,Philadelphia Freedom 2028 Red,--,,girls,2028,2024
--,Philadelphia Freedom 2028 White,--,,girls,2028,2024
--,PPLC Blue 2028/2029,--,,girls,2028,2024
--,PRIDE 2028 RED LOUDOUN,--,,girls,2028,2024
--,Red Hots 2028,--,,girls,2028,2024
--,Salt City Snipers 2028 Green,--,,girls,2028,2024
--,Salt City Snipers 2028 Pink,--,,girls,2028,2024
--,Sozo 2028 Red,--,,girls,2028,2024
--,Ultimate CC 2028,--,,girls,2028,2024
--,Ultimate LV 2028,--,,girls,2028,2024
--,Ultimate NJ 2028,--,,girls,2028,2024
--,Ultimate PA 2028,--,,girls,2028,2024
--,Xtreme 2028,--,,girls,2028,2024
