rank,club,rating,link,gender,class,season
114,Common Goal 2024,89.32,,girls,2024,2021
115,CT Grizzlies 2024 Yellow,89.32,,girls,2024,2021
116,LI Top Guns 2024 Purple,89.12,,girls,2024,2021
117,Dynasty 2024 Zulu,89.07,,girls,2024,2021
118,Mesa PA 2024 Orange,89.06,,girls,2024,2021
119,MC Elite 2024 Midnight,89.05,,girls,2024,2021
120,Sound 2024,89.05,,girls,2024,2021
121,Dynasty Elite 2024 Bravo,89.04,,girls,2024,2021
122,Ultimate PA 2024 Blue,88.88,,girls,2024,2021
123,Seattle Starz 2024,88.86,,girls,2024,2021
124,FLG 2024,88.72,,girls,2024,2021
125,UPROAR 2024 ELITE,88.72,,girls,2024,2021
126,Queen City Stars Black 2024,88.57,,girls,2024,2021
127,Belles 2024,88.53,,girls,2024,2021
128,Pure Lacrosse 2024,88.46,,girls,2024,2021
129,South Jersey Select 2024 Black,88.43,,girls,2024,2021
130,Major Force Black 2024,88.4,,girls,2024,2021
131,Burning River 2024 Maroon,88.39,,girls,2024,2021
132,Headstrong 2024,88.34,,girls,2024,2021
133,BBL Elite 2024 Select,88.3,,girls,2024,2021
134,Laxachusetts 2024 White,88.3,,girls,2024,2021
135,HGR 2024,88.28,,girls,2024,2021
136,Laxachusettes 2024 Gold,88.25,,girls,2024,2021
137,Lady Blue Crabs 2024,88.22,,girls,2024,2021
138,Gold Coast 2024 Gold,88.18,,girls,2024,2021
139,Metro 2024 Blue,88.18,,girls,2024,2021
140,GSE 2024,88.06,,girls,2024,2021
141,Gold Coast 2024 Silver,88.0,,girls,2024,2021
142,LI Empire 2024 Bengals,88.0,,girls,2024,2021
143,Middlesex Bears 2024,87.97,,girls,2024,2021
144,Philly Blast 2024 Fire,87.9,,girls,2024,2021
145,Metro 2024 Green,87.74,,girls,2024,2021
146,Iron Horse Austin 2024,87.66,,girls,2024,2021
147,DEWLAX 2024 White,87.61,,girls,2024,2021
148,Nor'easter 2024 Power,87.5,,girls,2024,2021
149,Ultimate NJ 2024 Blue,87.42,,girls,2024,2021
150,Triumph 2024,87.35,,girls,2024,2021
151,Uproar 2024,87.26,,girls,2024,2021
152,REV 2024 Blue,87.19,,girls,2024,2021
153,Yellow Jackets North 2024,87.1,,girls,2024,2021
154,Rebels 2024 Black,86.83,,girls,2024,2021
155,All Lax 2024,86.81,,girls,2024,2021
156,T3 Elite Elite 2024,86.8,,girls,2024,2021
157,Team ONE Wildcat 2024,86.77,,girls,2024,2021
158,Lax Plus 2024,86.61,,girls,2024,2021
159,Summit Elite 2024,86.6,,girls,2024,2021
160,Florida Shine Elite 2024,86.56,,girls,2024,2021
161,Minnesota Elite 2024,86.55,,girls,2024,2021
162,Coastal Crush 2024,86.49,,girls,2024,2021
163,NC Fusion 2024,86.4,,girls,2024,2021
164,ADK 2024,86.38,,girls,2024,2021
165,Pride 2024 White,86.33,,girls,2024,2021
166,Platform Academy 2024,86.32,,girls,2024,2021
167,Phantastix 2024 West,86.09,,girls,2024,2021
168,Atlanta Storm 2024 Orange,86.08,,girls,2024,2021
169,Rebels 2024,86.08,,girls,2024,2021
170,Maineiax Black 2024,86.06,,girls,2024,2021
171,Triple Threat Elite 2024,86.0,,girls,2024,2021
172,TLC 2024 White,85.99,,girls,2024,2021
173,Redshirts 2024,85.92,,girls,2024,2021
174,AFA 2024,85.5,,girls,2024,2021
175,Team 91 Tri-State 2024,85.48,,girls,2024,2021
176,Empress 2024,85.47,,girls,2024,2021
177,Mass Elite 2024 White,85.46,,girls,2024,2021
178,Pride Baltimore 2024,85.42,,girls,2024,2021
179,CCLAX 2024,85.3,,girls,2024,2021
180,Indy United 2024,85.27,,girls,2024,2021
181,Philly Blast 2024 Fight,85.16,,girls,2024,2021
182,Georgia Lady Outlaws 2024,85.15,,girls,2024,2021
183,MLXA 2024,84.87,,girls,2024,2021
184,Yellow Jackets North Mid Atlantic 2024,84.78,,girls,2024,2021
185,Monster Elite 2024 Orange,84.63,,girls,2024,2021
186,Jets Black 2024-2025,84.59,,girls,2024,2021
187,True Pittsburg 2024,84.5,,girls,2024,2021
188,3D New England 2024,84.43,,girls,2024,2021
189,UPROAR 2024 SELECT,84.27,,girls,2024,2021
190,ICON 2024,84.23,,girls,2024,2021
191,NXT 2024 Volt,84.14,,girls,2024,2021
192,Next Level 2024,84.05,,girls,2024,2021
193,Lucky Lax 2024,83.99,,girls,2024,2021
194,Pride 2024 Loudon,83.93,,girls,2024,2021
195,Yellow Jackets North 2024 Mager,83.92,,girls,2024,2021
196,Coppermine 2024 Blue,83.91,,girls,2024,2021
197,East Coast Select 2024,83.83,,girls,2024,2021
198,C2 Select 2024 Red,83.75,,girls,2024,2021
199,Bandits 2024 Heegan,83.7,,girls,2024,2021
200,NH Tomahawks 2024 Gold,83.53,,girls,2024,2021
201,Reign 2024,83.49,,girls,2024,2021
202,Jersey Shore Select 2024 White,83.41,,girls,2024,2021
203,ADK Peak 2024,83.38,,girls,2024,2021
204,Team 91 NJ Fearless 2024,83.29,,girls,2024,2021
205,Phantastix 2024 White,83.09,,girls,2024,2021
206,MFL 2024 Blue,82.68,,girls,2024,2021
207,Team Elevate 2024 Red,82.46,,girls,2024,2021
208,NEPA Rattlers 2024,82.29,,girls,2024,2021
209,Dynamite 2024,82.12,,girls,2024,2021
210,Resolute 2024 Red,81.88,,girls,2024,2021
