rank,club,rating,link,gender,class,season
1,3D New England 2024 Red,97.2,,boys,2024,2022
2,True Illinois 2024 Premier AA,97.19,,boys,2024,2022
3,Eclipse 2024 Black,96.62,,boys,2024,2022
4,Baltimore Crabs 2024,96.61,,boys,2024,2022
5,Denver Elite 2024 Silver,96.46,,boys,2024,2022
6,LI Legacy 2024 Taz,96.3,,boys,2024,2022
7,Team 91 Long Island 2024 Wolfpack,96.26,,boys,2024,2022
8,Carolina Miners 2024,96.12,,boys,2024,2022
9,Annapolis Hawks 2024 Green,96.07,,boys,2024,2022
10,LI Express 2024 Schwalje,95.35,,boys,2024,2022
11,Next Level 2024 Blue,95.35,,boys,2024,2022
12,True National 2024 Black,95.15,,boys,2024,2022
13,Brotherly Love 2024 Mueller-Hercules,95.07,,boys,2024,2022
14,Team 91 South 2024,94.86,,boys,2024,2022
15,Thunder National 2024,94.84,,boys,2024,2022
16,Tri-State 2024,94.81,,boys,2024,2022
17,Mad Dog West Elite 2024 Black,94.8,,boys,2024,2022
18,Project Midwest 2024,94.72,,boys,2024,2022
19,Leading Edge 2024,94.69,,boys,2024,2022
20,West Coast Starz 2024 Gold,94.66,,boys,2024,2022
21,Duke's Elite 2024,94.62,,boys,2024,2022
22,Madlax Capital 2024,94.29,,boys,2024,2022
23,Sweetlax Upstate 2024,94.18,,boys,2024,2022
24,Primetime 2024,94.13,,boys,2024,2022
25,Sweetlax 2024 Navy,94.13,,boys,2024,2022
26,Evolve Elite 2024,93.94,,boys,2024,2022
27,Madlax National 2024,93.79,,boys,2024,2022
28,FCA MD 2024 Blue,93.77,,boys,2024,2022
29,Sweetlax FL 2024,93.61,,boys,2024,2022
30,NXT 2024 Mamba,93.59,,boys,2024,2022
31,4Leaf 2024 Army,93.56,,boys,2024,2022
32,BBL Elite 2024 Black,93.46,,boys,2024,2022
33,Team 91 Maryland 2024,93.39,,boys,2024,2022
34,Denver Elite 2024 Blue,93.35,,boys,2024,2022
35,Laxachusetts 2024 Black,93.33,,boys,2024,2022
36,Philadelphia Freedom 2024 Red,93.26,,boys,2024,2022
37,NE Blazers 2024,93.24,,boys,2024,2022
38,Express North 2024 Black,93.06,,boys,2024,2022
39,2Way 2024,92.86,,boys,2024,2022
40,Juiced Cherries 2024,92.85,,boys,2024,2022
41,Orange Crush 2024,92.67,,boys,2024,2022
42,Nation's Best 2024,92.58,,boys,2024,2022
43,DC Express 2024 Black,92.5,,boys,2024,2022
44,Thunder 2024 Blue,92.49,,boys,2024,2022
