rank,club,rating,link,gender,class,season
--,Bay Area 2024,--,,girls,2024,2020
--,Capital 2024 Blue,--,,girls,2024,2020
--,Cardinal 2024,--,,girls,2024,2020
--,Check-Hers 2024 Black,--,,girls,2024,2020
--,Coppermine 2024 Black,--,,girls,2024,2020
--,Coppermine 2024 Blue,--,,girls,2024,2020
--,CT Grizzlies 2024 Navy,--,,girls,2024,2020
--,CT Grizzlies 2024 Yellow,--,,girls,2024,2020
--,Hero's 2024 Green,--,,girls,2024,2020
--,Hero's 2024 White,--,,girls,2024,2020
--,HOCO 2024 Black,--,,girls,2024,2020
--,LI Legacy 2024 Blue,--,,girls,2024,2020
--,Limitless 2024,--,,girls,2024,2020
--,Lucky Lax 2024,--,,girls,2024,2020
--,M&D 2024 Black,--,,girls,2024,2020
--,M&D 2024 Red,--,,girls,2024,2020
--,M&D Orlando 2024 Black,--,,girls,2024,2020
--,MC Elite 2024 Midnight,--,,girls,2024,2020
--,NEMS 2024,--,,girls,2024,2020
--,NH Tomahawks 2024 Purple,--,,girls,2024,2020
--,NXT 2024 Black,--,,girls,2024,2020
--,NXT 2024 Volt,--,,girls,2024,2020
--,Philly Big 5 2024,--,,girls,2024,2020
--,Pittsburgh Premier 2024 Blue,--,,girls,2024,2020
--,Primetime 2024,--,,girls,2024,2020
--,Rattlers 2024-25,--,,girls,2024,2020
--,Rebels 2024 Black,--,,girls,2024,2020
--,Renegades 2024,--,,girls,2024,2020
--,Resolute 2024 Black,--,,girls,2024,2020
--,Richmond Strikers 2024 Black,--,,girls,2024,2020
--,Sky Walkers 2024 Blue,--,,girls,2024,2020
--,Sky Walkers 2024 White,--,,girls,2024,2020
--,TLC 2024 Red,--,,girls,2024,2020
--,TLC 2024 White,--,,girls,2024,2020
--,True National 2024,--,,girls,2024,2020
--,Uproar 2024,--,,girls,2024,2020
