rank,club,rating,link,gender,class,season
--,3D Garden State '25-'26,--,,girls,2026,2022
--,AIM 2026,--,,girls,2026,2022
--,Atlanta Storm 2026 Blue,--,,girls,2026,2022
--,Atlanta Storm 2026 Orange,--,,girls,2026,2022
--,BBL North 2026,--,,girls,2026,2022
--,Belles 2026,--,,girls,2026,2022
--,Big 4 HHH 2026,--,,girls,2026,2022
--,Cav Lax Elite 2026,--,,girls,2026,2022
--,CLC 2026 Pride,--,,girls,2026,2022
--,Check Hers 2026 Black,--,,girls,2026,2022
--,CT Grizzlies 2026 Navy,--,,girls,2026,2022
--,CT Grizzlies 2026 Yellow,--,,girls,2026,2022
--,Dark Horse '25-'26,--,,girls,2026,2022
--,DEWLAX 2026 Black,--,,girls,2026,2022
--,DEWLAX 2026 ORANGE,--,,girls,2026,2022
--,FCA Upstate '25-'26,--,,girls,2026,2022
--,FLG 2026,--,,girls,2026,2022
--,FLG Blue Devils 2026-2027,--,,girls,2026,2022
--,Florida Shine Elite 2026,--,,girls,2026,2022
--,Gold Coast 2026 Silver,--,,girls,2026,2022
--,Hero's 2026 Green,--,,girls,2026,2022
--,Hero's 2026 White,--,,girls,2026,2022
--,HoCo 2026 Black,--,,girls,2026,2022
--,HoCo 2026 Pink,--,,girls,2026,2022
--,Impact '25-'26,--,,girls,2026,2022
--,Impact 2026,--,,girls,2026,2022
--,Jersey Shore Select 2026 Blue,--,,girls,2026,2022
--,Jets Black 2025-2026,--,,girls,2026,2022
--,Lacrosse Monkey 2026,--,,girls,2026,2022
--,Lax on Elite 2026,--,,girls,2026,2022
--,Laxachusetts 2026 Black,--,,girls,2026,2022
--,LI Empire 2026 Green,--,,girls,2026,2022
--,LI Legacy 2026 Blue,--,,girls,2026,2022
--,LI Legacy 2026 White,--,,girls,2026,2022
--,LI Top Guns 2026 Black,--,,girls,2026,2022
--,LI Top Guns 2026 Purple,--,,girls,2026,2022
--,M&D 2026 Black,--,,girls,2026,2022
--,M&D 2026 Red,--,,girls,2026,2022
--,M&D Orlando 2026 Black,--,,girls,2026,2022
--,Mad Dog NJ Shore 2025-2026,--,,girls,2026,2022
--,Mad Dog West Elite 2026,--,,girls,2026,2022
--,Mass Elite 2026 Red,--,,girls,2026,2022
--,Mass Elite 2026 White,--,,girls,2026,2022
--,MC Elite 2026 Carolina,--,,girls,2026,2022
--,MC Elite 2026 Midnight,--,,girls,2026,2022
--,MD United 2026 East,--,,girls,2026,2022
--,Monster Elite 2026 Purple,--,,girls,2026,2022
--,Monster Elite 2026 White,--,,girls,2026,2022
--,NH Tomahawks 2026 Purple,--,,girls,2026,2022
--,NXT 2026 Black,--,,girls,2026,2022
--,NXT 2026 Volt,--,,girls,2026,2022
--,Orange Crush 2026,--,,girls,2026,2022
--,Philly Blast 2026 Spirit,--,,girls,2026,2022
--,PPLC 2026,--,,girls,2026,2022
--,PrimeTime 2026,--,,girls,2026,2022
--,REV 2026 Black,--,,girls,2026,2022
--,REV 2026 Blue,--,,girls,2026,2022
--,REV 2026 White,--,,girls,2026,2022
--,Salt City Snipers 2026,--,,girls,2026,2022
--,Sky Walkers 2026 Blue,--,,girls,2026,2022
--,Sky Walkers 2026 White,--,,girls,2026,2022
--,Snipers Elite 2026,--,,girls,2026,2022
--,South Jersey Select 2026 Black,--,,girls,2026,2022
--,South Jersey Select 2026 Pink,--,,girls,2026,2022
--,STARS 2026 Light Blue,--,,girls,2026,2022
--,Stars 2026 Navy,--,,girls,2026,2022
--,STEPS California 2026,--,,girls,2026,2022
--,STEPS Elite NJ 2026 Blue,--,,girls,2026,2022
--,STEPS Elite NJ 2026 White,--,,girls,2026,2022
--,Team 11 2026,--,,girls,2026,2022
--,Team 180 2026,--,,girls,2026,2022
--,Team 91 Long Island 2026 Orange,--,,girls,2026,2022
--,Team 91 Long Island 2026 White,--,,girls,2026,2022
--,TLC 2026 Red,--,,girls,2026,2022
--,VA Metro 2026,--,,girls,2026,2022
--,Venom 2025-26,--,,girls,2026,2022
--,Virginia One 2026,--,,girls,2026,2022
--,WAVE '25-'26,--,,girls,2026,2022
--,Xtreme 2026,--,,girls,2026,2022
--,YJ South 2026,--,,girls,2026,2022
--,YELLOW JACKETS 2026 Gryz,--,,girls,2026,2022
--,YELLOW JACKETS 2026 Manning,--,,girls,2026,2022
--,YJ 2026 Gryz,--,,girls,2026,2022
--,YJ 2026 Manning,--,,girls,2026,2022
--,YJ 2026 Torre,--,,girls,2026,2022
--,YJ 2026 Voss,--,,girls,2026,2022
--,YJ North 2026 Berger,--,,girls,2026,2022
--,YJ North 2026 McDonough,--,,girls,2026,2022
--,YJ North Mid Atlantic 2026,--,,girls,2026,2022
--,YJ North Rockland 2026,--,,girls,2026,2022
--,YJ North Rockland 2026-2027,--,,girls,2026,2022
