rank,club,rating,link,gender,class,season
--,315 Elite 2027 Green,--,,girls,2027,2024
--,315 Elite 2027 White,--,,girls,2027,2024
--,3d Colorado 2027 AA,--,,girls,2027,2024
--,Common Goal 2027,--,,girls,2027,2024
--,3D Garden State 2027,--,,girls,2027,2024
--,3d Maryland 2027 Black,--,,girls,2027,2024
--,3d Maryland 2027 Gold,--,,girls,2027,2024
--,3d New England 2027,--,,girls,2027,2024
--,3d VA Metro 2027-28 Silver,--,,girls,2027,2024
--,3D VA Metro 27 Navy,--,,girls,2027,2024
--,3D VA Metro 27 Orange,--,,girls,2027,2024
--,3 POINT 2027,--,,girls,2027,2024
--,Aces Elite 2027,--,,girls,2027,2024
--,AFA 2027,--,,girls,2027,2024
--,All Lax Select 2027,--,,girls,2027,2024
--,Aim 2027,--,,girls,2027,2024
--,All American Aim 2027 Stars & Stripes,--,,girls,2027,2024
--,Ambition Elite 2027,--,,girls,2027,2024
--,ATL Storm 2027 Orange,--,,girls,2027,2024
--,Atlanta Storm 2027 Blue,--,,girls,2027,2024
--,Atlantic County Wave 2027,--,,girls,2027,2024
--,Bay State Bullets 2027 Silver,--,,girls,2027,2024
--,BBL 2027 Select,--,,girls,2027,2024
--,BBL Elite 2027 Black,--,,girls,2027,2024
--,BBL 2027 North,--,,girls,2027,2024
--,Belles 2027 Elite Green,--,,girls,2027,2024
--,Belles 2027 Select Black,--,,girls,2027,2024
--,Big 4 HHH 2027,--,,girls,2027,2024
--,BLC 2027 Blue,--,,girls,2027,2024
--,Capital 2027 Blue,--,,girls,2027,2024
--,Capital 2027 Orange,--,,girls,2027,2024
--,Cav Lax Elite 2027,--,,girls,2027,2024
--,CCLax 2027 Black,--,,girls,2027,2024
--,CCLax 2027 Red,--,,girls,2027,2024
--,CLC 2027 Bold,--,,girls,2027,2024
--,CLC 2027 Elite,--,,girls,2027,2024
--,CLC 2027 Rise,--,,girls,2027,2024
--,Charlotte Style 2027,--,,girls,2027,2024
--,Chatham 2027,--,,girls,2027,2024
--,Check-Hers Elite 2027,--,,girls,2027,2024
--,Coastal Lacrosse Academy 2027,--,,girls,2027,2024
--,Coppermine 2027 Black,--,,girls,2027,2024
--,Coppermine 2027 Blue,--,,girls,2027,2024
--,Coppermine 2027 North,--,,girls,2027,2024
--,CT Grizzlies 2027 Navy,--,,girls,2027,2024
--,Dark Horse 2027-28,--,,girls,2027,2024
--,Delco LC 2027,--,,girls,2027,2024
--,DEWLAX 2027 Black,--,,girls,2027,2024
--,Dynamite 2027,--,,girls,2027,2024
--,Dynasty Elite 2027 Foxtrot,--,,girls,2027,2024
--,Eagle Stix 2027 Blue,--,,girls,2027,2024
--,Eagle Stix 2027 Grey,--,,girls,2027,2024
--,ESLC Pirates 2027,--,,girls,2027,2024
--,Empress 2027,--,,girls,2027,2024
--,Evolve 2027,--,,girls,2027,2024
--,FCA 2027 Blue,--,,girls,2027,2024
--,FCA Upstate 2027,--,,girls,2027,2024
--,Florida Select 2027,--,,girls,2027,2024
--,Frenzy LC National 2026-27,--,,girls,2027,2024
--,Fusion Canada West 2027,--,,girls,2027,2024
--,GSE 2027,--,,girls,2027,2024
--,Gold Coast 2027,--,,girls,2027,2024
--,Gold Coast 2027 Black,--,,girls,2027,2024
--,Gold Coast 2027 White,--,,girls,2027,2024
--,Granite State Elite 2027,--,,girls,2027,2024
--,GRIT Austin 2027,--,,girls,2027,2024
--,GRIT Dallas 2027,--,,girls,2027,2024
--,Headstrong PA 2027,--,,girls,2027,2024
--,Hero's 2027 Green,--,,girls,2027,2024
--,Hero's 2027 White,--,,girls,2027,2024
--,HoCo 2027 Black,--,,girls,2027,2024
--,Hurricanes 2027/2028 Green,--,,girls,2027,2024
