rank,club,rating,link,gender,class,season
1,Team 91 Long Island 2024 Wolfpack,99.9,,boys,2024,2021
2,Next Level 2024 Blue,99.56,,boys,2024,2021
3,Mad Dog National 2024,99.54,,boys,2024,2021
4,LI Legacy 2024 Taz,99.35,,boys,2024,2021
5,True Illinois 2024 Premier,99.13,,boys,2024,2021
6,Mad Dog West Elite 2024 Black,99.08,,boys,2024,2021
7,Madlax National 2024,99.08,,boys,2024,2021
8,Thunder National 2024,98.67,,boys,2024,2021
9,LI Express 2024 Schwalje,98.57,,boys,2024,2021
10,LI Legacy 2024,98.56,,boys,2024,2021
11,Laxachusetts 2024 Black,98.48,,boys,2024,2021
12,Brotherly Love 2024 Apollo,98.34,,boys,2024,2021
13,West Coast Starz 2024,98.22,,boys,2024,2021
14,True Illinois 2024,98.19,,boys,2024,2021
15,Denver Elite 2024 Silver,98.16,,boys,2024,2021
16,Carolina Miners 2024,98.14,,boys,2024,2021
17,Sweetlax National 2024,98.01,,boys,2024,2021
18,Frog 2024,97.92,,boys,2024,2021
19,Baltimore Crabs 2024,97.85,,boys,2024,2021
20,True National 2024 Black,97.76,,boys,2024,2021
21,Looney's 2024 Old Bay,97.58,,boys,2024,2021
22,Eclipse 2024 Orange AA,97.57,,boys,2024,2021
23,BBL Elite 2024,97.51,,boys,2024,2021
24,Annapolis Hawks 2024 Green,97.27,,boys,2024,2021
25,Thunder 2024 Blue,97.25,,boys,2024,2021
26,Team 91 Maryland 2024,97.22,,boys,2024,2021
27,Madlax Capital 2024,97.08,,boys,2024,2021
28,Duke's Elite 2024,96.73,,boys,2024,2021
29,2Way 2024,96.71,,boys,2024,2021
30,Mad Dog NJ 2024,96.68,,boys,2024,2021
31,Team 91 National 2024,96.62,,boys,2024,2021
32,Primetime 2024,96.57,,boys,2024,2021
33,Nationals Lacrosse Club 2024,96.51,,boys,2024,2021
34,Project Midwest 2024,96.41,,boys,2024,2021
35,Grizzly 2024,96.4,,boys,2024,2021
36,Team 91 South 2024,96.19,,boys,2024,2021
37,DC Express 2024 Black,96.0,,boys,2024,2021
38,True MN 2024 AAA,95.95,,boys,2024,2021
39,Classics 2023-2024,95.92,,boys,2024,2021
40,Express North 2024 Schrieber,95.89,,boys,2024,2021
41,4Leaf 2024 Army,95.78,,boys,2024,2021
42,True National 2024 Green,95.72,,boys,2024,2021
43,True Blue 2024 Goats,95.7,,boys,2024,2021
44,Colorado Scorpions 2024,95.65,,boys,2024,2021
45,Gaffer Elite 2024-2025,95.55,,boys,2024,2021
46,Tri-State 2024,95.46,,boys,2024,2021
47,Resolute 2024 Black,95.38,,boys,2024,2021
48,Team UNRL Texas 2024,95.34,,boys,2024,2021
49,NXT 2024 Black,95.17,,boys,2024,2021
50,Texas Oilers 2024,95.06,,boys,2024,2021
51,Patriot Elite 2024,94.95,,boys,2024,2021
52,3D Gulf Coast 2024,94.84,,boys,2024,2021
53,Team Maryland Freshman Select,94.8,,boys,2024,2021
54,Leading Edge 2024,94.79,,boys,2024,2021
55,Team MN 2024,94.79,,boys,2024,2021
56,Sweetlax NY 2024,94.55,,boys,2024,2021
57,Sweetlax FL 2024,94.5,,boys,2024,2021
58,VLC 2024,94.39,,boys,2024,2021
59,ADVNC National 2024,94.3,,boys,2024,2021
60,Philadelphia Freedom 2024 Red,94.27,,boys,2024,2021
61,LI Legacy 2024 Launch,94.26,,boys,2024,2021
62,Big 4 HHH 2024,94.23,,boys,2024,2021
63,Madlax Oregon 2024,94.19,,boys,2024,2021
64,NXT 2024 Mamba,94.19,,boys,2024,2021
65,HEADstrong Quakers 2024,94.18,,boys,2024,2021
66,Prostart 2024,94.18,,boys,2024,2021
67,Juiced Cherries 2024,94.15,,boys,2024,2021
68,DC Express 2024,94.08,,boys,2024,2021
69,Team Slainte 2024,94.08,,boys,2024,2021
70,Patriot Elite 2024 Gold,94.07,,boys,2024,2021
71,UNRL 2024,94.07,,boys,2024,2021
72,Team 91 Georgia 2024,94.05,,boys,2024,2021
73,True Florida 2024,94.03,,boys,2024,2021
74,California Gold 2024,94.02,,boys,2024,2021
75,Rebels LC 2024 Surge,93.93,,boys,2024,2021
76,Southern Stars 2024,93.87,,boys,2024,2021
77,Alcatraz Outlaws 2024,93.81,,boys,2024,2021
78,Dukes Mainline 2024-25,93.8,,boys,2024,2021
79,Patriot Elite 2024 Chrome,93.72,,boys,2024,2021
80,Rising Sons 2024,93.68,,boys,2024,2021
81,3D NE South 2024,93.67,,boys,2024,2021
82,Express North 2024,93.64,,boys,2024,2021
83,Team 91 Colorado 2024 Red,93.59,,boys,2024,2021
84,FCA MD 2024 Blue,93.58,,boys,2024,2021
85,L4 Select 2024,93.49,,boys,2024,2021
86,Mesa PA 2024,93.47,,boys,2024,2021
87,Madlax DMV 2024,93.46,,boys,2024,2021
88,Predators 2024,93.45,,boys,2024,2021
89,Legends 2024,93.4,,boys,2024,2021
90,Tri-State 2024 Gold,93.37,,boys,2024,2021
91,Sweetlax FL 2024 Krackens,93.35,,boys,2024,2021
92,Team 91 Carolina 2024,93.25,,boys,2024,2021
93,New England Twisters 2024Blue,93.18,,boys,2024,2021
94,3D New England 2024 Red,93.16,,boys,2024,2021
95,Annapolis Hawks 2024 Black,93.1,,boys,2024,2021
96,True Michigan 2024,93.05,,boys,2024,2021
97,Blue Star 2024 White,92.98,,boys,2024,2021
98,3D Colorado 2024 AA Red,92.97,,boys,2024,2021
99,2Way North 2024,92.93,,boys,2024,2021
100,Laxachusetts 2024 Navy,92.89,,boys,2024,2021
101,United 2024,92.88,,boys,2024,2021
102,Koopers 2024,92.87,,boys,2024,2021
103,FLC 2024 Fallston Lacrosse Club,92.82,,boys,2024,2021
104,Thunder 2024 Orange,92.78,,boys,2024,2021
105,Team MN 2024,92.75,,boys,2024,2021
106,Iron Horse Team Texas 2024,92.67,,boys,2024,2021
107,Blak Widow 2024,92.63,,boys,2024,2021
108,True Utah 2024,92.51,,boys,2024,2021
109,CW Elite 2024,92.46,,boys,2024,2021
110,Sidewinders 2024 Black,92.42,,boys,2024,2021
111,3D Upstate 2024 Blue,92.39,,boys,2024,2021
112,Arizona Outlaws 2024,92.37,,boys,2024,2021
113,Gorilla 2024 Silver,92.34,,boys,2024,2021
114,Igloo 2024 Windchill,92.3,,boys,2024,2021
115,Seattle Starz 2024,92.29,,boys,2024,2021
116,Shore2Shore 2024,92.29,,boys,2024,2021
117,Express North 2024 Brameier,92.28,,boys,2024,2021
118,NH Tomahawks 2024 Purple,92.27,,boys,2024,2021
119,Orange Crush 2024,92.27,,boys,2024,2021
120,Clams 2024,92.23,,boys,2024,2021
121,Jersey Thunder 2024,92.2,,boys,2024,2021
122,True MN 2024 AA,92.17,,boys,2024,2021
123,SouthStar 2024,92.16,,boys,2024,2021
124,Patriot Elite 2024 Navy,92.14,,boys,2024,2021
125,Saltwater 2024,92.06,,boys,2024,2021
126,Blackwolf 2024,92.01,,boys,2024,2021
127,Harvest 2024,92.01,,boys,2024,2021
128,Laxachusetts 2024 Yellow,92.01,,boys,2024,2021
129,RIchmond Hawks 2024 Peck,92.0,,boys,2024,2021
130,CitySide 2024,91.95,,boys,2024,2021
131,LI Express 2024 O'Reilly Orange,91.95,,boys,2024,2021
132,Team 11 2024,91.94,,boys,2024,2021
133,Fighting Clams 2024,91.8,,boys,2024,2021
134,True MTN West 2024,91.8,,boys,2024,2021
135,Express North 2024 Lawrence,91.75,,boys,2024,2021
136,Team 91 Charlotte 2024 Blue,91.71,,boys,2024,2021
137,Igloo 2024 Frostbite,91.69,,boys,2024,2021
138,ICON 2024,91.67,,boys,2024,2021
139,302 Elite 2024,91.62,,boys,2024,2021
140,UL MAX (PA) 2024,91.55,,boys,2024,2021
141,True New Jersey 2024,91.53,,boys,2024,2021
142,Patriot Stars 2024,91.51,,boys,2024,2021
143,Georgia Tigers 2024,91.48,,boys,2024,2021
144,SouthShore 2024,91.44,,boys,2024,2021
145,Burning River 2024,91.36,,boys,2024,2021
146,3D Georgia 2024 AA,91.3,,boys,2024,2021
147,Fusion 2024,91.3,,boys,2024,2021
148,Rising Sons 2024 White,91.26,,boys,2024,2021
149,True Illinois 2024 Black,91.13,,boys,2024,2021
150,Blue Star 2024 Blue,91.12,,boys,2024,2021
151,Coyotes 2024 Blue,91.07,,boys,2024,2021
152,4 Leaf NH Navy Orange 2024 A,90.87,,boys,2024,2021
153,Team 91 Tri-State 2024 Select,90.85,,boys,2024,2021
154,Sixers 2024,90.8,,boys,2024,2021
155,Headstrong Lehigh Valley 2024,90.8,,boys,2024,2021
156,Charleston Elite 2024,90.78,,boys,2024,2021
157,Richmond Hawks 2024 Shriver,90.78,,boys,2024,2021
158,NJ Riot 2024 Chaos,90.67,,boys,2024,2021
159,Iron Horse Austin 2024,90.66,,boys,2024,2021
160,Laxachusetts 2024 Green,90.66,,boys,2024,2021
161,EMass Hawks 2024,90.65,,boys,2024,2021
162,ADVNC San Francisco 2024,90.63,,boys,2024,2021
163,Piatelli Central 2024 Graham,90.62,,boys,2024,2021
164,SoCal Bulls 2024,90.59,,boys,2024,2021
165,Team Illinois 2024,90.53,,boys,2024,2021
166,Northside Hustle 2024,90.36,,boys,2024,2021
167,Looney's 2024 Green,90.27,,boys,2024,2021
168,HOCO 2024 Pink,90.16,,boys,2024,2021
169,Team CT 2024 Navy,90.16,,boys,2024,2021
170,HOCO 2024,90.13,,boys,2024,2021
171,NJLC 2024,90.1,,boys,2024,2021
172,Kings 2024 Blue,90.08,,boys,2024,2021
173,Alpha 2024 Premiere,90.03,,boys,2024,2021
