champ_%_rank,team,pr,sos-pr,qwf-pr,champ_%,rpi,sos-rpi,qwf-rpi,selection,gender,division
1,Harford ( 9 - 0 ),1,3,1,36 . 0 %,1,6,1,8,boys,
2,Nassau ( 6 - 0 ),2,10,3,24 . 50 %,4,10,3,17,boys,
3,Onondaga ( 7 - 2 ),4,7,4,14 . 50 %,3,5,4,12,boys,
4,Essex ( 7 - 2 ),3,4,2,14 . 0 %,2,3,2,7,boys,
5,Genesee ( 6 - 3 ),5,6,5,6 . 0 %,5,7,5,17,boys,
6,DuPage ( 2 - 2 ),7,2,9,1 . 50 %,7,2,9,18,boys,
7,Howard (MD) ( 2 - 6 ),6,1,10,1 . 50 %,6,1,11,18,boys,
8,Anne Arundel ( 4 - 6 ),8,5,7,0 . 0 %,8,9,7,24,boys,
9,Herkimer ( 5 - 6 ),9,12,8,0 . 0 %,9,13,8,30,boys,
10,Tompkins-Cortland ( 1 - 5 ),16,15,14,0 . 0 %,16,14,14,44,boys,
11,Delaware Tech ( 3 - 7 ),10,9,11,0 . 0 %,10,8,10,28,boys,
12,Hudson Valley ( 6 - 3 ),11,16,6,0 . 0 %,11,15,6,32,boys,
13,Mercer County ( 0 - 9 ),13,8,16,0 . 0 %,13,4,15,32,boys,
14,Mohawk Valley ( 1 - 7 ),15,13,15,0 . 0 %,14,12,16,42,boys,
15,Monroe ( 2 - 4 ),12,14,12,0 . 0 %,15,16,12,43,boys,
16,Sussex County ( 1 - 6 ),14,11,13,0 . 0 %,12,11,13,36,boys,
