champ_%_rank,team,pr,sos-pr,qwf-pr,champ_%,rpi,sos-rpi,qwf-rpi,selection,gender,division
1,Tufts ( 17 - 3 ),2,6,2,16 . 50 %,4,5,4,13,boys,D3
2,RIT ( 21 - 2 ),1,7,1,13 . 50 %,1,3,1,5,boys,D3
3,Bowdoin ( 14 - 6 ),4,4,5,9 . 50 %,10,10,17,37,boys,D3
4,Salisbury ( 21 - 1 ),3,27,4,9 . 0 %,2,16,2,20,boys,D3
5,St Lawrence ( 15 - 4 ),5,13,11,8 . 50 %,5,14,9,28,boys,D3
6,Wesleyan ( 15 - 4 ),7,9,6,7 . 50 %,15,38,14,67,boys,D3
7,Middlebury ( 12 - 9 ),8,1,13,5 . 50 %,20,7,32,59,boys,D3
8,RPI ( 17 - 3 ),6,8,3,4 . 0 %,6,9,3,18,boys,D3
9,Amherst ( 10 - 6 ),10,3,16,2 . 50 %,28,27,30,85,boys,D3
10,Union ( 12 - 6 ),12,5,15,2 . 50 %,8,4,16,28,boys,D3
11,Williams ( 9 - 7 ),17,2,17,2 . 50 %,33,18,31,82,boys,D3
12,Christopher Newport ( 16 - 6 ),9,11,10,2 . 0 %,3,1,5,9,boys,D3
13,Dickinson ( 17 - 3 ),16,17,12,2 . 0 %,7,29,10,46,boys,D3
14,St John Fisher ( 14 - 8 ),25,38,36,1 . 50 %,34,11,37,82,boys,D3
15,Swarthmore ( 15 - 3 ),14,26,14,1 . 50 %,13,46,11,70,boys,D3
16,Washington & Lee ( 16 - 6 ),15,37,19,1 . 50 %,9,2,12,23,boys,D3
17,Geneseo ( 13 - 7 ),32,36,32,0 . 0 %,26,28,35,89,boys,D3
18,Grove City ( 15 - 5 ),31,85,18,0 . 0 %,19,15,13,47,boys,D3
19,Hamilton ( 9 - 7 ),20,10,22,0 . 0 %,51,30,50,131,boys,D3
20,Lynchburg ( 16 - 6 ),11,35,23,0 . 0 %,11,17,18,46,boys,D3
21,Stevens ( 18 - 3 ),18,52,9,0 . 0 %,18,35,6,59,boys,D3
22,Babson ( 16 - 4 ),13,31,7,0 . 0 %,21,25,8,54,boys,D3
23,Cortland ( 11 - 5 ),26,40,43,0 . 0 %,29,51,43,123,boys,D3
24,Endicott ( 16 - 2 ),19,47,8,0 . 0 %,16,36,7,59,boys,D3
25,Gettysburg ( 10 - 8 ),22,12,58,0 . 0 %,30,8,46,84,boys,D3
26,Muhlenberg ( 10 - 8 ),28,19,86,0 . 0 %,36,21,72,129,boys,D3
27,Randolph-Macon ( 16 - 5 ),30,64,28,0 . 0 %,45,56,22,123,boys,D3
28,Roanoke ( 15 - 6 ),24,50,33,0 . 0 %,25,12,29,66,boys,D3
29,Stevenson ( 14 - 7 ),23,32,31,0 . 0 %,27,19,19,65,boys,D3
30,Trinity ( 9 - 7 ),27,14,34,0 . 0 %,56,53,75,184,boys,D3
31,York ( 10 - 8 ),21,28,55,0 . 0 %,37,6,39,82,boys,D3
32,Adrian ( 8 - 8 ),119,108,132,0 . 0 %,98,144,132,374,boys,D3
33,Albertus Magnus ( 3 - 12 ),208,217,223,0 . 0 %,224,187,224,635,boys,D3
34,Albion ( 8 - 11 ),107,78,192,0 . 0 %,74,41,169,284,boys,D3
35,Albright ( 6 - 10 ),148,123,178,0 . 0 %,187,184,177,548,boys,D3
36,Alfred ( 10 - 5 ),87,87,65,0 . 0 %,69,125,66,260,boys,D3
37,Alfred State ( 0 - 0 ),0,0,0,0 . 0 %,0,0,0,0,boys,D3
38,Allegheny ( 10 - 7 ),122,141,98,0 . 0 %,97,104,93,294,boys,D3
39,Alma ( 1 - 13 ),200,158,179,0 . 0 %,194,221,178,593,boys,D3
40,Alvernia ( 4 - 12 ),171,140,219,0 . 0 %,206,192,220,618,boys,D3
41,Anderson (IN) ( 6 - 10 ),226,236,180,0 . 0 %,222,230,179,631,boys,D3
42,Anna Maria ( 2 - 14 ),204,182,239,0 . 0 %,220,183,239,642,boys,D3
43,Arcadia ( 10 - 8 ),73,71,106,0 . 0 %,103,96,104,303,boys,D3
44,Augustana ( 4 - 10 ),193,153,170,0 . 0 %,154,168,156,478,boys,D3
45,Aurora ( 14 - 6 ),115,155,70,0 . 0 %,57,43,51,151,boys,D3
46,Averett ( 3 - 15 ),231,160,230,0 . 0 %,207,228,229,664,boys,D3
47,Baldwin Wallace ( 10 - 7 ),97,119,99,0 . 0 %,76,83,94,253,boys,D3
