champ_%_rank,team,pr,sos-pr,qwf-pr,champ_%,rpi,sos-rpi,qwf-rpi,selection,gender,division
1,Northwestern ( 12 - 2 ),1,3,1,18 . 0 %,2,5,1,8,girls,D1
2,Syracuse ( 12 - 3 ),2,1,3,11 . 50 %,3,2,5,10,girls,D1
3,Boston College ( 12 - 3 ),4,13,8,9 . 50 %,12,8,8,28,girls,D1
4,Notre Dame ( 13 - 2 ),6,18,2,8 . 0 %,8,14,3,25,girls,D1
5,Michigan ( 14 - 1 ),7,21,6,5 . 0 %,4,22,2,28,girls,D1
6,Maryland ( 11 - 4 ),11,2,12,4 . 50 %,5,1,10,16,girls,D1
7,Yale ( 11 - 1 ),3,14,4,4 . 50 %,1,10,6,17,girls,D1
8,Loyola (MD) ( 13 - 1 ),5,23,5,4 . 0 %,10,24,4,38,girls,D1
9,Virginia ( 12 - 3 ),8,6,7,4 . 0 %,6,4,11,21,girls,D1
10,Johns Hopkins ( 10 - 5 ),17,4,16,3 . 0 %,9,3,16,28,girls,D1
11,Stony Brook ( 13 - 2 ),10,28,11,3 . 0 %,14,31,12,57,girls,D1
12,Brown ( 9 - 4 ),22,32,29,2 . 50 %,20,26,33,79,girls,D1
13,Denver ( 11 - 3 ),12,12,10,2 . 50 %,16,18,9,43,girls,D1
14,Florida ( 13 - 2 ),14,37,9,2 . 50 %,18,27,7,52,girls,D1
15,Princeton ( 8 - 4 ),16,5,18,2 . 50 %,13,12,17,42,girls,D1
16,Navy ( 11 - 3 ),19,45,23,2 . 0 %,25,46,28,99,girls,D1
17,Stanford ( 9 - 3 ),9,16,19,2 . 0 %,11,17,20,48,girls,D1
18,Cornell ( 7 - 6 ),33,22,48,1 . 50 %,38,48,42,128,girls,D1
19,Harvard ( 8 - 3 ),18,33,27,1 . 50 %,28,64,24,116,girls,D1
20,North Carolina ( 9 - 5 ),15,7,17,1 . 50 %,17,6,19,42,girls,D1
21,Penn ( 9 - 3 ),13,9,14,1 . 50 %,7,9,13,29,girls,D1
22,Southern California ( 10 - 4 ),25,26,33,1 . 50 %,22,36,29,87,girls,D1
23,Fairfield ( 13 - 1 ),28,69,13,0 . 0 %,15,42,14,71,girls,D1
24,Richmond ( 12 - 2 ),32,71,15,0 . 0 %,31,80,15,126,girls,D1
25,Clemson ( 9 - 6 ),21,20,35,0 . 0 %,26,20,38,84,girls,D1
26,Duke ( 10 - 6 ),31,19,31,0 . 0 %,32,11,34,77,girls,D1
27,Virginia Tech ( 9 - 7 ),37,29,51,0 . 0 %,39,28,61,128,girls,D1
28,Akron ( 6 - 8 ),117,120,92,0 . 0 %,110,116,91,317,girls,D1
29,Albany ( 4 - 9 ),45,11,80,0 . 0 %,43,13,75,131,girls,D1
30,American ( 6 - 8 ),86,80,87,0 . 0 %,74,61,88,223,girls,D1
31,Arizona State ( 7 - 8 ),40,35,67,0 . 0 %,50,16,71,137,girls,D1
32,Army ( 6 - 7 ),34,24,59,0 . 0 %,41,25,65,131,girls,D1
33,Austin Peay ( 0 - 0 ),0,0,0,0 . 0 %,0,0,0,0,girls,D1
34,Binghamton ( 8 - 6 ),59,73,69,0 . 0 %,59,66,68,193,girls,D1
