champ_%_rank,team,pr,sos-pr,qwf-pr,champ_%,rpi,sos-rpi,qwf-rpi,selection,gender,division
1,Notre Dame ( 15 - 1 ),1,3,1,25 . 0 %,1,1,1,3,boys,D1
2,Duke ( 13 - 6 ),2,5,6,11 . 50 %,2,2,4,8,boys,D1
3,Virginia ( 12 - 6 ),3,4,5,8 . 0 %,4,3,5,12,boys,D1
4,Maryland ( 11 - 5 ),6,1,2,6 . 50 %,3,4,2,9,boys,D1
5,Johns Hopkins ( 11 - 5 ),7,2,4,5 . 0 %,5,7,6,18,boys,D1
6,Princeton ( 11 - 5 ),8,14,13,5 . 0 %,10,10,11,31,boys,D1
7,Penn State ( 11 - 5 ),5,9,9,4 . 50 %,9,16,10,35,boys,D1
8,Georgetown ( 13 - 4 ),9,15,7,4 . 0 %,8,6,7,21,boys,D1
9,Cornell ( 9 - 5 ),11,8,11,3 . 50 %,11,13,12,36,boys,D1
10,North Carolina ( 7 - 7 ),16,19,20,3 . 50 %,23,14,21,58,boys,D1
11,Syracuse ( 12 - 6 ),4,6,8,3 . 50 %,6,5,8,19,boys,D1
12,Army West Point ( 11 - 3 ),14,29,16,3 . 0 %,16,41,16,73,boys,D1
13,Towson ( 13 - 4 ),15,37,14,3 . 0 %,17,24,13,54,boys,D1
14,Yale ( 11 - 4 ),12,18,10,2 . 0 %,13,19,9,41,boys,D1
15,Denver ( 13 - 4 ),10,11,3,1 . 50 %,7,8,3,18,boys,D1
16,Michigan ( 10 - 7 ),13,10,12,1 . 50 %,14,9,15,38,boys,D1
17,Harvard ( 8 - 5 ),24,21,19,0 . 0 %,20,36,19,75,boys,D1
18,Lehigh ( 10 - 7 ),28,24,32,0 . 0 %,22,32,30,84,boys,D1
19,Ohio State ( 6 - 9 ),19,12,27,0 . 0 %,21,12,27,60,boys,D1
20,Penn ( 9 - 6 ),17,7,17,0 . 0 %,12,11,17,40,boys,D1
21,Richmond ( 10 - 6 ),21,30,21,0 . 0 %,24,27,18,69,boys,D1
22,Villanova ( 9 - 7 ),20,20,25,0 . 0 %,19,15,24,58,boys,D1
23,Boston University ( 10 - 7 ),22,23,30,0 . 0 %,18,17,33,68,boys,D1
24,Colgate ( 8 - 7 ),23,22,31,0 . 0 %,27,26,32,85,boys,D1
25,Delaware ( 9 - 5 ),25,39,22,0 . 0 %,30,40,22,92,boys,D1
26,Loyola (MD) ( 7 - 8 ),26,17,36,0 . 0 %,26,18,35,79,boys,D1
27,Rutgers ( 7 - 7 ),27,16,24,0 . 0 %,28,22,25,75,boys,D1
28,Utah ( 12 - 5 ),31,50,18,0 . 0 %,25,25,20,70,boys,D1
