index,Team,Record,RPI,Projections,1st,2nd,3rd,SOS,vs 1-5,vs 6-10,vs 11-20,vs 21+
1,Yale,11-1,0.6873,,0.9167,0.6302,0.5722,15,0 - 0,1 - 0,3 - 1,7 - 0
2,Northwestern,12-2,0.6845,,0.8571,0.6353,0.6103,3,2 - 0,1 - 1,3 - 0,6 - 1
3,Syracuse,12-3,0.6844,,0.8000,0.6681,0.6012,4,0 - 2,3 - 0,1 - 1,8 - 0
4,Michigan,14-1,0.6770,,0.9333,0.6044,0.5660,19,0 - 1,2 - 0,1 - 0,11 - 0
5,Maryland,11-4,0.6756,,0.7333,0.6836,0.6017,1,2 - 1,1 - 1,2 - 1,6 - 1
6,Virginia,12-3,0.6680,,0.8000,0.6411,0.5897,6,0 - 1,1 - 0,4 - 1,7 - 1
7,Penn,9-3,0.6626,,0.7500,0.6553,0.5900,11,1 - 2,1 - 0,0 - 1,7 - 0
8,Johns Hopkins,10-5,0.6620,,0.6667,0.6957,0.5898,2,0 - 3,0 - 2,2 - 0,8 - 0
9,Notre Dame,13-2,0.6601,,0.8667,0.6030,0.5678,9,1 - 1,0 - 1,3 - 0,9 - 0
10,Loyola,13-1,0.6591,,0.9286,0.5671,0.5739,25,0 - 1,1 - 0,2 - 0,10 - 0
11,Stanford,9-3,0.6541,,0.7500,0.6547,0.5570,26,0 - 1,0 - 1,0 - 1,9 - 0
12,Boston College,12-3,0.6461,,0.8000,0.6007,0.5830,9,1 - 1,0 - 2,1 - 0,10 - 0
13,Princeton,8-4,0.6401,,0.6667,0.6545,0.5845,13,0 - 1,1 - 2,1 - 1,6 - 0
14,Fairfield,13-1,0.6387,,0.9286,0.5562,0.5137,57,0 - 0,0 - 0,0 - 0,13 - 1
15,Stony Brook,13-2,0.6386,,0.8667,0.5638,0.5602,27,1 - 0,0 - 1,0 - 1,12 - 0
16,Denver,11-3,0.6351,,0.7857,0.5907,0.5731,22,0 - 3,0 - 0,2 - 0,9 - 0
17,James Madison,10-4,0.6331,,0.7143,0.6255,0.5672,18,0 - 1,0 - 2,1 - 1,9 - 0
18,North Carolina,9-5,0.6287,,0.6429,0.6464,0.5792,7,0 - 2,1 - 1,1 - 2,7 - 0
19,Florida,13-2,0.6283,,0.8667,0.5431,0.5604,36,1 - 0,0 - 1,2 - 1,10 - 0
20,Brown,9-4,0.6131,,0.6923,0.6062,0.5475,32,0 - 1,0 - 1,0 - 1,9 - 1
21,Drexel,10-4,0.6088,,0.7143,0.5918,0.5373,29,0 - 1,0 - 1,0 - 2,10 - 0
22,USC,10-4,0.6086,,0.7143,0.5854,0.5494,34,0 - 1,0 - 1,0 - 1,10 - 1
23,Penn State,8-6,0.6073,,0.5714,0.6455,0.5670,12,2 - 1,0 - 1,0 - 1,6 - 3
24,Holy Cross,10-3,0.5995,,0.7692,0.5571,0.5144,61,0 - 0,0 - 0,1 - 1,9 - 2
25,Clemson,9-6,0.5980,,0.6000,0.6207,0.5506,19,0 - 1,0 - 2,0 - 2,9 - 1
26,Navy,11-3,0.5967,,0.7857,0.5283,0.5447,47,0 - 0,0 - 1,0 - 0,11 - 2
27,Colorado,10-4,0.5927,,0.7143,0.5463,0.5639,30,0 - 2,0 - 0,0 - 2,10 - 0
28,Harvard,8-3,0.5916,,0.7273,0.5440,0.5511,50,0 - 1,0 - 1,1 - 0,7 - 1
29,Temple,9-4,0.5841,,0.6923,0.5529,0.5383,46,0 - 1,0 - 1,0 - 1,9 - 1
30,UMass,9-4,0.5834,,0.6923,0.5732,0.4950,65,0 - 0,0 - 0,0 - 2,9 - 2
31,Duke,10-6,0.5795,,0.6250,0.5638,0.5651,8,0 - 1,1 - 2,0 - 1,9 - 2
32,Dartmouth,7-5,0.5773,,0.5833,0.5872,0.5517,41,0 - 1,0 - 0,0 - 2,7 - 2
33,Rutgers,6-8,0.5757,,0.4286,0.6484,0.5775,5,0 - 4,0 - 1,0 - 2,6 - 1
34,Niagara,12-3,0.5709,,0.8000,0.4907,0.5020,77,0 - 0,0 - 0,0 - 1,12 - 2
35,Siena,11-4,0.5683,,0.7333,0.5138,0.5123,66,0 - 0,0 - 1,0 - 0,11 - 3
36,Richmond,11-3,0.5612,,0.7857,0.4796,0.4997,82,0 - 0,0 - 1,0 - 1,11 - 1
37,Coastal Carolina,10-4,0.5589,,0.7143,0.5228,0.4756,88,0 - 0,0 - 0,0 - 0,10 - 4
38,Virginia Tech,9-7,0.5576,,0.5625,0.5653,0.5373,24,0 - 1,0 - 1,0 - 3,9 - 2
39,Cornell,7-6,0.5560,,0.5385,0.5562,0.5732,28,0 - 1,0 - 2,0 - 1,7 - 2
40,Army,6-7,0.5516,Projection,0.4615,0.5990,0.5468,31,0 - 1,0 - 1,0 - 1,6 - 4
41,Bryant,8-5,0.5506,,0.6154,0.5509,0.4854,72,0 - 0,0 - 0,0 - 2,8 - 3
42,Saint Joseph's,8-6,0.5497,,0.5714,0.5554,0.5165,43,0 - 1,0 - 0,0 - 0,8 - 5
43,Albany,4-9,0.5466,,0.3077,0.6570,0.5648,14,0 - 2,0 - 1,0 - 4,4 - 2
44,UConn,8-5,0.5438,,0.6154,0.5116,0.5368,49,0 - 1,0 - 0,0 - 3,8 - 1
45,Louisville,7-9,0.5423,,0.4375,0.5956,0.5403,16,0 - 1,0 - 1,0 - 3,7 - 4
46,Towson,6-8,0.5397,,0.4286,0.5971,0.5363,37,0 - 0,0 - 1,0 - 2,6 - 5
47,Iona,10-4,0.5377,,0.7143,0.4773,0.4821,85,0 - 0,0 - 0,0 - 1,10 - 3
48,Mercer,8-5,0.5373,,0.6154,0.5326,0.4686,69,0 - 0,0 - 1,0 - 1,8 - 3
49,Delaware,9-5,0.5354,,0.6429,0.4957,0.5075,63,0 - 0,0 - 0,0 - 1,9 - 4
50,Arizona State,7-8,0.5340,,0.4667,0.5719,0.5257,23,0 - 1,0 - 0,0 - 4,7 - 3
51,Hofstra,9-5,0.5320,,0.6429,0.4826,0.5198,62,0 - 0,0 - 0,0 - 1,9 - 4
52,UC Davis,9-5,0.5288,,0.6429,0.4928,0.4865,79,0 - 0,0 - 0,0 - 1,9 - 4
53,Lehigh,7-5,0.5256,,0.5833,0.4944,0.5303,68,0 - 0,0 - 1,0 - 0,7 - 4
54,Davidson,8-6,0.5222,,0.5714,0.5093,0.4986,59,0 - 0,0 - 0,0 - 1,8 - 5
55,Vanderbilt,8-6,0.5186,,0.5714,0.4840,0.5349,47,0 - 0,0 - 1,0 - 2,8 - 3
56,Ohio State,7-7,0.5147,,0.5000,0.5125,0.5337,37,0 - 3,0 - 1,0 - 1,7 - 2
57,Georgetown,6-9,0.5119,,0.4000,0.5471,0.5533,21,0 - 1,0 - 3,0 - 1,6 - 4
58,UMass Lowell,11-4,0.5037,,0.7333,0.4059,0.4696,91,0 - 0,0 - 0,0 - 1,11 - 3
59,Binghamton,8-6,0.5035,,0.5714,0.4609,0.5209,56,0 - 0,0 - 0,0 - 0,8 - 6
60,Jacksonville,5-8,0.5032,,0.3846,0.5598,0.5086,40,0 - 1,0 - 0,0 - 3,5 - 4
61,Mount St Mary's,5-9,0.5013,,0.3571,0.5883,0.4714,55,0 - 0,0 - 0,0 - 1,5 - 8
62,Canisius,10-5,0.4938,,0.6667,0.4163,0.4758,97,0 - 0,0 - 0,0 - 1,10 - 4
63,UMBC,9-4,0.4922,,0.6923,0.3903,0.4958,92,0 - 0,0 - 0,0 - 0,9 - 4
64,Elon,7-7,0.4884,,0.5000,0.4773,0.4990,83,0 - 0,0 - 0,0 - 1,7 - 6
65,Liberty,5-10,0.4868,,0.3333,0.5491,0.5157,32,0 - 0,0 - 2,0 - 2,5 - 6
66,Sacred Heart,8-5,0.4847,,0.6154,0.4427,0.4379,103,0 - 0,0 - 0,0 - 2,8 - 3
67,Cincinnati,10-5,0.4838,,0.6667,0.3840,0.5005,89,0 - 1,0 - 0,0 - 1,10 - 3
68,Lindenwood,11-3,0.4826,,0.7857,0.3393,0.4662,112,0 - 0,0 - 0,0 - 0,11 - 3
69,Marquette,5-10,0.4810,,0.3333,0.5392,0.5125,39,0 - 2,0 - 0,0 - 1,5 - 7
70,Pittsburgh,5-11,0.4744,,0.3125,0.5196,0.5458,17,0 - 1,0 - 2,0 - 2,5 - 6
71,Oregon,7-5,0.4740,,0.5833,0.4084,0.4958,98,0 - 0,0 - 0,0 - 1,7 - 4
72,High Point,8-5,0.4739,,0.6154,0.3908,0.4987,87,0 - 0,0 - 0,0 - 1,8 - 4
73,Boston U,4-9,0.4717,,0.3077,0.5404,0.4983,60,0 - 0,0 - 1,0 - 2,4 - 6
74,American,6-8,0.4712,,0.4286,0.4898,0.4766,67,0 - 0,0 - 1,0 - 0,6 - 7
75,Le Moyne,8-6,0.4685,,0.5714,0.4400,0.4225,107,0 - 0,0 - 0,0 - 0,8 - 6
76,St. Bonaventure,7-8,0.4675,,0.4667,0.4793,0.4446,90,0 - 0,0 - 0,0 - 0,7 - 8
77,Vermont,6-7,0.4652,,0.4615,0.4519,0.4956,80,0 - 0,0 - 0,0 - 1,6 - 6
