Rank,Team,W,L,Rating,Link
1,Mount Sinai (NY),16,1,99.9,
2,Shoreham-Wading River (NY),15,2,99.65,
3,McDonogh (MD),11,1,99.41,
4,Manhasset (NY),15,1,98.84,
5,Archbishop Spalding (MD),12,3,98.49,
6,Comsewogue (NY),15,2,98.48,
7,Boys' Latin (MD),10,4,97.79,
8,Malvern Prep (PA),19,2,97.66,
9,Deerfield (MA),12,0,97.64,
10,Garden City (NY),13,3,97.13,
11,Loyola Blakefield (MD),6,5,97.11,
12,Syosset (NY),12,3,96.96,
13,Calvert Hall (MD),8,6,96.88,
14,Robinson (VA),13,1,96.81,
15,Brunswick School (CT),14,3,96.64,
16,Fayetteville-Manlius (NY),16,1,96.32,
17,Cold Spring Harbor (NY),10,2,96.22,
18,West Islip (NY),12,5,96.14,
19,St Anthony's (NY),10,1,96.02,
20,Baldwinsville (NY),14,3,95.91,
21,Port Washington (NY),10,4,95.68,
22,St Johns DC (DC),11,1,95.53,
23,Harborfields (NY),9,7,95.39,
24,Taft School (CT),9,2,95.34,
25,Chaminade (NY),9,2,95.32,
26,Bayport-Blue Point (NY),12,4,95.28,
27,Farmingdale (NY),11,3,95.2,
28,Georgetown Prep (MD),13,3,95.08,
29,Carey (NY),9,6,94.95,
30,St Mary's Annapolis (MD),6,4,94.88,
31,Salisbury School (CT),7,4,94.86,
32,Victor (NY),13,2,94.36,
33,Darien (CT),19,2,94.34,
34,Haverford School (PA),12,6,94.18,
35,Madison (VA),11,1,94.16,
36,Episcopal Academy (PA),9,4,94.1,
37,Yorktown (VA),12,0,93.94,
38,Culver Academy Prep (IN),10,2,93.91,
39,Don Bosco Prep (NJ),18,0,93.89,
40,Canandaigua (NY),16,2,93.83,
41,Webster Thomas (NY),15,1,93.73,
42,Severna Park (MD),13,0,93.62,
43,Bishop Guertin (NH),19,0,93.48,
44,Belmont Hill (MA),12,2,93.45,
45,Massapequa (NY),6,8,93.45,
46,Seton Hall Prep (NJ),10,2,93.38,
47,Severn (MD),9,6,93.31,
48,Iona Prep (NY),15,4,93.06,
49,Lawrenceville (NJ),13,3,93.03,
50,St Paul's (MD),4,7,93.01,
51,Jamesville-DeWitt (NY),16,2,92.96,
52,Hauppauge (NY),9,6,92.72,
53,Langley (VA),11,4,92.62,
54,South Side (NY),7,7,92.55,
55,Gilman (MD),4,9,92.55,
56,Islip (NY),7,8,92.5,
57,Summit (NJ),18,1,92.43,
58,Briarcliff (NY),15,1,92.43,
59,Bullis (MD),8,5,92.39,
60,Sherwood (MD),8,1,92.34,
61,Seaford (NY),8,5,92.24,
62,Calhoun (NY),6,7,92.24,
63,St Sebastian (MA),6,4,92.05,
64,Fairport (NY),10,4,91.98,
65,CBA Syracuse (NY),9,5,91.76,
66,Avon Old Farms (CT),6,9,91.67,
67,Bethpage (NY),10,4,91.66,
68,Sayville (NY),7,9,91.5,
69,Westhampton Beach (NY),7,9,91.48,
70,Broadneck (MD),3,2,91.47,
71,Landon (MD),6,6,91.43,
72,Exeter HS (NH),14,3,91.41,
73,MacArthur-Levittown (NY),9,5,91.4,
74,Oakton (VA),4,4,91.39,
75,Corning (NY),13,1,91.37,
76,Douglas Freeman (VA),6,2,91.25,
77,Gonzaga (DC),6,3,91.25,
78,Chantilly (VA),7,4,91.11,
79,Noble & Greenough (MA),11,2,91.09,
80,Penfield (NY),12,4,90.96,
81,Ridgefield (CT),16,7,90.94,
82,Staples-Westport (CT),15,5,90.89,
83,Trinity-Pawling (NY),8,6,90.84,
84,East Islip (NY),8,7,90.83,
85,Holderness (NH),10,1,90.71,
86,Mamaroneck (NY),16,2,90.64,
87,Paul VI (VA),10,3,90.62,
88,Mountain Lakes (NJ),18,2,90.59,
89,Fairfield Prep (CT),17,5,90.58,
90,Yorktown (NY),13,4,90.56,
91,Rocky Point (NY),7,6,90.53,
92,West Genesee (NY),6,11,90.49,
93,DeMatha (MD),7,2,90.25,
94,Pingry (NJ),12,2,90.23,
95,North Shore (NY),8,5,90.19,
96,Rye HS (NY),14,2,90.17,
97,Westfield (NJ),12,5,90.16,
98,Cicero North Syracuse (NY),5,10,90.13,
99,Eastport/South Manor (NY),3,9,90.13,
100,Rumson-Fair Haven (NJ),20,1,90.0,
101,Bronxville (NY),11,6,89.99,
102,Middlesex School (MA),3,0,89.96,
103,Westhill (NY),14,2,89.96,
104,Spencerport (NY),12,3,89.96,
105,Pittsford (NY),9,7,89.95,
106,Lafayette (NY),10,5,89.92,
107,New Canaan (CT),10,8,89.9,
108,Pinkerton Academy (NH),12,5,89.84,
109,Woodson (VA),3,6,89.83,
110,Ridgewood (NJ),7,6,89.78,
111,McQuaid Jesuit (NY),6,6,89.77,
112,Long Beach (NY),5,8,89.76,
113,Miller Place (NY),6,8,89.75,
114,Radnor (PA),24,2,89.74,
115,Salesianum (DE),7,3,89.73,
116,Jupiter (FL),18,1,89.69,
117,Saint Andrew's (FL),16,0,89.68,
118,Catonsville (MD),10,1,89.63,
119,Mount St. Joseph (MD),4,11,89.61,
120,Cape Henlopen (DE),2,4,89.54,
121,Salmon River (NY),6,0,89.53,
122,Centreville (VA),5,4,89.41,
123,Allentown Central Cath (PA),16,1,89.39,
124,Plainedge (NY),13,0,89.36,
125,Century (MD),2,0,89.35,
126,Thayer Academy (MA),8,3,89.33,
127,Towson (MD),7,2,89.32,
128,Delbarton (NJ),7,7,89.31,
129,Pope John XXIII (NJ),12,4,89.24,
130,Kimball Union (NH),6,4,89.22,
131,IMG National (FL),10,2,89.14,
132,Hotchkiss (CT),3,3,89.08,
133,Rivers School (MA),5,7,89.07,
134,Wilton (CT),15,6,88.95,
135,Locust Valley (NY),5,7,88.83,
136,Kellenberg Memorial (NY),8,9,88.79,
137,Berkshire School (MA),6,5,88.76,
138,John Carroll (MD),0,11,88.75,
139,Corner Canyon (UT),22,0,88.68,
140,La Salle College High (PA),10,4,88.64,
141,Dallas Jesuit (TX),12,2,88.61,
142,Upper Arlington (OH),13,2,88.58,
143,St Thomas Aquinas (FL),11,5,88.58,
144,Lakeland/Panas (NY),9,4,88.5,
145,McLean (VA),3,5,88.46,
146,New Hampton (NH),4,2,88.43,
147,West Potomac (VA),7,2,88.4,
148,St Augustine Prep (NJ),10,5,88.4,
149,Floral Park (NY),6,5,88.34,
150,Bergen Catholic (NJ),5,8,88.29,
151,Montclair (NJ),7,4,88.27,
152,Germantown Academy (PA),1,8,88.27,
153,St Stephen/St Agnes (VA),5,7,88.25,
154,Deep Run (VA),7,1,88.19,
155,Greenwich (CT),11,6,88.18,
156,Oceanside (NY),2,11,88.06,
157,Tabor Academy (MA),6,4,88.01,
158,Westfield (VA),2,5,87.98,
159,Sanford School (DE),14,0,87.96,
160,Episcopal HS (VA),6,4,87.93,
161,Fairfield-Ludlowe (CT),10,9,87.92,
162,Bernards (NJ),7,1,87.88,
163,East Syracuse-Minoa (NY),9,3,87.88,
164,Chatham (NJ),14,7,87.87,
165,St Joseph Collegiate (NY),2,3,87.83,
166,The Governor's Academy (MA),4,5,87.82,
167,Penn Yan (NY),13,1,87.76,
168,Loyola Academy (IL),19,1,87.71,
169,Hereford (MD),9,2,87.71,
170,Cape Elizabeth (ME),16,0,87.69,
