Rank,Team,W,L,Rating,Link
1,Cardinal Gibbons (NC),11,1,99.9,
2,Scripps Ranch (CA),5,0,99.49,
3,East Chapel Hill (NC),16,2,99.36,
4,Chatham (NJ),5,0,98.55,
5,Oak Knoll School (NJ),4,1,97.88,
6,Radnor (PA),3,1,97.88,
7,Garnet Valley (PA),2,1,97.83,
8,Owen J. Roberts (PA),1,0,97.48,
9,Cherokee (NJ),1,0,97.28,
10,Conestoga (PA),19,3,97.17,
11,Archbishop Carroll (PA),20,4,96.8,
12,Downingtown West (PA),1,0,96.4,
13,St. Paul's SG (MD),15,1,95.85,
14,Holly Springs (NC),13,1,95.82,
15,Noble & Greenough (MA ),1,0,95.81,
16,Lake Highland Prep (FL),19,1,95.74,
17,American Heritage (FL),16,1,95.62,
18,Summit (NJ),5,0,95.29,
19,Western Albemarle (VA),11,1,95.21,
20,Milton (GA),22,0,95.03,
21,Broughton (NC),5,3,94.97,
22,Ridgefield (CT),1,0,94.89,
23,Notre Dame Prep (MD),13,2,94.68,
24,William Penn Charter (PA),4,2,94.59,
25,Wake Forest (NC),5,3,94.23,
26,"Easton Area, PA (PA)",0,1,94.17,
27,Bromfield School (MA),2,0,94.13,
28,New Albany (OH),1,0,93.97,
29,Ridgewood (NJ),16,3,93.97,
30,Agnes Irwin (PA),16,4,93.68,
31,Weddington (NC),17,2,93.56,
32,Chapel Hill (NC),4,3,93.49,
33,MICDS (MO),14,0,93.46,
34,Hershey (PA),3,0,93.29,
35,"Wilson, West Lawn (PA)",1,0,93.2,
36,Apex Friendship (NC),5,3,93.2,
37,Pingry School (NJ),1,0,93.08,
38,Heritage (NC),5,2,92.85,
39,Mendham (NJ),2,2,92.83,
40,McDonogh School (MD),14,3,92.45,
41,Westwood (MA),7,0,92.43,
42,Glenelg Country School (MD),10,4,92.42,
43,Penncrest (PA),0,1,92.37,
44,Charlotte Catholic (NC),14,3,92.28,
45,Westfield (NJ),14,7,92.28,
46,Stone Ridge CDS (MD),8,2,92.19,
47,Unionville (PA),1,2,92.11,
48,Lexington (MA),11,3,91.81,
49,Suffern (NY),1,0,91.77,
50,Reading Memorial (MA),14,2,91.76,
51,Phillips Exeter Acad (NH),13,1,91.73,
52,East Grand Rapids (MI),2,0,91.72,
53,Sacred Heart Greenwich (CT),4,4,91.69,
54,Charlotte Latin (NC),4,1,91.5,
55,Greens Farms Academy (CT),4,0,91.49,
56,Greenwich Academy (CT),2,1,91.39,
57,Tappan Zee (NY),2,0,91.37,
58,Blessed Trinity (GA),3,1,91.37,
59,Notre Dame Academy (PA),1,2,91.32,
60,West Forsyth (GA),20,3,91.21,
61,Atlee (VA),6,0,91.04,
62,Mt. Lebanon (PA),1,0,91.03,
63,St. Thomas Aquinas (FL),3,1,91.03,
64,Creekview (GA),9,4,90.88,
65,Brighton (NY),1,1,90.82,
66,Rockford (MI),2,0,90.72,
67,York Catholic (PA),19,2,90.72,
68,"Twin Valley, PA (PA)",3,2,90.68,
69,Bishop Shanahan (PA),17,4,90.6,
70,Albemarle (VA),4,2,90.46,
71,Notre Dame - Hingham (MA),2,1,90.43,
72,Sanderson (NC),2,3,90.42,
73,Cardinal O'Hara (PA),1,2,90.38,
74,Edina (MN),1,1,90.23,
75,Newburyport (MA),2,0,90.21,
76,Montclair (NJ),1,3,90.21,
77,Governor Mifflin (PA),1,0,90.2,
78,Vero Beach (FL),8,1,90.18,
79,Bryn Mawr (MD),9,6,90.14,
80,St. Margaret's (CA),1,0,90.09,
81,Pinecrest Prep (FL),3,2,90.06,
82,Morristown (NJ),1,3,89.94,
83,Sts. Stephen's & Agnes (VA),10,3,89.9,
84,Hillgrove (GA),7,3,89.86,
85,Lake Brantley (FL),12,0,89.85,
86,Millbrook (NC),2,5,89.7,
87,Mater Dei (CA),1,1,89.69,
88,Poway (CA),0,1,89.69,
89,Santa Fe Christian (CA),0,1,89.69,
90,Pittsford (NY),8,0,89.67,
91,Spring Lake (MI),1,0,89.52,
92,Walpole (MA),9,1,89.52,
93,Maryvale Prep (MD),8,7,89.44,
94,Queen Anne's (MD),1,0,89.41,
95,Villa Duchesne (MO),13,1,89.4,
96,Oxford Area (PA),0,1,89.4,
97,Myers Park (NC),7,2,89.38,
98,Archbishop Spalding (MD),7,8,89.31,
99,Del Norte (CA),0,1,89.29,
100,Westview (CA),0,1,89.29,
101,IMG Academy (FL),10,5,89.15,
102,Topsail (NC),2,1,89.15,
103,Georgetown Visitation (DC),4,2,89.14,
104,Bishop England (SC),7,0,89.13,
105,State College Area (PA),15,3,89.03,
106,Baldwinsville (NY),3,0,89.02,
107,Ipswich (MA),1,0,89.01,
108,Chattahoochee (GA),8,4,88.96,
109,R.J. Reynolds (NC),3,2,88.92,
110,Redondo Union (CA),2,0,88.89,
111,Horace Greeley (NY),1,0,88.77,
112,Immaculate Heart (NJ),2,3,88.76,
113,Phillips Acad Andover (MA ),5,3,88.61,
114,Lake Norman Charter (NC),3,0,88.5,
115,Prior Lake (MN),18,1,88.43,
116,Downingtown East (PA),0,2,88.39,
117,Great Valley (PA),0,2,88.39,
118,Colorado Academy (CO),13,0,88.37,
119,Springfield (PA),0,2,88.29,
120,West Forsyth (NC),8,2,88.27,
121,Hereford (MD),9,1,88.21,
122,Cedar Cliff (PA),0,2,88.21,
123,Cocalico (PA),1,2,88.2,
124,Ramapo (NJ),6,7,88.18,
125,Bishop Guertin (NH),1,0,88.13,
126,Ponte Vedra (FL),12,4,88.11,
127,Roswell (GA),7,3,88.09,
128,Harriton (PA),0,2,88.09,
129,Glen Ridge (NJ),1,3,88.06,
130,Archbishop Mitty (CA),1,0,88.01,
131,Northwood (NC),2,4,88.0,
132,John Burroughs (MO),10,5,87.94,
133,Canandaigua Academy (NY),0,1,87.87,
134,Winchester (MA),8,6,87.77,
135,Forest Hills United (MI),2,0,87.72,
136,Middle Creek (NC),3,3,87.69,
137,Woodstock (GA),1,0,87.65,
138,Apex (NC),2,4,87.63,
139,East Ridge (FL),14,1,87.59,
140,Episcopal Academy (PA),0,4,87.56,
141,Taft School (CT),0,1,87.49,
142,St. Mary's (MD),7,6,87.46,
143,Marquette (MO),10,5,87.45,
144,Gerstell Academy (MD),5,9,87.45,
145,Thomas Worthington (OH),1,0,87.44,
146,Cumberland Valley (PA),11,5,87.4,
147,Lower Merion (PA),0,1,87.37,
148,Ridley (PA),0,1,87.37,
149,Souderton Area (PA),0,1,87.37,
150,Marvin Ridge (NC),7,5,87.34,
151,Strath Haven (PA),0,3,87.32,
152,Burlington (MA),10,1,87.26,
153,Franklin (MA),12,0,87.18,
154,Starr's Mill (GA),18,3,87.18,
155,"Monticello, VA (VA)",3,4,87.18,
156,Dover-Sherborn (MA),1,1,87.16,
157,Northwest Guilford (NC),5,2,87.15,
158,Buford (GA),1,0,87.11,
159,Lawrenceville School (NJ),5,1,87.08,
160,Woburn Memorial (MA),6,7,87.02,
161,Archbishop Ryan (PA),0,1,87.0,
162,Archbishop Wood (PA),0,1,87.0,
163,Bishop McDevitt (PA),0,1,87.0,
164,Lansdale Catholic (PA),0,1,87.0,
165,St. Hubert Catholic SG (PA),0,1,87.0,
166,Haverford (PA),0,1,86.97,
167,Marple Newtown (PA),0,1,86.97,
168,Upper Darby (PA),0,1,86.97,
169,H.H. Dow (MI),1,0,86.92,
170,Severn School (MD),5,9,86.92,
171,Valor Christian (CO),9,2,86.85,
172,Dublin Coffman (OH),1,0,86.84,
173,Bonner-Prendergast (PA),0,2,86.8,
174,Mt. St. Joseph Academy (PA),0,1,86.8,
175,"University, Milwaukee (WI)",6,0,86.74,
176,Hinsdale Central (IL),6,0,86.72,
177,Walton (GA),1,4,86.68,
178,John's Creek (GA),6,4,86.66,
179,Northfield Mt. Hermon (MA ),1,1,86.64,
180,Conwell Egan Catholic (PA),0,1,86.6,
181,Hallahan Catholic SG (PA),0,1,86.6,
182,Little Flower Catholic (PA),0,1,86.6,
183,Lincoln-Sudbury (MA),8,2,86.49,
184,New Providence (NJ),0,1,86.48,
185,Worthington Kilbourne (OH),1,0,86.44,
186,West Orange (FL),0,1,86.39,
187,Dutchtown (GA),0,1,86.38,
188,Hampton (GA),0,1,86.38,
189,Langley (VA),13,0,86.35,
190,Cor Jesu Academy (MO),12,6,86.35,
191,Bartram Trail (FL),0,3,86.35,
192,Leesville Road (NC),0,5,86.34,
193,Chelmsford (MA),17,0,86.31,
194,Ladue Horton Watkins (MO),11,4,86.26,
195,Mountain Lakes (NJ),3,13,86.24,
196,"Episcopal, Dallas (TX)",2,1,86.22,
197,Good Counsel (MD),7,1,86.21,
198,Wakefield (NC),0,6,86.2,
199,Blake School (MN),1,3,86.14,
200,Northern Highlands (NJ),1,1,86.1,
201,Albertus Magnus (NY),2,0,86.07,
202,Newsome (FL),7,1,85.94,
203,Cypress Creek (FL),0,1,85.94,
204,Olympia (FL),0,1,85.94,
205,St. Edward's (FL),0,1,85.94,
206,Windermere Prep (FL),0,1,85.94,
207,DeWitt (MI),1,0,85.92,
208,Lakeville South (MN),9,2,85.91,
209,Northview (GA),1,3,85.91,
210,Auburn (NY),15,0,85.86,
211,Flower Mound (TX),5,1,85.84,
212,Community School (FL),0,1,85.82,
213,Hillsborough (NJ),0,2,85.82,
214,Liverpool (NY),0,1,85.82,
215,Spanish River (FL),0,1,85.82,
216,Glenelg (MD),3,0,85.8,
217,Gulf Coast (FL),0,1,85.74,
218,King's Academy (FL),0,2,85.72,
219,Carrboro (NC),1,5,85.71,
220,Springside Chesnut Hill Academy (PA),0,2,85.68,
221,McIntosh (GA),1,2,85.67,
222,Flint Hill School (VA),9,1,85.66,
223,Bishop Ireton (VA),5,2,85.65,
224,Dublin Scioto (OH),16,3,85.64,
225,Concord Carlisle (MA),8,2,85.58,
226,Kell (GA),2,3,85.58,
227,Hockaday SG (TX),6,1,85.55,
228,Natick (MA),6,4,85.55,
229,Barron G. Collier (FL),0,1,85.54,
230,Edgewood (FL),0,1,85.54,
231,First Academy (FL),0,1,85.54,
232,Southlake Carroll (TX),8,4,85.51,
233,Fort Mill (SC),2,3,85.47,
234,Lassiter (GA),1,6,85.42,
235,Oxbridge Academy (FL),0,1,85.42,
236,St. Andrew's (FL),0,1,85.42,
237,Rockbridge County (VA),4,1,85.41,
238,"Hanover, VA (VA)",4,3,85.41,
239,Cambridge (GA),2,3,85.41,
240,Henderson (PA),0,1,85.4,
241,Terry Sanford (NC),1,1,85.38,
242,John Carroll (MD),3,11,85.38,
243,Fairport (NY),3,1,85.37,
244,Red Land (PA),0,1,85.23,
245,First Flight (NC),2,1,85.21,
246,Villa Maria Academy - Malvern (PA),0,3,85.2,
247,Rumson Fair Haven (NJ),1,0,85.18,
248,Olympus (UT),8,3,85.18,
249,Episcopal School (FL),2,2,85.17,
250,Spencerport (NY),1,1,85.17,
251,Mercy (MD),2,0,85.16,
252,The Pingree School (MA ),3,2,85.16,
253,Garrison Forest (MD),3,10,85.16,
254,Parkway West (MO),12,5,85.11,
255,Alpharetta (GA),13,7,85.11,
256,Mill Creek (GA),2,3,85.11,
257,Pikesville (MD),6,0,85.1,
258,Wellesley (MA),2,1,85.1,
259,Enloe (NC),0,5,85.1,
260,Needham (MA),2,2,85.08,
261,Riverwood (GA),0,3,85.03,
262,Eureka (MO),10,4,85.02,
263,Moses Brown School (RI),14,2,84.93,
264,Melrose (MA),8,3,84.93,
