Rank,Team,W,L,Rating,Link
265,Mt. Paran Christian (GA),1,0,84.91,
266,Western STES (MD),6,0,84.91,
267,East Paulding (GA),8,1,84.91,
268,Mountain View (GA),2,1,84.9,
269,Hagerty (FL),0,3,84.89,
270,Hunterdon Central (NJ),0,2,84.88,
271,Manheim Township (PA),0,1,84.88,
272,Holton-Arms School (MD),1,2,84.85,
273,Convent of Sacred Heart (NY),6,0,84.83,
274,Norwell (MA),1,0,84.83,
275,Westminster School (GA),1,2,84.8,
276,Avon Grove (PA),0,1,84.8,
277,Walker School (GA),3,1,84.79,
278,North Paulding (GA),6,2,84.78,
279,Lafayette (MO),9,7,84.62,
280,Lambert (GA),2,4,84.56,
281,Lake Norman (NC),1,2,84.53,
282,Arlington (MA),2,9,84.41,
283,Kennett Square (PA),0,1,84.4,
284,"Waterford, UT (UT)",0,1,84.38,
285,Blair Academy (NJ),0,1,84.28,
286,Fuquay-Varina (NC),0,3,84.18,
287,Perrysburg (OH),15,1,84.17,
288,Bergen Tech (NJ),0,1,84.17,
289,Mahwah (NJ),0,1,84.17,
290,Saddle River Day School (NJ),0,1,84.17,
291,St. Stephens (NC),1,1,84.15,
292,Etowah (GA),0,2,84.11,
293,Meadowcreek (GA),0,1,84.1,
294,Bullis School (MD),8,6,84.08,
295,Green Hope (NC),4,1,83.98,
296,Okemos (MI),1,0,83.92,
297,Holderness School (NJ),0,3,83.8,
298,North Rockland (NY),2,0,83.77,
299,Baldwin School (PA),0,3,83.75,
300,Patapsco (MD),0,1,83.71,
301,Germantown Academy (PA),0,2,83.68,
302,Rosemount (MN),0,3,83.67,
303,Hingham (MA),6,2,83.63,
304,Portledge School (NY),0,1,83.63,
305,Walled Lake Northern (MI),9,0,83.62,
306,Rockwood Summit (MO),4,10,83.61,
307,Belmont (MA),2,9,83.6,
308,Kirkwood (MO),5,8,83.56,
309,Denver South (CO),1,0,83.55,
310,Roland Park Country (MD),1,12,83.55,
311,Bishop Moore (FL),0,4,83.53,
312,Winsor School (MA ),0,1,83.53,
313,East Forsyth (NC),3,2,83.52,
314,Broadneck (MD),13,0,83.51,
315,Pattonville (MO),13,4,83.51,
316,Collegiate School (VA),9,3,83.5,
317,Chanhassen (MN),11,2,83.48,
318,Lake Minneola (FL),0,2,83.46,
319,St. Ursula - Toledo (OH),0,1,83.37,
320,Longmeadow (MA),5,3,83.31,
321,Woodside (CA),1,1,83.31,
322,Westminster (MO),9,5,83.3,
323,West Genesee (NY),0,1,83.22,
324,"Palmyra Area, PA (PA)",0,2,83.21,
325,Cuthbertson (NC),3,6,83.19,
326,Rolesville (NC),0,4,83.14,
327,Wando (SC),3,0,83.11,
328,Newton North (MA),6,5,83.01,
329,Laurel School (OH),0,1,82.97,
330,Hill School (PA),2,1,82.93,
331,St. Joseph's (MO),5,10,82.92,
332,Guilderland (NY),5,0,82.85,
333,Buchholz (FL),5,2,82.84,
334,Jamesville DeWitt (NY),2,2,82.82,
335,Fenton-Linden Co-Op (MI),0,1,82.82,
336,Oviedo (FL),0,1,82.79,
337,Ardrey Kell (NC),4,3,82.72,
338,Westhill (NY),0,1,82.66,
339,Hopkinton (MA),0,1,82.63,
340,Medfield (MA),0,1,82.63,
341,Kentucky Country Day (KY),25,0,82.62,
342,St. Augustine (FL),2,2,82.61,
343,"Patrick Henry, Roanoke (VA)",4,0,82.59,
344,Mount de Sales (MD),1,9,82.59,
345,East Brunswick (NJ),0,1,82.48,
346,Stoneman Douglas (FL),0,3,82.43,
347,Towson (MD),0,2,82.41,
348,Flagler Palm (FL),6,2,82.4,
349,W.T. Woodson (VA),6,3,82.4,
350,Coatesville Area (PA),0,1,82.4,
351,Governor's Academy (MA ),0,2,82.39,
352,North Gwinnett (GA),0,3,82.38,
353,Sun Valley (NC),4,8,82.28,
354,Ravenscroft School (NC),1,1,82.24,
355,Medway (MA),0,1,82.23,
356,Pentucket Regional (MA),9,4,82.21,
357,Panther Creek (NC),5,3,82.21,
358,Paul VI (VA),5,3,82.21,
359,Carlisle Area (PA),0,2,82.21,
360,North Forsyth (GA),1,3,82.2,
361,Chapin (SC),12,2,82.14,
362,Cherry Creek (CO),0,2,82.11,
363,Providence Day (NC),3,0,82.1,
364,Santa Margarita Catholic School (CA),1,0,82.09,
365,Hoggard (NC),0,1,82.08,
366,Morris Knolls (NJ),0,1,82.08,
367,Spartanburg (SC),3,0,82.07,
368,Niskayuna (NY),0,1,82.05,
369,Cherokee (GA),0,3,82.04,
370,Riverton (UT),0,1,81.98,
371,Portsmouth Abbey (RI),0,1,81.93,
372,St. John Paul II (FL),0,3,81.89,
373,Ithaca (NY),0,1,81.87,
374,Hutchison School (TN),3,1,81.85,
375,Farmington (MI),0,1,81.82,
376,West Chester Rustin (PA),0,1,81.8,
377,St. Luke's School (CT),0,2,81.79,
378,Oceanside Collegiate (SC),5,2,81.78,
379,Mercersburg Academy (PA),2,1,81.77,
380,Charlottesville (VA),0,7,81.75,
381,Druid Hills (GA),1,0,81.72,
382,Marist (GA),1,0,81.72,
383,Catholic Central (MI),5,7,81.72,
384,Kingswood Oxford (CT),0,1,81.69,
385,Rye CDS (NY),0,1,81.69,
386,Wesleyan School (GA),0,2,81.69,
387,St. Anne's-Belfield (VA),9,4,81.66,
388,Carver A&T (MD),4,1,81.63,
389,Weymouth (MA),0,3,81.63,
390,"Hempfield, Landisville (PA)",0,1,81.6,
391,Klein (TX),5,0,81.59,
392,Hamden Hall CDS (CT),0,2,81.59,
393,Benjamin School (FL),0,3,81.58,
394,Sacred Heart Academy (KY),16,3,81.57,
395,Nyack (NY),9,7,81.57,
396,Sequoyah (GA),1,2,81.57,
397,Williston Northampton (MA ),5,3,81.55,
398,Centennial (GA),0,4,81.55,
399,St. Paul's School (NH),0,1,81.53,
400,"St. Catherine's, VA (VA)",7,5,81.52,
401,Hopkins School (CT),0,1,81.49,
402,Penfield (NY),0,1,81.47,
403,Joel Barlow (CT),2,0,81.45,
404,Hanover (MA),0,1,81.43,
405,Holy Child (MD),0,4,81.41,
406,Manchester-Essex (MA),0,1,81.41,
407,Carolina Forest (SC),2,0,81.4,
408,Parkway South (MO),11,4,81.4,
409,Houston Christian (TX),0,0,81.39,
410,Garner Magnet (NC),0,6,81.36,
411,Riverside (SC),2,1,81.35,
412,Regis Jesuit (CO),0,2,81.31,
413,Minnetonka (MN),0,1,81.28,
414,Pinecrest (NC),0,2,81.27,
415,Duxbury (MA),0,2,81.23,
416,Deerfield Academy (MA ),3,3,81.19,
417,Hickory (NC),1,1,81.1,
418,Gwynedd Mercy Academy (PA),0,2,81.1,
419,Independence (NC),3,0,81.09,
420,Fluvanna County (VA),2,5,81.09,
421,Whitewater (GA),9,2,81.06,
422,Lake Mary (FL),0,1,81.05,
423,Fulton (NY),1,2,81.04,
424,Gainesville (GA),0,1,81.01,
425,Lower Dauphin (PA),0,2,81.01,
426,"Yorktown, VA (VA)",5,3,80.97,
427,"Patrick Henry, Ashland (VA)",1,4,80.97,
428,Portage Northern (MI),1,1,80.92,
429,Dallastown Area (PA),0,1,80.92,
430,"Dover Area, PA (PA)",0,1,80.92,
431,Kennard-Dale (PA),0,1,80.92,
432,New Oxford (PA),0,1,80.92,
433,South Western (PA),0,1,80.92,
434,West York Area (PA),0,1,80.92,
435,York Suburban (PA),0,1,80.92,
436,Nerinx Hall (MO),7,9,80.89,
437,Smoky Hill (CO),1,0,80.85,
438,Mechanicsburg (PA),1,2,80.83,
439,Central Dauphin (PA),0,1,80.83,
440,Burlingame (CA),10,3,80.81,
441,Central Catholic (MA),2,2,80.81,
442,Sequoia (CA),1,1,80.81,
443,West Chester East (PA),0,1,80.8,
444,"St. Mary's ES, TN (TN)",2,2,80.77,
445,South Plantation (FL),0,2,80.74,
446,Blackhawk (PA),0,1,80.72,
447,Dulaney (MD),0,3,80.71,
448,Kenwood (MD),0,1,80.71,
449,Lampeter-Strasburg (PA),0,2,80.7,
450,Pope (GA),0,3,80.64,
451,Lucy Beckham (SC),11,1,80.62,
452,Menlo-Atherton (CA),0,0,80.61,
453,Lake-Lehman (PA),0,1,80.6,
454,Brookline (MA),1,3,80.59,
455,Naples (FL),0,2,80.59,
456,Berks Catholic (PA),0,1,80.52,
457,Central York (PA),0,1,80.52,
458,Eastern York (PA),0,1,80.52,
459,"Red Lion Area, PA (PA)",0,1,80.52,
460,Spring Grove Area (PA),0,1,80.52,
461,Susquehannock (PA),0,1,80.52,
462,Jacksonville (NC),5,0,80.44,
463,Sun Valley (PA),0,1,80.4,
464,Sebastian River (FL),0,1,80.38,
465,Viera (FL),0,1,80.38,
466,Athens Drive (NC),2,2,80.27,
467,Danville Area (PA),0,1,80.23,
468,Ottawa Hills (OH),0,2,80.17,
469,Haslett (MI),10,4,80.12,
470,Harpeth Hall (TN),0,2,80.11,
471,"James Madison, VA (VA)",4,2,80.1,
472,Episcopal (VA),0,5,80.09,
473,"West Springfield, VA (VA)",5,1,80.08,
474,McEachern (GA),0,1,80.06,
475,Oliver Ames (MA),1,1,80.05,
476,Colonie (NY),0,1,80.05,
477,Columbia (NY),0,1,80.05,
478,Lake Howell (FL),0,1,80.05,
479,Lyman (FL),0,1,80.05,
480,Windermere HS (FL),0,1,80.05,
481,Winter Park (FL),0,1,80.05,
482,Winter Springs (FL),0,1,80.05,
483,McDowell (PA),0,1,80.03,
484,Hough (NC),0,3,80.02,
485,South Forsyth (GA),2,3,80.0,
486,Rancocas Valley (NJ),1,1,79.98,
487,Martin County (FL),0,1,79.98,
488,Melbourne (FL),0,1,79.98,
489,South Fork (FL),0,1,79.98,
490,Berkeley Prep (FL),0,1,79.95,
491,Waukesha LC (WI),1,1,79.94,
492,Palos Verdes (CA),10,5,79.89,
493,Watertown (MA),6,5,79.89,
494,Webster Thomas (NY),0,1,79.87,
495,Cy-Fair (TX),0,1,79.79,
496,Ravenwood (TN),2,2,79.76,
497,Southlake Girls (TX),0,1,79.75,
498,Riverview (FL),0,1,79.74,
499,Oakton (VA),3,4,79.7,
500,Dos Pueblos (CA),1,0,79.69,
501,"Robinson Secondary, VA (VA)",6,0,79.68,
502,Wilmington (MA),4,7,79.65,
503,Timber Creek (FL),0,1,79.65,
504,Wekiva (FL),0,1,79.65,
505,South Iredell (NC),1,2,79.62,
506,Arundel (MD),0,2,79.61,
507,Nease (FL),1,2,79.55,
508,Northern Guilford (NC),4,3,79.54,
509,Hudsonville (MI),0,1,79.52,
510,Webster Schroeder (NY),0,2,79.52,
511,Honeoye Falls Lima (NY),0,1,79.47,
512,Irondequoit (NY),0,1,79.47,
513,"St. John's, TX (TX)",0,1,79.39,
514,West Brunswick (NC),2,1,79.35,
515,Brookwood (GA),2,2,79.34,
516,Francis Howell (MO),12,5,79.33,
517,Forsyth Central (GA),1,2,79.32,
518,Mattawan (MI),0,1,79.32,
519,Mercy (MI),0,1,79.32,
520,North Andover (MA),2,3,79.31,
521,Selinsgrove (PA),0,1,79.23,
522,North Reading (MA),1,1,79.21,
523,Severna Park (MD),0,2,79.21,
524,Benilde-St. Margaret's (MN),0,3,79.2,
525,Fellowship Christian (GA),0,4,79.15,
