Rank,Team,W,L,Rating,Link
147,Suffern (NY),0,3,91.19,
148,Wilton (CT),7,7,91.15,
149,Rye (NY),10,1,91.14,
150,Good Counsel (MD),13,8,91.14,
151,Smithtown West (NY),1,2,91.07,
152,Pinkerton Academy (NH),19,2,91.05,
153,Cardinal Newman (FL),16,0,91.02,
154,Germantown Academy (PA),3,8,90.99,
155,Benjamin School (FL),9,5,90.98,
156,Locust Valley (NY),1,0,90.96,
157,Montclair (NJ),9,12,90.95,
158,Annapolis Area Christian (MD),1,0,90.92,
159,Langley (VA),18,4,90.9,
160,Mount de Sales (MD),4,13,90.9,
161,Upper Arlington (OH),12,1,90.88,
162,Vero Beach (FL),15,4,90.85,
163,Kennard-Dale (PA),14,4,90.81,
164,Manchester Valley (MD),1,3,90.79,
165,Brighton (NY),0,3,90.77,
166,Hendrick Hudson (NY),0,0,90.76,
167,Ponte Vedra (FL),6,3,90.72,
168,Hillsborough (NJ),13,7,90.72,
169,Guilford (CT),4,1,90.71,
170,Plymouth South (MA),1,0,90.7,
171,New Hampton School (NH),9,2,90.63,
172,Rocky Point (NY),2,6,90.59,
173,Abington (PA),12,3,90.57,
174,Broadneck (MD),4,4,90.54,
175,Webster Thomas (NY),0,2,90.53,
176,ThunderRidge (CO),12,4,90.52,
177,Tappan Zee (NY),0,1,90.52,
178,Loomis Chaffee (CT),3,5,90.5,
179,St. Margaret's (CA),12,3,90.49,
180,Harborfields (NY),5,7,90.48,
181,Downingtown East (PA),9,1,90.45,
182,Granite Bay (CA),17,1,90.4,
183,Shawnee (NJ),13,7,90.38,
184,Unionville (PA),10,6,90.37,
185,C. M. Wright (MD),13,4,90.34,
186,East Grand Rapids (MI),13,1,90.32,
187,Christian Brothers (NY),11,6,90.32,
188,Sycamore (OH),12,2,90.31,
189,Flint Hill School (VA),15,3,90.28,
190,Canterbury School (CT),4,3,90.25,
191,St. Ignatius Prep (CA),10,6,90.24,
192,Corning-Painted Post (NY),13,5,90.23,
193,Shoreham Wading River (NY),2,5,90.19,
194,Blessed Trinity (GA),8,2,90.13,
195,John's Creek (GA),7,2,90.12,
196,Kinkaid School (TX),14,2,90.11,
197,West Genesee (NY),3,8,90.1,
198,Concord Carlisle (MA),13,3,90.09,
199,Hunterdon Central (NJ),13,10,90.09,
200,Weddington (NC),17,1,90.08,
201,Phillips Exeter Acad (NH),8,7,90.08,
202,Millburn (NJ),15,3,90.07,
203,Syosset (NY),1,3,90.04,
