event_date,gender,added,division,event,link,web_source,state
1/5/2024,Women,9/10/2023,D2,Prospect Weekend 3-Day,https://www.eventbrite.com/e/rollins-womens-lacrosse-2023-24-prospect-clinics-registration-698423963877?aff=oddtdtcreator,airtable,
1/7/2024,Women,8/4/2023,D2,Winter College Showcase,https://www.grandvalleystatewomenslacrossecamps.com/,airtable,
1/11/2024,Women,9/26/2023,D2,Prospect ID Clinic,https://dominicanwomenslacrosseidcamp.totalcamps.com/shop/EVENT,airtable,
1/12/2024,Men,9/8/2023,D1,UNC High School Select Camp 3-Day,,airtable,
1/15/2024,Women,9/25/2023,D3,Winter ID Clinic,https://www.laxuhrelite.com/content/2024-winter-id-clinic,airtable,
1/27/2024,Men,7/31/2023,D3,Prospect Day,https://www.eagleslacrossecamps.com/,airtable,
1/27/2024,Women,10/5/2023,D1,Prospect Clinic,,airtable,
2/3/2024,Women,8/4/2023,D2,Winter Wonderlax 5v5,https://register.ryzer.com/camp.cfm?sport=27&id=251470,airtable,
2/11/2024,Women,8/4/2023,D2,Prospect Clinic,https://www.grandvalleystatewomenslacrossecamps.com/,airtable,
2/18/2024,Men,10/3/2023,D2,Prospect Day,https://aicmenslacrossecamps.totalcamps.com/shop/EVENT,airtable,
2/25/2024,Men,10/18/2023,D3,Prospect Day,https://jumbolacrosseclinics.com/february-prospect-day/,airtable,
12/2/2023,Men,8/11/2023,D2,Prospect Day,https://ngulacrossecamps.com/,airtable,South Carolina
12/2/2023,Men,8/29/2023,D3,7 v 7 HS Tournament,https://lynchburgmenslacrossecamps.totalcamps.com/shop/product/238319,airtable,Virginia
12/2/2023,Women,9/12/2023,D1,Elite Camp 2-Day,https://stanfordgirlslacrossecamps.totalcamps.com/Content/51524,airtable,California
12/2/2023,Women,9/26/2023,D3,Junior Day,,airtable,Virginia
12/2/2023,Women,10/11/2023,D1,Prospect Clinic,https://www.mountaindoglaxcamps.com/winter-prospect-clinic-at-dartmouth-college.cfm,airtable,New Hampshire
12/2/2023,Women,10/12/2023,D2,Prospect Day,https://www.umolaxcamps.com/,airtable,North Carolina
12/2/2023,Women,10/13/2023,D1,Elite Camp 2-day,https://clemsontigers.com/camps/#:~:text=Allison%20Kwolek%20Lacrosse%20Camps,airtable,South Carolina
12/3/2023,Women,8/11/2023,D3,Prospect Clinic,https://register.ryzer.com/camp.cfm?sport=27&id=252277,airtable,Virginia
12/3/2023,Men,8/29/2023,D3,7 v 7 HS Tournament,https://lynchburgmenslacrossecamps.totalcamps.com/shop/product/238319,airtable,Virginia
12/3/2023,Women,9/5/2023,D2,Prospect Clinic,kglaxllc.com,airtable,Florida
12/3/2023,Men,9/13/2023,D1,Prospect Day,https://www.saintjosephslacrosse.com/Default.aspx?tabid=1433695,airtable,Pennsylvania
12/3/2023,Women,9/27/2023,D1,Winter Skill Clinic,https://cmulacrossecamps.totalcamps.com/shop/product/248186,airtable,Michigan
12/3/2023,Women,9/27/2023,D1,Prospect Clinic,https://lehighwomenslacrossecamps.totalcamps.com/shop/product/246046,airtable,Pennsylvania
12/9/2023,Women,8/24/2023,D3,Prospect Day,https://www.captainselitelax.com/-winter-prospect-day.cfm,airtable,Virginia
12/27/2023,Women,10/11/2023,D1,Winter Camp 3-Day,https://dukelacrossecamp.com/camp1.html,airtable,North Carolina
12/28/2023,Women,10/11/2023,D1,Winter Camp 2-Day,https://floridagators.com/sports/2023/1/27/winter-lacrosse-camp.aspx,airtable,Florida
1/5/2024,Women,9/10/2023,D2,Prospect Weekend 3-Day,https://www.eventbrite.com/e/rollins-womens-lacrosse-2023-24-prospect-clinics-registration-698423963877?aff=oddtdtcreator,airtable,Florida
1/7/2024,Women,8/4/2023,D2,Winter College Showcase,https://www.grandvalleystatewomenslacrossecamps.com/,airtable,Michigan
1/11/2024,Women,9/26/2023,D2,Prospect ID Clinic,https://dominicanwomenslacrosseidcamp.totalcamps.com/shop/EVENT,airtable,California
1/12/2024,Men,9/8/2023,D1,UNC High School Select Camp 3-Day,,airtable,North Carolina
1/15/2024,Women,9/25/2023,D3,Winter ID Clinic,https://www.laxuhrelite.com/content/2024-winter-id-clinic,airtable,California
1/27/2024,Men,7/31/2023,D3,Prospect Day,https://www.eagleslacrossecamps.com/,airtable,Virginia
1/27/2024,Women,10/5/2023,D1,Prospect Clinic,,airtable,North Carolina
2/3/2024,Women,8/4/2023,D2,Winter Wonderlax 5v5,https://register.ryzer.com/camp.cfm?sport=27&id=251470,airtable,Michigan
2/11/2024,Women,8/4/2023,D2,Prospect Clinic,https://www.grandvalleystatewomenslacrossecamps.com/,airtable,Michigan
2/18/2024,Men,10/3/2023,D2,Prospect Day,https://aicmenslacrossecamps.totalcamps.com/shop/EVENT,airtable,Massachusetts
2/25/2024,Men,10/18/2023,D3,Prospect Day,https://jumbolacrosseclinics.com/february-prospect-day/,airtable,Massachusetts
12/2/2023,Men,8/11/2023,D2,Prospect Day,https://ngulacrossecamps.com/,airtable,
12/2/2023,Men,8/29/2023,D3,7 v 7 HS Tournament,https://lynchburgmenslacrossecamps.totalcamps.com/shop/product/238319,airtable,
12/2/2023,Women,9/12/2023,D1,Elite Camp 2-Day,https://stanfordgirlslacrossecamps.totalcamps.com/Content/51524,airtable,
12/2/2023,Women,9/26/2023,D3,Junior Day,,airtable,
12/2/2023,Women,10/11/2023,D1,Prospect Clinic,https://www.mountaindoglaxcamps.com/winter-prospect-clinic-at-dartmouth-college.cfm,airtable,
12/2/2023,Women,10/12/2023,D2,Prospect Day,https://www.umolaxcamps.com/,airtable,
12/2/2023,Women,10/13/2023,D1,Elite Camp 2-day,https://clemsontigers.com/camps/#:~:text=Allison%20Kwolek%20Lacrosse%20Camps,airtable,
12/3/2023,Women,8/11/2023,D3,Prospect Clinic,https://register.ryzer.com/camp.cfm?sport=27&id=252277,airtable,
12/3/2023,Men,8/29/2023,D3,7 v 7 HS Tournament,https://lynchburgmenslacrossecamps.totalcamps.com/shop/product/238319,airtable,
12/3/2023,Women,9/5/2023,D2,Prospect Clinic,kglaxllc.com,airtable,
12/3/2023,Men,9/13/2023,D1,Prospect Day,https://www.saintjosephslacrosse.com/Default.aspx?tabid=1433695,airtable,
12/3/2023,Women,9/27/2023,D1,Winter Skill Clinic,https://cmulacrossecamps.totalcamps.com/shop/product/248186,airtable,
12/3/2023,Women,9/27/2023,D1,Prospect Clinic,https://lehighwomenslacrossecamps.totalcamps.com/shop/product/246046,airtable,
12/9/2023,Women,8/24/2023,D3,Prospect Day,https://www.captainselitelax.com/-winter-prospect-day.cfm,airtable,
12/27/2023,Women,10/11/2023,D1,Winter Camp 3-Day,https://dukelacrossecamp.com/camp1.html,airtable,
12/28/2023,Women,10/11/2023,D1,Winter Camp 2-Day,https://floridagators.com/sports/2023/1/27/winter-lacrosse-camp.aspx,airtable,
1/5/2024,Women,9/10/2023,D2,Prospect Weekend 3-Day,https://www.eventbrite.com/e/rollins-womens-lacrosse-2023-24-prospect-clinics-registration-698423963877?aff=oddtdtcreator,airtable,
1/7/2024,Women,8/4/2023,D2,Winter College Showcase,https://www.grandvalleystatewomenslacrossecamps.com/,airtable,
1/11/2024,Women,9/26/2023,D2,Prospect ID Clinic,https://dominicanwomenslacrosseidcamp.totalcamps.com/shop/EVENT,airtable,
1/12/2024,Men,9/8/2023,D1,UNC High School Select Camp 3-Day,,airtable,
1/15/2024,Women,9/25/2023,D3,Winter ID Clinic,https://www.laxuhrelite.com/content/2024-winter-id-clinic,airtable,
1/27/2024,Men,7/31/2023,D3,Prospect Day,https://www.eagleslacrossecamps.com/,airtable,
1/27/2024,Women,10/5/2023,D1,Prospect Clinic,,airtable,
2/3/2024,Women,8/4/2023,D2,Winter Wonderlax 5v5,https://register.ryzer.com/camp.cfm?sport=27&id=251470,airtable,
2/11/2024,Women,8/4/2023,D2,Prospect Clinic,https://www.grandvalleystatewomenslacrossecamps.com/,airtable,
2/18/2024,Men,10/3/2023,D2,Prospect Day,https://aicmenslacrossecamps.totalcamps.com/shop/EVENT,airtable,
2/25/2024,Men,10/18/2023,D3,Prospect Day,https://jumbolacrosseclinics.com/february-prospect-day/,airtable,
12/2/2023,Men,8/11/2023,D2,Prospect Day,https://ngulacrossecamps.com/,airtable,South Carolina
12/2/2023,Men,8/29/2023,D3,7 v 7 HS Tournament,https://lynchburgmenslacrossecamps.totalcamps.com/shop/product/238319,airtable,Virginia
12/2/2023,Women,9/12/2023,D1,Elite Camp 2-Day,https://stanfordgirlslacrossecamps.totalcamps.com/Content/51524,airtable,California
12/2/2023,Women,9/26/2023,D3,Junior Day,,airtable,Virginia
12/2/2023,Women,10/11/2023,D1,Prospect Clinic,https://www.mountaindoglaxcamps.com/winter-prospect-clinic-at-dartmouth-college.cfm,airtable,New Hampshire
12/2/2023,Women,10/12/2023,D2,Prospect Day,https://www.umolaxcamps.com/,airtable,North Carolina
12/2/2023,Women,10/13/2023,D1,Elite Camp 2-day,https://clemsontigers.com/camps/#:~:text=Allison%20Kwolek%20Lacrosse%20Camps,airtable,South Carolina
12/3/2023,Women,8/11/2023,D3,Prospect Clinic,https://register.ryzer.com/camp.cfm?sport=27&id=252277,airtable,Virginia
12/3/2023,Men,8/29/2023,D3,7 v 7 HS Tournament,https://lynchburgmenslacrossecamps.totalcamps.com/shop/product/238319,airtable,Virginia
12/3/2023,Women,9/5/2023,D2,Prospect Clinic,kglaxllc.com,airtable,Florida
12/3/2023,Men,9/13/2023,D1,Prospect Day,https://www.saintjosephslacrosse.com/Default.aspx?tabid=1433695,airtable,Pennsylvania
12/3/2023,Women,9/27/2023,D1,Winter Skill Clinic,https://cmulacrossecamps.totalcamps.com/shop/product/248186,airtable,Michigan
12/3/2023,Women,9/27/2023,D1,Prospect Clinic,https://lehighwomenslacrossecamps.totalcamps.com/shop/product/246046,airtable,Pennsylvania
12/9/2023,Women,8/24/2023,D3,Prospect Day,https://www.captainselitelax.com/-winter-prospect-day.cfm,airtable,Virginia
12/27/2023,Women,10/11/2023,D1,Winter Camp 3-Day,https://dukelacrossecamp.com/camp1.html,airtable,North Carolina
12/28/2023,Women,10/11/2023,D1,Winter Camp 2-Day,https://floridagators.com/sports/2023/1/27/winter-lacrosse-camp.aspx,airtable,Florida
1/5/2024,Women,9/10/2023,D2,Prospect Weekend 3-Day,https://www.eventbrite.com/e/rollins-womens-lacrosse-2023-24-prospect-clinics-registration-698423963877?aff=oddtdtcreator,airtable,Florida
1/7/2024,Women,8/4/2023,D2,Winter College Showcase,https://www.grandvalleystatewomenslacrossecamps.com/,airtable,Michigan
1/11/2024,Women,9/26/2023,D2,Prospect ID Clinic,https://dominicanwomenslacrosseidcamp.totalcamps.com/shop/EVENT,airtable,California
1/12/2024,Men,9/8/2023,D1,UNC High School Select Camp 3-Day,,airtable,North Carolina
1/15/2024,Women,9/25/2023,D3,Winter ID Clinic,https://www.laxuhrelite.com/content/2024-winter-id-clinic,airtable,California
1/27/2024,Men,7/31/2023,D3,Prospect Day,https://www.eagleslacrossecamps.com/,airtable,Virginia
1/27/2024,Women,10/5/2023,D1,Prospect Clinic,,airtable,North Carolina
2/3/2024,Women,8/4/2023,D2,Winter Wonderlax 5v5,https://register.ryzer.com/camp.cfm?sport=27&id=251470,airtable,Michigan
2/11/2024,Women,8/4/2023,D2,Prospect Clinic,https://www.grandvalleystatewomenslacrossecamps.com/,airtable,Michigan
2/18/2024,Men,10/3/2023,D2,Prospect Day,https://aicmenslacrossecamps.totalcamps.com/shop/EVENT,airtable,Massachusetts
2/25/2024,Men,10/18/2023,D3,Prospect Day,https://jumbolacrosseclinics.com/february-prospect-day/,airtable,Massachusetts
12/2/2023,Men,8/11/2023,D2,Prospect Day,https://ngulacrossecamps.com/,airtable,
12/2/2023,Men,8/29/2023,D3,7 v 7 HS Tournament,https://lynchburgmenslacrossecamps.totalcamps.com/shop/product/238319,airtable,
