Champ % Rank,Team,PR,SOS-PR,QWF-PR,Champ %,RPI,SOS-RPI,QWF-RPI,Selection
1,Limestone ( 14 - 0 ),2,11,2,18 . 0 %,4,13,3,20
2,Lenoir-Rhyne ( 12 - 1 ),1,10,3,15 . 50 %,2,3,1,6
3,Rollins ( 11 - 2 ),4,5,4,9 . 50 %,8,19,5,32
4,Tampa ( 14 - 1 ),3,3,1,9 . 50 %,1,2,2,5
5,Newberry ( 10 - 3 ),7,19,9,5 . 0 %,16,14,10,40
6,Adelphi ( 10 - 2 ),5,16,5,4 . 50 %,3,4,4,11
7,St Anselm ( 8 - 1 ),9,31,13,4 . 0 %,11,46,8,65
8,Florida Tech ( 5 - 7 ),16,1,28,3 . 50 %,24,9,36,69
9,Indianapolis ( 10 - 3 ),14,17,11,3 . 50 %,6,6,9,21
10,Maryville ( 9 - 3 ),13,15,14,3 . 50 %,12,17,22,51
11,Wingate ( 9 - 4 ),6,7,10,3 . 50 %,10,1,12,23
12,Florida Southern ( 8 - 6 ),11,2,20,3 . 0 %,14,5,27,46
13,Rockhurst ( 10 - 2 ),23,40,12,2 . 50 %,15,41,13,69
14,Mercy ( 9 - 1 ),12,48,7,2 . 0 %,7,35,6,48
15,Colorado Mesa ( 8 - 4 ),10,18,16,1 . 50 %,21,18,24,63
16,Lewis ( 10 - 3 ),22,53,17,1 . 50 %,22,32,17,71
17,Lynn ( 5 - 8 ),27,6,42,1 . 50 %,40,22,49,111
18,Belmont Abbey ( 8 - 6 ),29,23,30,0 . 0 %,32,16,34,82
19,Embry-Riddle ( 6 - 7 ),19,9,39,0 . 0 %,35,31,39,105
20,Mount Olive ( 9 - 3 ),33,43,19,0 . 0 %,27,47,20,94
21,Pace ( 10 - 1 ),15,30,8,0 . 0 %,5,21,7,33
22,Seton Hill ( 8 - 4 ),20,47,23,0 . 0 %,18,15,18,51
23,Westminster (UT) ( 9 - 2 ),8,22,6,0 . 0 %,19,52,11,82
24,Bentley ( 6 - 4 ),18,13,18,0 . 0 %,9,7,15,31
25,Lander ( 9 - 4 ),28,29,24,0 . 0 %,26,27,28,81
26,St Leo ( 8 - 5 ),17,8,26,0 . 0 %,25,28,26,79
27,St Michaels ( 6 - 4 ),35,52,29,0 . 0 %,29,53,21,103
28,Adams State ( 1 - 10 ),71,46,74,0 . 0 %,76,70,76,222
29,Alabama-Huntsville ( 6 - 7 ),36,26,49,0 . 0 %,46,44,44,134
30,American International ( 5 - 8 ),50,55,54,0 . 0 %,52,51,52,155
31,Anderson (SC) ( 7 - 7 ),21,14,32,0 . 0 %,31,12,35,78
32,Assumption ( 5 - 4 ),38,25,25,0 . 0 %,20,50,23,93
33,Barton ( 6 - 8 ),47,38,52,0 . 0 %,51,45,55,151
34,Bridgeport ( 6 - 6 ),62,71,50,0 . 0 %,57,63,53,173
35,Caldwell ( 3 - 7 ),68,70,64,0 . 0 %,63,68,62,193
36,Catawba ( 6 - 8 ),40,32,51,0 . 0 %,48,33,57,138
37,Chestnut Hill ( 6 - 4 ),46,62,33,0 . 0 %,36,56,29,121
38,Chowan ( 5 - 7 ),63,69,57,0 . 0 %,69,73,60,202
39,Coker ( 6 - 7 ),51,24,41,0 . 0 %,44,37,41,122
40,Concordia-Irvine ( 6 - 7 ),32,36,34,0 . 0 %,55,55,48,158
41,CSU-Pueblo ( 2 - 10 ),67,51,69,0 . 0 %,74,76,71,221
42,D'Youville ( 2 - 12 ),73,68,79,0 . 0 %,73,65,78,216
43,Davenport ( 8 - 5 ),49,56,35,0 . 0 %,39,62,31,132
44,Davis & Elkins ( 3 - 9 ),77,79,72,0 . 0 %,77,75,70,222
45,District of Columbia ( 1 - 9 ),79,75,73,0 . 0 %,78,77,72,227
46,Dominican (CA) ( 4 - 9 ),55,21,65,0 . 0 %,61,43,73,177
47,Dominican (NY) ( 3 - 7 ),70,72,66,0 . 0 %,68,72,64,204
48,Emmanuel (GA) ( 0 - 15 ),66,33,80,0 . 0 %,71,49,80,200
49,Felician ( 4 - 7 ),72,80,62,0 . 0 %,72,71,63,206
50,Flagler ( 4 - 8 ),25,4,38,0 . 0 %,33,11,42,86
51,Franklin Pierce ( 3 - 8 ),60,42,55,0 . 0 %,50,36,54,140
52,Frostburg State ( 9 - 3 ),30,57,21,0 . 0 %,17,29,16,62
53,Georgian Court ( 8 - 6 ),48,65,36,0 . 0 %,38,23,32,93
54,Holy Family ( 2 - 10 ),80,77,77,0 . 0 %,79,78,77,234
55,Lake Erie ( 6 - 7 ),56,61,53,0 . 0 %,47,40,45,132
56,Lees-McRae ( 3 - 7 ),75,54,68,0 . 0 %,75,64,67,206
57,Lincoln Memorial ( 5 - 10 ),41,28,60,0 . 0 %,56,25,66,147
58,Malone ( 8 - 6 ),61,73,44,0 . 0 %,60,66,43,169
59,Mars Hill ( 5 - 9 ),52,37,61,0 . 0 %,54,42,65,161
60,Mercyhurst ( 9 - 3 ),24,41,15,0 . 0 %,13,10,14,37
61,Molloy ( 6 - 8 ),44,49,45,0 . 0 %,37,8,40,85
62,Montevallo ( 9 - 4 ),26,34,22,0 . 0 %,30,39,25,94
63,North Greenville ( 8 - 7 ),34,35,46,0 . 0 %,43,38,50,131
64,Palm Beach Atlantic ( 5 - 5 ),31,12,31,0 . 0 %,42,59,30,131
65,Post ( 8 - 6 ),54,74,48,0 . 0 %,59,74,51,184
66,Quincy ( 6 - 6 ),43,39,43,0 . 0 %,41,34,37,112
67,Roberts Wesleyan ( 8 - 5 ),37,50,37,0 . 0 %,28,26,33,87
68,Shorter ( 8 - 6 ),65,67,47,0 . 0 %,66,80,46,192
69,Southern New Hampshire ( 3 - 8 ),42,27,63,0 . 0 %,45,30,58,133
70,St Rose ( 7 - 7 ),45,44,40,0 . 0 %,34,24,38,96
71,St Thomas Aquinas ( 5 - 9 ),69,76,70,0 . 0 %,67,67,68,202
72,Thomas More ( 1 - 9 ),74,59,75,0 . 0 %,65,61,74,200
73,Tiffin ( 4 - 8 ),76,63,71,0 . 0 %,70,69,69,208
74,Tusculum ( 1 - 14 ),64,20,78,0 . 0 %,64,20,79,163
75,Virginia State ( 1 - 9 ),78,78,76,0 . 0 %,80,79,75,234
76,Walsh ( 4 - 8 ),59,60,67,0 . 0 %,53,48,61,162
77,Wheeling ( 5 - 7 ),57,66,58,0 . 0 %,58,58,56,172
78,William Jewell ( 5 - 7 ),53,45,56,0 . 0 %,49,57,47,153
79,Wilmington (DE) ( 7 - 3 ),39,64,27,0 . 0 %,23,54,19,96
80,Young Harris ( 6 - 7 ),58,58,59,0 . 0 %,62,60,59,181
