rank,team,w,l,rating,link,gender
1,Darien (CT),22,0,99.9,,girls
2,McDonogh School (MD),21,1,98.65,,girls
3,St. Paul's SG (MD),18,3,98.62,,girls
4,Summit (NJ),20,2,97.98,,girls
5,Episcopal Academy (PA),17,4,97.9,,girls
6,New Canaan (CT),18,4,96.85,,girls
7,Chatham (NJ),18,4,96.27,,girls
8,Sacred Heart - Greenwich (CT),16,1,96.25,,girls
9,Owen J. Roberts (PA),27,1,96.2,,girls
10,Wilton (CT),15,4,95.99,,girls
11,Archbishop Carroll (PA),23,1,95.89,,girls
12,St. Anthony's (NY),15,2,95.87,,girls
13,Maryvale Prep (MD),17,3,95.47,,girls
14,Colorado Academy (CO),19,0,95.41,,girls
15,Victor (NY),17,4,95.33,,girls
16,Baldwinsville (NY),15,5,95.27,,girls
17,Oak Knoll School (NJ),18,4,95.23,,girls
18,Springfield Township (PA),19,2,95.16,,girls
19,Archbishop Spalding (MD),13,4,95.15,,girls
20,San Ramon Valley (CA),24,0,94.96,,girls
21,Garden City (NY),17,4,94.96,,girls
22,Agnes Irwin (PA),18,3,94.92,,girls
23,Morristown (NJ),17,3,94.88,,girls
24,Rush Henrietta (NY),16,2,94.3,,girls
25,Glenelg Country School (MD),13,6,94.29,,girls
