rank,team,w,l,rating,link,gender
1,Mount Sinai (NY),16,1,99.9,,boys
2,Shoreham-Wading River (NY),15,2,99.65,,boys
3,McDonogh (MD),11,1,99.41,,boys
4,Manhasset (NY),15,1,98.84,,boys
5,Archbishop Spalding (MD),12,3,98.49,,boys
6,Comsewogue (NY),15,2,98.48,,boys
7,Boys' Latin (MD),10,4,97.79,,boys
8,Malvern Prep (PA),19,2,97.66,,boys
9,Deerfield (MA),12,0,97.64,,boys
10,Garden City (NY),13,3,97.13,,boys
11,Loyola Blakefield (MD),6,5,97.11,,boys
12,Syosset (NY),12,3,96.96,,boys
13,Calvert Hall (MD),8,6,96.88,,boys
14,Robinson (VA),13,1,96.81,,boys
15,Brunswick School (CT),14,3,96.64,,boys
16,Fayetteville-Manlius (NY),16,1,96.32,,boys
17,Cold Spring Harbor (NY),10,2,96.22,,boys
18,West Islip (NY),12,5,96.14,,boys
19,St Anthony's (NY),10,1,96.02,,boys
20,Baldwinsville (NY),14,3,95.91,,boys
21,Port Washington (NY),10,4,95.68,,boys
22,St Johns DC (DC),11,1,95.53,,boys
23,Harborfields (NY),9,7,95.39,,boys
24,Taft School (CT),9,2,95.34,,boys
25,Chaminade (NY),9,2,95.32,,boys
26,Bayport-Blue Point (NY),12,4,95.28,,boys
27,Farmingdale (NY),11,3,95.2,,boys
28,Georgetown Prep (MD),13,3,95.08,,boys
29,Carey (NY),9,6,94.95,,boys
30,St Mary's Annapolis (MD),6,4,94.88,,boys
31,Salisbury School (CT),7,4,94.86,,boys
32,Victor (NY),13,2,94.36,,boys
33,Darien (CT),19,2,94.34,,boys
34,Haverford School (PA),12,6,94.18,,boys
35,Madison (VA),11,1,94.16,,boys
36,Episcopal Academy (PA),9,4,94.1,,boys
37,Yorktown (VA),12,0,93.94,,boys
38,Culver Academy Prep (IN),10,2,93.91,,boys
39,Don Bosco Prep (NJ),18,0,93.89,,boys
40,Canandaigua (NY),16,2,93.83,,boys
41,Webster Thomas (NY),15,1,93.73,,boys
42,Severna Park (MD),13,0,93.62,,boys
43,Bishop Guertin (NH),19,0,93.48,,boys
44,Belmont Hill (MA),12,2,93.45,,boys
45,Massapequa (NY),6,8,93.45,,boys
46,Seton Hall Prep (NJ),10,2,93.38,,boys
47,Severn (MD),9,6,93.31,,boys
48,Iona Prep (NY),15,4,93.06,,boys
49,Lawrenceville (NJ),13,3,93.03,,boys
50,St Paul's (MD),4,7,93.01,,boys
51,Jamesville-DeWitt (NY),16,2,92.96,,boys
52,Hauppauge (NY),9,6,92.72,,boys
53,Langley (VA),11,4,92.62,,boys
54,South Side (NY),7,7,92.55,,boys
55,Gilman (MD),4,9,92.55,,boys
56,Islip (NY),7,8,92.5,,boys
57,Summit (NJ),18,1,92.43,,boys
58,Briarcliff (NY),15,1,92.43,,boys
59,Bullis (MD),8,5,92.39,,boys
60,Sherwood (MD),8,1,92.34,,boys
61,Seaford (NY),8,5,92.24,,boys
62,Calhoun (NY),6,7,92.24,,boys
63,St Sebastian (MA),6,4,92.05,,boys
64,Fairport (NY),10,4,91.98,,boys
65,CBA Syracuse (NY),9,5,91.76,,boys
66,Avon Old Farms (CT),6,9,91.67,,boys
67,Bethpage (NY),10,4,91.66,,boys
68,Sayville (NY),7,9,91.5,,boys
69,Westhampton Beach (NY),7,9,91.48,,boys
70,Broadneck (MD),3,2,91.47,,boys
71,Landon (MD),6,6,91.43,,boys
72,Exeter HS (NH),14,3,91.41,,boys
73,MacArthur-Levittown (NY),9,5,91.4,,boys
74,Oakton (VA),4,4,91.39,,boys
75,Corning (NY),13,1,91.37,,boys
76,Douglas Freeman (VA),6,2,91.25,,boys
77,Gonzaga (DC),6,3,91.25,,boys
78,Chantilly (VA),7,4,91.11,,boys
79,Noble & Greenough (MA),11,2,91.09,,boys
80,Penfield (NY),12,4,90.96,,boys
81,Ridgefield (CT),16,7,90.94,,boys
82,Staples-Westport (CT),15,5,90.89,,boys
83,Trinity-Pawling (NY),8,6,90.84,,boys
84,East Islip (NY),8,7,90.83,,boys
85,Holderness (NH),10,1,90.71,,boys
86,Mamaroneck (NY),16,2,90.64,,boys
87,Paul VI (VA),10,3,90.62,,boys
88,Mountain Lakes (NJ),18,2,90.59,,boys
89,Fairfield Prep (CT),17,5,90.58,,boys
