rank,team,w,l,rating,link,gender
1,St Anthony's (NY),12,1,99.9,,boys
2,Lawrenceville (NJ),19,1,99.21,,boys
3,Brunswick School (CT),13,4,97.93,,boys
4,Boys' Latin (MD),12,6,97.93,,boys
5,McDonogh (MD),17,1,97.89,,boys
6,Hill Academy (ON),11,3,97.87,,boys
7,Taft School (CT),15,2,97.41,,boys
8,Georgetown Prep (MD),16,2,97.11,,boys
9,Culver Academy Prep (IN),17,3,96.78,,boys
10,Haverford School (PA),17,3,96.62,,boys
11,Chaminade (NY),10,4,96.19,,boys
12,St Mary's Annapolis (MD),14,5,96.13,,boys
13,Malvern Prep (PA),16,7,95.97,,boys
14,Calvert Hall (MD),11,6,95.94,,boys
15,Seton Hall Prep (NJ),19,2,95.74,,boys
16,Salisbury School (CT),12,4,95.62,,boys
17,Loyola Blakefield (MD),11,7,95.45,,boys
18,Manhasset (NY),21,1,95.42,,boys
19,Mount Sinai (NY),17,1,95.11,,boys
20,Choate (CT),14,3,94.94,,boys
21,Western Reserve Academy (OH),15,6,94.92,,boys
22,Holderness (NH),17,0,94.64,,boys
23,Fairfield Prep (CT),18,4,94.49,,boys
24,Deerfield (MA),10,8,94.4,,boys
25,Loomis Chaffee (CT),13,5,94.27,,boys
26,St Johns DC (DC),15,3,94.11,,boys
27,Academy New Church (PA),15,5,94.06,,boys
28,St Paul's (MD),8,8,94.01,,boys
29,Radnor (PA),23,3,93.98,,boys
30,Severn (MD),13,6,93.74,,boys
31,Delbarton (NJ),20,6,93.69,,boys
32,Cheshire HS (CT),19,3,93.48,,boys
33,Noble & Greenough (MA),17,4,93.32,,boys
34,Bayport-Blue Point (NY),14,3,93.31,,boys
35,Salesianum (DE),14,4,93.2,,boys
36,Brother Rice (MI),21,1,93.16,,boys
37,Staples-Westport (CT),17,5,93.13,,boys
38,Gilman (MD),6,11,93.11,,boys
39,Avon Old Farms (CT),9,8,93.08,,boys
40,Cherry Creek (CO),16,2,93.06,,boys
41,Belmont Hill (MA),15,1,92.96,,boys
42,Valor Christian (CO),17,2,92.95,,boys
43,Victor (NY),19,3,92.9,,boys
44,Darien (CT),15,6,92.82,,boys
45,Gonzaga (DC),13,8,92.77,,boys
46,Hartland (MI),11,2,92.74,,boys
47,Saint Viator (IL),14,1,92.72,,boys
48,Wheaton Academy (IL),17,1,92.71,,boys
49,Garden City (NY),18,4,92.61,,boys
50,Dublin Jerome (OH),22,1,92.57,,boys
51,Shoreham-Wading River (NY),14,6,92.55,,boys
52,Paul VI (VA),18,5,92.49,,boys
53,Wilton (CT),16,5,92.4,,boys
54,IMG National (FL),11,3,92.38,,boys
55,St Sebastian (MA),12,5,92.28,,boys
56,Bullis (MD),15,8,92.27,,boys
57,Springfield-Delco (PA),22,3,92.26,,boys
58,New Canaan (CT),15,7,92.22,,boys
59,Don Bosco Prep (NJ),15,5,92.18,,boys
60,Baldwinsville (NY),19,2,92.07,,boys
