rank,team,w,l,rating,link,gender
1,Haverford School (PA),1,0,99.9,,boys
2,St Paul's (MD),1,1,93.24,,boys
3,St Stephen/St Agnes (VA),3,0,90.9,,boys
4,St Johns DC (DC),3,0,90.56,,boys
5,Landon (MD),1,2,89.9,,boys
6,McDonogh (MD),2,0,89.59,,boys
7,Archbishop Spalding (MD),1,1,89.24,,boys
8,Bullis (MD),2,1,87.49,,boys
9,Miramonte (CA),1,0,87.11,,boys
10,Gonzaga (DC),1,1,86.36,,boys
11,Calvert Hall (MD),3,0,86.0,,boys
12,Boys' Latin (MD),1,1,85.13,,boys
13,Penn Charter (PA),1,1,84.9,,boys
14,Hun School (NJ),0,2,84.24,,boys
15,Austin (TX),1,1,83.24,,boys
16,Georgetown Prep (MD),2,1,83.23,,boys
17,Westlake (TX),6,1,82.95,,boys
18,Episcopal Dallas (TX),4,3,82.53,,boys
19,Highland Park (TX),5,0,82.24,,boys
20,St Mary's Annapolis (MD),0,1,81.89,,boys
21,Cape Henry Collegiate (VA),1,1,81.24,,boys
22,Saint Augustine (FL),2,0,81.11,,boys
23,Torrey Pines (CA),3,0,81.07,,boys
24,Loyola Blakefield (MD),3,0,81.0,,boys
25,St Christopher's (VA),1,1,81.0,,boys
26,Sacred Heart Prep (CA),2,0,80.94,,boys
27,Saint Ignatius Prep (CA),3,0,80.49,,boys
28,Dallas Jesuit (TX),4,0,80.46,,boys
29,Maclay (FL),2,1,80.44,,boys
30,Glenelg Country (MD),0,1,79.9,,boys
31,Vandegrift (TX),10,0,79.64,,boys
32,Coppell (TX),4,2,79.6,,boys
33,St Marys Ryken (MD),0,1,79.56,,boys
34,Hough (NC),3,0,79.45,,boys
35,DeMatha (MD),1,1,79.39,,boys
36,Lake Travis (TX),5,1,79.37,,boys
37,San Ramon Valley (CA),0,1,79.15,,boys
38,De LaSalle (CA),5,1,78.99,,boys
39,Granite Bay (CA),1,1,78.89,,boys
40,Norfolk Academy (VA),3,0,78.66,,boys
41,Our Lady of Good Counsel (MD),0,1,78.66,,boys
42,La Costa Canyon (CA),5,1,78.56,,boys
43,Lassiter (GA),5,0,78.49,,boys
44,Sacred Heart Cathedral (CA),3,1,78.44,,boys
45,Monte Vista/Danville (CA),4,2,78.11,,boys
46,Bishop O'Connell (VA),1,1,77.83,,boys
47,Culver Academy Prep (IN),2,0,77.67,,boys
48,Cardinal Gibbons (NC),2,1,77.66,,boys
49,The Woodlands (TX),6,4,77.48,,boys
50,Bellarmine Prep (CA),3,0,77.44,,boys
51,California (CA),4,1,77.44,,boys
52,Hoggard (NC),3,0,77.41,,boys
53,Regents-Austin (TX),2,1,77.25,,boys
54,Southlake (TX),2,3,77.1,,boys
55,Gilman (MD),2,1,76.56,,boys
56,Severn (MD),4,0,76.53,,boys
57,Ridge Point (TX),5,1,76.46,,boys
58,Menendez (FL),1,0,76.44,,boys
59,IMG National (FL),0,2,76.34,,boys
60,Middle Creek (NC),5,0,76.25,,boys
61,Round Rock (TX),1,1,76.21,,boys
62,North Cross (VA),1,0,76.01,,boys
63,Lake Norman (NC),0,2,76.0,,boys
64,Katy (TX),1,0,75.69,,boys
65,Christ School (NC),4,0,75.53,,boys
66,Cathedral Catholic (CA),3,1,75.5,,boys
67,Hill Academy II (ON),2,1,75.44,,boys
68,Kingwood (TX),2,3,75.42,,boys
69,Tabor Academy (MA),2,0,75.31,,boys
70,Lambert (GA),5,2,75.25,,boys
71,IMG Academy (FL),5,1,75.2,,boys
72,Catholic High School (VA),1,1,75.16,,boys
73,University SF (CA),1,0,75.11,,boys
74,Burlingame (CA),0,1,75.11,,boys
75,Weddington (NC),0,1,75.11,,boys
