rank,team,w,l,rating,link,gender
1,Ridgewood (NJ),23,1,99.9,,girls
2,McDonogh School (MD),21,0,99.84,,girls
3,Oak Knoll School (NJ),20,2,99.74,,girls
4,Georgetown Visitation (DC),18,5,98.72,,girls
5,Eastport South Manor (NY),16,1,98.21,,girls
6,Sts. Stephen's & Agnes (VA),25,2,98.2,,girls
7,Episcopal Academy (PA),16,1,97.63,,girls
8,Greenwich Academy (CT),13,2,97.49,,girls
9,West Babylon (NY),13,2,97.47,,girls
10,Bayport Blue Point (NY),16,2,97.4,,girls
11,Manhasset (NY),15,3,97.33,,girls
12,Summit (NJ),15,3,97.25,,girls
13,American Heritage (FL),22,2,97.15,,girls
14,Darien (CT),21,2,97.03,,girls
15,Archbishop Spalding (MD),15,4,96.93,,girls
16,Agnes Irwin (PA),21,8,96.9,,girls
17,Northport (NY),16,1,96.81,,girls
18,Mt. Sinai (NY),12,3,96.63,,girls
19,Severna Park (MD),14,1,96.44,,girls
20,Notre Dame Academy (PA),18,3,96.23,,girls
21,Marriotts Ridge (MD),12,3,96.09,,girls
22,Notre Dame Prep (MD),13,6,96.05,,girls
23,Moorestown (NJ),17,4,96.02,,girls
24,Bishop Ireton (VA),17,6,95.97,,girls
25,Milton (GA),22,1,95.87,,girls
26,Mendham (NJ),17,3,95.86,,girls
27,Glenelg (MD),14,4,95.75,,girls
28,Colorado Academy (CO),17,0,95.55,,girls
29,Harriton (PA),24,2,95.53,,girls
30,St. Paul's SG (MD),12,10,95.48,,girls
31,Walpole (MA),4,0,95.34,,girls
32,Hill Academy (CAN),1,3,95.29,,girls
33,Garnet Valley (PA),14,3,95.2,,girls
34,Hereford (MD),9,1,95.19,,girls
35,Spencerport (NY),15,4,95.18,,girls
36,Glenelg Country School (MD),13,5,95.18,,girls
37,Conestoga (PA),15,3,95.17,,girls
38,Glen Ridge (NJ),16,3,95.15,,girls
39,Immaculate Heart (NJ),15,5,95.14,,girls
40,Notre Dame - Hingham (MA),16,3,95.12,,girls
41,St. Anthony's (NY),17,1,95.1,,girls
42,Radnor (PA),18,6,95.07,,girls
43,Cold Spring Harbor (NY),12,2,95.05,,girls
44,Fayetteville Manlius (NY),16,4,95.03,,girls
45,Pittsford (NY),5,2,94.99,,girls
46,New Canaan (CT),18,5,94.91,,girls
47,Chatham (NJ),11,5,94.9,,girls
48,Lake Highland Prep (FL),23,2,94.86,,girls
49,Eastern (NJ),18,4,94.85,,girls
50,Bridgewater-Raritan (NJ),18,4,94.77,,girls
51,Stone Ridge CDS (MD),9,5,94.73,,girls
52,Baldwinsville (NY),19,2,94.7,,girls
53,Century (MD),6,3,94.7,,girls
54,St. Mark's (MA ),14,1,94.65,,girls
55,Thayer Academy (MA ),13,3,94.61,,girls
56,Needham (MA),4,3,94.6,,girls
57,St. Mary's (MD),9,8,94.53,,girls
58,Longmeadow (MA),3,3,94.47,,girls
59,Garden City (NY),10,6,94.4,,girls
60,Loyola Academy (IL),7,1,94.37,,girls
61,Sacred Heart Greenwich (CT),18,1,94.35,,girls
62,Roland Park Country (MD),12,7,94.34,,girls
63,Westhampton Beach (NY),4,5,94.19,,girls
64,Canandaigua Academy (NY),6,2,94.11,,girls
65,Noble & Greenough (MA ),10,4,94.09,,girls
66,Penfield (NY),2,2,93.9,,girls
67,Holton-Arms School (MD),11,10,93.88,,girls
68,Middle Country (NY),6,2,93.79,,girls
69,Lawrenceville School (NJ),17,7,93.72,,girls
70,Woburn Memorial (MA),1,0,93.68,,girls
71,Norwell (MA),6,3,93.67,,girls
72,Ward Melville (NY),8,1,93.66,,girls
73,Westwood (MA),19,1,93.57,,girls
74,Smithtown East (NY),6,3,93.54,,girls
75,South River (MD),13,3,93.41,,girls
76,Brooks School (MA ),11,3,93.31,,girls
77,Riverhead (NY),8,4,93.3,,girls
78,Bryn Mawr (MD),9,9,93.3,,girls
79,Sherwood (MD),12,0,93.18,,girls
80,Walter Johnson (MD),1,0,93.18,,girls
81,Bernards (NJ),13,5,93.14,,girls
82,John Carroll (MD),8,10,93.14,,girls
83,Pingry School (NJ),19,4,93.07,,girls
84,Mattituck-Southold (NY),15,5,93.07,,girls
85,Rush Henrietta (NY),5,1,93.06,,girls
86,Rumson Fair Haven (NJ),21,3,93.05,,girls
87,Madison (NJ),16,4,93.05,,girls
88,Mountain Lakes (NJ),12,4,92.96,,girls
89,Ridgefield (CT),4,5,92.96,,girls
90,Sacred Heart Academy Long Island (NY),13,6,92.91,,girls
91,Owen J. Roberts (PA),16,5,92.89,,girls
92,West Chester Rustin (PA),1,0,92.88,,girls
93,Staples (CT),12,2,92.83,,girls
94,Haddonfield (NJ),17,3,92.8,,girls
95,South Carroll (MD),17,1,92.74,,girls
96,Deerfield Academy (MA ),12,2,92.74,,girls
97,West Islip (NY),11,7,92.73,,girls
98,San Ramon Valley (CA),18,0,92.72,,girls
99,Ridge (NJ),14,5,92.72,,girls
100,New Albany (OH),17,3,92.71,,girls
101,New Trier (IL),2,0,92.64,,girls
102,Jamesville DeWitt (NY),8,1,92.61,,girls
103,Springfield (PA),9,2,92.59,,girls
104,Holy Cross (MD),12,8,92.55,,girls
105,Harpeth Hall (TN),3,1,92.53,,girls
106,Manheim Township (PA),20,4,92.52,,girls
107,Cherry Creek (CO),21,1,92.5,,girls
108,Downingtown West (PA),12,6,92.5,,girls
109,Westminster (MD),14,6,92.46,,girls
110,William Penn Charter (PA),13,11,92.41,,girls
111,St. Paul's School (NH),17,3,92.4,,girls
112,Regis Jesuit (CO),14,4,92.31,,girls
113,Kent Island (MD),3,0,92.15,,girls
114,Towson (MD),1,1,92.13,,girls
115,East Meadow (NY),1,0,92.11,,girls
116,Farmingdale (NY),1,1,92.09,,girls
117,East Islip (NY),1,6,92.06,,girls
118,Valor Christian (CO),13,3,92.02,,girls
119,Maryvale Prep (MD),7,10,91.99,,girls
120,"Episcopal, Dallas (TX)",18,1,91.97,,girls
121,Whitman (MD),0,1,91.8,,girls
122,Bartram Trail (FL),14,3,91.77,,girls
123,Archbishop Carroll (PA),12,4,91.73,,girls
124,Montclair Kimberley (NJ),15,5,91.72,,girls
125,Rivers School (MA ),7,6,91.71,,girls
126,Franklin (MA),5,2,91.69,,girls
127,York Catholic (PA),18,0,91.68,,girls
128,Chattahoochee (GA),5,1,91.67,,girls
129,Cheshire (CT),9,1,91.63,,girls
130,Villa Maria Academy - Malvern (PA),5,1,91.61,,girls
131,Bay Shore (NY),7,3,91.61,,girls
132,Honeoye Falls Lima (NY),0,2,91.59,,girls
133,St. Francis DeSales (OH),14,1,91.58,,girls
134,Westfield (NJ),8,10,91.58,,girls
135,Winston Churchill (MD),0,1,91.56,,girls
136,Auburn (NY),14,4,91.54,,girls
137,Cape Henlopen (DE),18,0,91.53,,girls
138,New Fairfield (CT),21,1,91.52,,girls
139,Bishop Moore (FL),20,2,91.5,,girls
140,Skaneateles (NY),9,3,91.5,,girls
141,Princeton (NJ),18,3,91.37,,girls
142,Massapequa (NY),0,5,91.37,,girls
143,Denver East (CO),11,4,91.31,,girls
144,Foothill - Santa Ana (CA),14,1,91.25,,girls
145,Ithaca (NY),15,3,91.23,,girls
146,Cohasset (MA),8,3,91.22,,girls
147,Suffern (NY),0,3,91.19,,girls
148,Wilton (CT),7,7,91.15,,girls
149,Rye (NY),10,1,91.14,,girls
150,Good Counsel (MD),13,8,91.14,,girls
151,Smithtown West (NY),1,2,91.07,,girls
152,Pinkerton Academy (NH),19,2,91.05,,girls
153,Cardinal Newman (FL),16,0,91.02,,girls
154,Germantown Academy (PA),3,8,90.99,,girls
155,Benjamin School (FL),9,5,90.98,,girls
156,Locust Valley (NY),1,0,90.96,,girls
157,Montclair (NJ),9,12,90.95,,girls
158,Annapolis Area Christian (MD),1,0,90.92,,girls
159,Langley (VA),18,4,90.9,,girls
160,Mount de Sales (MD),4,13,90.9,,girls
161,Upper Arlington (OH),12,1,90.88,,girls
162,Vero Beach (FL),15,4,90.85,,girls
163,Kennard-Dale (PA),14,4,90.81,,girls
164,Manchester Valley (MD),1,3,90.79,,girls
165,Brighton (NY),0,3,90.77,,girls
166,Hendrick Hudson (NY),0,0,90.76,,girls
167,Ponte Vedra (FL),6,3,90.72,,girls
168,Hillsborough (NJ),13,7,90.72,,girls
169,Guilford (CT),4,1,90.71,,girls
170,Plymouth South (MA),1,0,90.7,,girls
171,New Hampton School (NH),9,2,90.63,,girls
172,Rocky Point (NY),2,6,90.59,,girls
173,Abington (PA),12,3,90.57,,girls
174,Broadneck (MD),4,4,90.54,,girls
175,Webster Thomas (NY),0,2,90.53,,girls
176,ThunderRidge (CO),12,4,90.52,,girls
177,Tappan Zee (NY),0,1,90.52,,girls
178,Loomis Chaffee (CT),3,5,90.5,,girls
179,St. Margaret's (CA),12,3,90.49,,girls
180,Harborfields (NY),5,7,90.48,,girls
181,Downingtown East (PA),9,1,90.45,,girls
182,Granite Bay (CA),17,1,90.4,,girls
183,Shawnee (NJ),13,7,90.38,,girls
184,Unionville (PA),10,6,90.37,,girls
185,C. M. Wright (MD),13,4,90.34,,girls
