rank,team,w,l,rating,link,gender
1,Brunswick School (CT),15,1,99.9,,boys
2,St Johns DC (DC),19,0,98.44,,boys
3,Culver Academy Prep (IN),19,2,98.11,,boys
4,Taft School (CT),16,3,97.42,,boys
5,Boys' Latin (MD),12,4,97.26,,boys
6,Malvern Prep (PA),20,3,96.85,,boys
7,Calvert Hall (MD),15,5,96.82,,boys
8,Lawrenceville (NJ),15,4,96.77,,boys
9,McDonogh (MD),13,6,96.73,,boys
10,St Mary's Annapolis (MD),16,3,96.36,,boys
11,Salisbury School (CT),13,4,96.29,,boys
12,Mount Sinai (NY),18,1,96.13,,boys
13,Deerfield (MA),12,3,95.86,,boys
14,Archbishop Spalding (MD),12,6,95.56,,boys
15,Manhasset (NY),17,4,95.45,,boys
16,Haverford School (PA),14,6,95.35,,boys
17,Darien (CT),20,3,95.19,,boys
18,Hotchkiss (CT),10,6,95.1,,boys
19,Georgetown Prep (MD),14,6,94.75,,boys
20,St Anthony's (NY),14,2,94.64,,boys
21,Chaminade (NY),12,5,94.62,,boys
22,Staples-Westport (CT),19,3,94.51,,boys
23,Baldwinsville (NY),19,1,94.39,,boys
24,Hill Academy (ON),6,6,94.35,,boys
25,Avon Old Farms (CT),10,9,94.34,,boys
26,St Paul's (MD),11,6,94.22,,boys
27,IMG National (FL),11,3,94.02,,boys
28,Don Bosco Prep (NJ),14,2,93.77,,boys
29,Victor (NY),17,1,93.74,,boys
30,Western Reserve Academy (OH),17,6,93.7,,boys
31,Shoreham-Wading River (NY),16,2,93.64,,boys
32,Dallas Jesuit (TX),15,2,93.59,,boys
33,Ridgefield (CT),13,5,93.26,,boys
34,Seton Hall Prep (NJ),19,4,93.25,,boys
35,St Stephen/St Agnes (VA),18,5,93.24,,boys
36,Wilton (CT),19,4,93.22,,boys
37,Garden City (NY),19,2,93.12,,boys
38,Radnor (PA),24,2,93.01,,boys
39,Bullis (MD),15,5,93.01,,boys
40,Episcopal Academy (PA),11,8,92.97,,boys
41,Mountain Lakes (NJ),22,1,92.96,,boys
42,La Salle College High (PA),18,4,92.92,,boys
43,Loyola Blakefield (MD),6,9,92.81,,boys
44,Belmont Hill (MA),14,3,92.68,,boys
45,Severn (MD),10,8,92.6,,boys
46,Gonzaga (DC),14,7,92.57,,boys
47,Summit (NJ),18,3,92.51,,boys
