rank,team,w,l,rating,link,gender
131,Galena Club (NV),5,1,0.0,,girls
132,Haslett (MI),5,1,0.0,,girls
133,Maryvale Prep (MD),10,2,0.0,,girls
134,New Canaan (CT),5,1,0.0,,girls
135,Summit (NJ),5,1,0.0,,girls
136,Anderson (TX),9,2,0.0,,girls
137,Sidwell Friends (DC),9,2,0.0,,girls
138,Canyon (TX),8,2,0.0,,girls
139,Chatham (NJ),4,1,0.0,,girls
140,Conestoga (PA),8,2,0.0,,girls
141,Cornwall Central (NY),4,1,0.0,,girls
142,IMG Academy (FL),12,3,0.0,,girls
143,Reagan (TX),8,2,0.0,,girls
144,Ridgewood (NJ),4,1,0.0,,girls
145,Westwood (MA),4,1,0.0,,girls
146,Collegiate School (VA),11,3,0.0,,girls
147,Stone Ridge School of the Sacred Heart (MD),11,3,0.0,,girls
148,Bridge (TX),7,2,0.0,,girls
149,Lake Forest (IL),7,2,0.0,,girls
150,Milton (GA),14,4,0.0,,girls
151,Bishop Ireton (VA),10,3,0.0,,girls
152,Katy (TX),10,3,0.0,,girls
153,Kinkaid (TX),10,3,0.0,,girls
154,Loyola Academy (IL),10,3,0.0,,girls
155,Westlake (TX),10,3,0.0,,girls
156,Cardinal Gibbons (NC),13,4,0.0,,girls
157,West Forsyth (GA),13,4,0.0,,girls
158,Bayport Blue Point (NY),6,2,0.0,,girls
159,Cedar Park (TX),10,3,0.0,,girls
160,Damascus (MD),6,2,0.0,,girls
161,"Lexington, SC (SC)",6,2,0.0,,girls
162,Manheim Township (PA),9,3,0.0,,girls
163,Massapequa (NY),3,1,0.0,,girls
164,Oak Knoll School (NJ),3,1,0.0,,girls
165,Rush Henrietta (NY),3,1,0.0,,girls
166,San Marin (CA),9,3,0.0,,girls
167,St. John's Catholic Prep (MD),9,3,0.0,,girls
168,Carlsbad (CA),11,4,0.0,,girls
169,Yorktown (NY),8,3,0.0,,girls
170,John Burroughs (MO),5,2,0.0,,girls
171,Sacred Heart Academy - Long Island (NY),5,2,0.0,,girls
172,Salisbury School (MD),5,2,0.0,,girls
173,Saratoga Springs (NY),5,2,0.0,,girls
174,St. Paul's School (NH),5,2,0.0,,girls
175,Rockwall (TX),8,3,0.0,,girls
176,Palos Verdes (CA),12,5,0.0,,girls
177,St. Ignatius Prep (CA),12,5,0.0,,girls
178,Sts. Stephen's & Agnes (VA),12,5,0.0,,girls
179,Alamo Heights (TX),7,3,0.0,,girls
180,Torrey Pines (CA),7,3,0.0,,girls
181,St. Paul's SG (MD),9,4,0.0,,girls
182,Archbishop Spalding (MD),6,3,0.0,,girls
183,Coronado (CA),2,1,0.0,,girls
184,Darien (CT),4,2,0.0,,girls
185,Manhasset (NY),4,2,0.0,,girls
186,Olentangy Liberty (OH),6,3,0.0,,girls
187,Parish (TX),6,3,0.0,,girls
188,Ravenwood (TN),2,1,0.0,,girls
189,Ridgefield (CT),4,2,0.0,,girls
190,Shaker (NY),2,1,0.0,,girls
191,South Side (NY),4,2,0.0,,girls
192,St. John's College (DC),10,5,0.0,,girls
193,Unionville (PA),2,1,0.0,,girls
194,Potomac School (VA),9,5,0.0,,girls
195,St. Agnes (TX),9,5,0.0,,girls
196,Southlake Carroll (TX),7,4,0.0,,girls
197,"St. Catherine's, VA (VA)",7,4,0.0,,girls
198,St. Michael's (TX),7,4,0.0,,girls
199,William Penn Charter (PA),7,4,0.0,,girls
200,Agnes Irwin (PA),5,3,0.0,,girls
201,Bishop Moore (FL),10,6,0.0,,girls
202,East Meadow (NY),5,3,0.0,,girls
203,Harford Tech (MD),5,3,0.0,,girls
204,Hockaday (TX),5,3,0.0,,girls
205,Smithtown West (NY),5,3,0.0,,girls
206,St. Stephen's (TX),5,3,0.0,,girls
207,Oakton (VA),8,5,0.0,,girls
208,Woodlands (TX),8,5,0.0,,girls
209,Bishop Lynch (TX),6,4,0.0,,girls
210,Emery Weiner (TX),6,4,0.0,,girls
211,Fairport (NY),3,2,0.0,,girls
212,Hagerty (FL),3,2,0.0,,girls
213,Houston Christian (TX),6,4,0.0,,girls
214,Valor Christian (CO),6,4,0.0,,girls
215,Friendswood (TX),7,5,0.0,,girls
216,John Carroll (MD),7,5,0.0,,girls
217,Keller (TX),3,2,0.0,,girls
218,Catonsville (MD),4,3,0.0,,girls
219,Wantagh (NY),4,3,0.0,,girls
220,Antonian Prep (TX),5,4,0.0,,girls
221,Flower Mound (TX),5,4,0.0,,girls
222,John Paul II (TX),5,4,0.0,,girls
223,Coppell (TX),6,5,0.0,,girls
224,Cy-Fair (TX),6,5,0.0,,girls
225,Holton-Arms School (MD),6,5,0.0,,girls
226,New Trier (IL),6,5,0.0,,girls
227,Georgetown Visitation (DC),7,6,0.0,,girls
228,Charlotte Catholic (NC),8,7,0.0,,girls
229,Ardrey Kell (NC),1,1,0.0,,girls
230,Bishop McGuiness (NC),1,1,0.0,,girls
231,"Brentwood, TN (TN)",1,1,0.0,,girls
232,Briarcliff (NY),5,5,0.0,,girls
233,Byram Hills (NY),1,1,0.0,,girls
234,Cape Fear Academy (NC),0,0,0.0,,girls
235,Center Moriches (NY),4,4,0.0,,girls
236,Chapin (SC),2,2,0.0,,girls
237,Cold Spring Harbor (NY),1,1,0.0,,girls
238,David W. Butler (NC),1,1,0.0,,girls
239,Detroit Country Day (MI),2,2,0.0,,girls
240,Ensworth (TN),1,1,0.0,,girls
241,Episcopal Dallas (TX),3,3,0.0,,girls
242,Foothill - Santa Ana (CA),1,1,0.0,,girls
243,General Brown (NY),3,3,0.0,,girls
244,Greenwich (CT),3,3,0.0,,girls
245,Greenwich Academy (CT),4,4,0.0,,girls
246,Havre De Grace (MD),1,1,0.0,,girls
247,Hinsdale Central (IL),1,1,0.0,,girls
248,Kingwood (TX),6,6,0.0,,girls
249,Lake Mary (FL),1,1,0.0,,girls
250,Marriotts Ridge (MD),1,1,0.0,,girls
251,Notre Dame Academy (PA),2,2,0.0,,girls
252,Notre Dame Prep (MD),4,4,0.0,,girls
253,Oswego (NY),1,1,0.0,,girls
254,Owen J. Roberts (PA),1,1,0.0,,girls
255,Parkwood (NC),1,1,0.0,,girls
256,Ronald Reagan (NC),1,1,0.0,,girls
257,Rye (NY),2,2,0.0,,girls
258,Scarsdale (NY),2,2,0.0,,girls
259,Scripps Ranch (CA),1,1,0.0,,girls
260,Shoreham Wading River (NY),1,1,0.0,,girls
261,Skaneateles (NY),1,1,0.0,,girls
262,Springside Chestnut Hill Academy (PA),3,3,0.0,,girls
263,St. Andrew's (FL),1,1,0.0,,girls
264,ThunderRidge (CO),1,1,0.0,,girls
265,TMI (TX),5,5,0.0,,girls
266,Ursuline (TX),4,4,0.0,,girls
267,Westhampton Beach (NY),4,4,0.0,,girls
268,Bryn Mawr (MD),6,7,0.0,,girls
269,Glenelg Country School (MD),4,5,0.0,,girls
270,Paul VI (VA),7,9,0.0,,girls
271,Cathedral Catholic (CA),3,4,0.0,,girls
272,Sacred Heart Academy (KY),6,8,0.0,,girls
273,St. Andrew's (TX),3,4,0.0,,girls
274,Highland Park (TX),5,7,0.0,,girls
275,Lake Travis (TX),6,9,0.0,,girls
276,Vero Beach (FL),2,3,0.0,,girls
277,Severn School (MD),5,8,0.0,,girls
278,Lamar (TX),3,5,0.0,,girls
279,Atascocita (TX),4,7,0.0,,girls
280,LASA (TX),4,7,0.0,,girls
281,St. Pius X (TX),4,7,0.0,,girls
282,Westwood (TX),4,8,0.0,,girls
283,Charlotte Country Day (NC),1,2,0.0,,girls
284,Charlotte Latin (NC),1,2,0.0,,girls
285,Cuthbertson (NC),1,2,0.0,,girls
286,Dripping Springs (TX),4,8,0.0,,girls
287,Duchesne (TX),4,8,0.0,,girls
288,Eastern (KY),1,2,0.0,,girls
289,Edgemont (NY),2,4,0.0,,girls
290,Hill Academy (CAN),2,4,0.0,,girls
291,Marin Catholic (CA),1,2,0.0,,girls
292,Myers Park (NC),1,2,0.0,,girls
293,Phillips Exeter Acad (NH),1,2,0.0,,girls
294,Pomfret School (CT),1,2,0.0,,girls
295,Ponte Vedra (FL),1,2,0.0,,girls
296,Roland Park Country (MD),3,6,0.0,,girls
297,St. Mary's (MD),1,2,0.0,,girls
298,Stratford (TX),3,6,0.0,,girls
299,Holy Cross (MD),3,7,0.0,,girls
300,Lovejoy (TX),3,7,0.0,,girls
301,Grapevine (TX),3,8,0.0,,girls
302,Bethlehem (NY),1,3,0.0,,girls
303,Bronxville (NY),1,3,0.0,,girls
304,East Grand Rapids (MI),0,1,0.0,,girls
305,Eastport South Manor (NY),1,3,0.0,,girls
306,Mount de Sales (MD),2,6,0.0,,girls
307,New Bern (NC),0,1,0.0,,girls
308,Redwood (CA),1,3,0.0,,girls
309,Towson (MD),1,3,0.0,,girls
