rank,team,w,l,rating,link,gender
1,Lawrenceville (NJ),11,1,99.9,,boys
2,Brunswick School (CT),8,0,99.17,,boys
3,Culver Academy Prep (IN),11,2,96.62,,boys
4,McDonogh (MD),8,3,96.58,,boys
5,Boys' Latin (MD),10,1,96.55,,boys
6,St. Anthony's (NY),7,2,96.53,,boys
7,Malvern Prep (PA),10,2,96.49,,boys
8,Calvert Hall (MD),7,4,95.61,,boys
9,Ridgewood (NJ),7,0,95.35,,boys
10,Haverford School (PA),12,0,95.23,,boys
11,Gilman (MD),9,3,95.18,,boys
12,Deerfield (MA),6,2,95.13,,boys
13,Western Reserve Academy (OH),9,1,95.08,,boys
14,Hill Academy (ON),4,4,94.82,,boys
15,Loomis Chaffee (CT),8,1,94.22,,boys
16,Landon (MD),12,2,93.73,,boys
17,Salisbury School (CT),6,2,93.63,,boys
18,Chaminade (NY),4,3,93.57,,boys
19,Don Bosco Prep (NJ),5,2,93.47,,boys
20,Darien (CT),5,3,93.38,,boys
21,Archbishop Spalding (MD),9,4,93.23,,boys
22,Taft School (CT),4,5,92.92,,boys
23,Salesianum (DE),10,0,92.89,,boys
24,Belmont Hill (MA),8,1,92.66,,boys
25,Loyola Blakefield (MD),3,7,92.54,,boys
26,Pingry (NJ),5,1,92.41,,boys
27,Georgetown Prep (MD),8,4,92.41,,boys
28,Garden City (NY),8,2,92.4,,boys
29,Bernards (NJ),7,0,92.23,,boys
30,La Salle College High (PA),8,0,92.22,,boys
31,St Sebastian (MA),7,3,92.2,,boys
32,Holderness (NH),6,1,92.05,,boys
33,Jesuit Portland (OR),7,1,92.03,,boys
34,Fairfield Prep (CT),7,1,91.97,,boys
35,St Paul's (MD),7,3,91.89,,boys
36,Bullis (MD),10,3,91.88,,boys
37,St John's DC (DC),6,4,91.85,,boys
38,Radnor (PA),8,3,91.82,,boys
39,Olentangy Liberty (OH),7,0,91.76,,boys
40,Saint Ignatius Prep (CA),13,2,91.44,,boys
41,Gonzaga (DC),9,4,91.38,,boys
42,Roswell (GA),16,2,91.35,,boys
43,Episcopal Academy (PA),9,2,91.2,,boys
44,Kiski Prep (PA),12,4,91.2,,boys
45,IMG National (FL),6,3,91.13,,boys
46,Montclair (NJ),4,4,90.98,,boys
47,Westlake (TX),14,1,90.96,,boys
48,Phillips Andover (MA),5,2,90.95,,boys
49,Springside Chestnut (PA),9,4,90.93,,boys
50,New Canaan (CT),8,1,90.78,,boys
51,Delbarton (NJ),5,3,90.75,,boys
52,Highland Park (TX),13,2,90.71,,boys
53,East Islip (NY),9,1,90.63,,boys
54,Rumson-Fair Haven (NJ),8,0,90.61,,boys
55,Dublin Jerome (OH),3,1,90.57,,boys
56,Roxbury Latin (MA),5,3,90.56,,boys
57,South Side (NY),9,1,90.53,,boys
58,Saint Andrew's (FL),17,1,90.47,,boys
59,Northport (NY),8,1,90.47,,boys
60,Bayport-Blue Point (NY),10,0,90.37,,boys
61,Mount St. Joseph (MD),7,4,90.35,,boys
62,Half Hollow Hills (NY),10,0,90.31,,boys
63,Noble & Greenough (MA),4,3,90.29,,boys
64,Ridgefield (CT),5,2,90.25,,boys
65,Walton (GA),3,2,90.17,,boys
66,Hill School (PA),7,3,90.16,,boys
67,Cherry Creek (CO),9,2,90.13,,boys
68,Westtown (PA),5,4,90.1,,boys
69,Marple Newtown (PA),7,1,90.07,,boys
70,Lambert (GA),6,2,90.04,,boys
71,Our Lady of Good Counsel (MD),12,2,90.01,,boys
72,Torrey Pines (CA),10,3,90.0,,boys
73,Ward Melville (NY),5,3,89.99,,boys
74,Tabor Academy (MA),4,4,89.96,,boys
75,St Mary's Annapolis (MD),3,11,89.95,,boys
76,Ramapo (NJ),2,2,89.81,,boys
77,Central York (PA),1,0,89.77,,boys
78,Paul VI (VA),11,2,89.74,,boys
79,Arapahoe (CO),2,0,89.64,,boys
80,Springfield-Delco (PA),7,2,89.64,,boys
81,Cannon School (NC),12,3,89.6,,boys
82,North Paulding (GA),18,0,89.52,,boys
83,Shawnee (NJ),4,2,89.48,,boys
84,Ridge (NJ),1,2,89.48,,boys
85,St Margarets Episcopal (CA),15,2,89.44,,boys
