rank,team,w,l,rating,link,gender
131,La Costa Canyon (CA),14,2,92.57,,boys
132,Hereford (MD),17,3,92.54,,boys
133,Mamaroneck (NY),15,5,92.54,,boys
134,Dallas Jesuit (TX),13,6,92.54,,boys
135,Rivers School (MA),10,5,92.5,,boys
136,South Lakes (VA),1,0,92.49,,boys
137,Rye HS (NY),14,5,92.44,,boys
138,Westfield (NJ),12,6,92.43,,boys
139,Berkshire School (MA),13,7,92.39,,boys
140,Hunterdon Central (NJ),1,3,92.38,,boys
141,Xaverian Bros (MA),16,5,92.33,,boys
142,West Islip (NY),11,5,92.33,,boys
143,Peters Township (PA),16,2,92.28,,boys
144,Detroit Catholic Central (MI),9,2,92.28,,boys
145,Fairport (NY),13,5,92.26,,boys
146,Glenbard West (IL),2,1,92.25,,boys
147,Baldwinsville (NY),12,5,92.24,,boys
148,Louisville St Xavier (KY),9,6,92.21,,boys
149,Commack (NY),10,6,92.2,,boys
150,San Ramon Valley (CA),22,2,92.18,,boys
151,Duxbury (MA),16,4,92.17,,boys
152,Poway (CA),2,8,92.16,,boys
153,Upper Dublin (PA),13,1,92.14,,boys
154,Mays (GA),0,1,92.11,,boys
155,La Salle College HS (PA),14,5,92.09,,boys
156,Foothill-Santa Ana (CA),18,6,92.06,,boys
157,Radnor (PA),12,4,91.99,,boys
158,St Ignatius (OH),16,8,91.99,,boys
159,Lenape (NJ),1,0,91.98,,boys
160,Memphis University School (TN),14,4,91.98,,boys
161,Bellevue (WA),17,2,91.97,,boys
162,Episcopal Academy (PA),6,4,91.97,,boys
163,Episcopal HS (VA),11,8,91.96,,boys
164,St Albans (DC),9,10,91.94,,boys
165,St Mark's (TX),14,8,91.93,,boys
166,Dublin Coffman (OH),18,2,91.91,,boys
167,New Trier (IL),12,3,91.86,,boys
168,Fairfield Prep (CT),14,7,91.84,,boys
169,E.C. Glass (VA),8,0,91.79,,boys
170,Roswell (GA),5,2,91.77,,boys
171,Cold Spring Harbor (NY),13,1,91.75,,boys
172,Christian Bros (NJ),10,0,91.7,,boys
173,Lassiter (GA),13,4,91.68,,boys
174,Fayetteville-Manlius (NY),11,8,91.66,,boys
175,Bay Shore (NY),10,5,91.64,,boys
176,Bayport-Blue Point (NY),8,5,91.6,,boys
177,Don Bosco Prep (NJ),8,5,91.59,,boys
178,Pingry (NJ),1,2,91.52,,boys
179,Academy New Church (PA),15,6,91.51,,boys
180,Mount Olive (NJ),4,1,91.5,,boys
181,St Thomas Aquinas (FL),12,7,91.5,,boys
182,South Side (NY),10,4,91.49,,boys
183,Penfield (NY),14,6,91.49,,boys
184,Oregon Episcopal (OR),9,0,91.48,,boys
185,Archbishop Moeller (OH),12,5,91.48,,boys
